model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7889352818371608,0.47643219724437996,0.6945031712473573,0.5651612903225807,0.8363741411892563,0.6019859623124428,,,,,,
AE+MLP,2,0.7404682274247492,0.41402855369335817,0.7519729425028185,0.5340272217774219,0.8277700939955995,0.5878188850753873,,,,,,
AE+MLP,3,0.7656355836531948,0.4027777777777778,0.6641221374045801,0.5014409221902018,0.8079208688418444,0.516468046687637,,,,,,
AE+MLP,4,0.7137069547602971,0.46310679611650485,0.8517857142857143,0.6,0.8501921134087099,0.6685389526020044,,,,,,
AE+MLP,5,0.7231942575145806,0.4277215942891136,0.7255297679112008,0.5381736526946108,0.7990939220215864,0.5888924694906276,,,,,,
AE+MLP,mean,0.7463880610379965,0.43681338382422685,0.7375827466703342,0.547760617396963,0.8242702278913994,0.5927408632336199,0.027647006289944112,0.02835921545736072,0.06426037780396979,0.03303866439341955,0.018610995928340687,0.04834749374295058
AE+XGBoost,1,0.8152400835073069,0.5256950294860994,0.6596194503171248,0.5850914205344585,0.8460916548785289,0.6376505543613582,,,,,,
AE+XGBoost,2,0.8316610925306578,0.5774647887323944,0.5546786922209695,0.5658424381828637,0.8403340700990718,0.6239465989696096,,,,,,
AE+XGBoost,3,0.7949875818469181,0.4462081128747795,0.6437659033078881,0.5270833333333333,0.8217191602424812,0.5490475533614262,,,,,,
AE+XGBoost,4,0.7947332883187036,0.5762463343108505,0.7017857142857142,0.6328502415458938,0.8600640557155754,0.6902514326503026,,,,,,
AE+XGBoost,5,0.8117990130103185,0.5699815837937385,0.6246215943491423,0.5960519980741454,0.8233158128958142,0.6430924571168986,,,,,,
AE+XGBoost,mean,0.809684211842781,0.5391191698395724,0.6368942708961678,0.581383886334139,0.8383049507662943,0.628797719291919,0.013840841203902169,0.0502274297084251,0.04834164354554119,0.03483610683609307,0.014408132674236745,0.04570097031378794
AE+RF,1,0.816910229645094,0.5307760927743087,0.6289640591966174,0.5757135945815192,0.8469174661700616,0.6289868731420769,,,,,,
AE+RF,2,0.8334448160535117,0.5911458333333334,0.5118376550169109,0.5486404833836858,0.8386696103873315,0.6064165663367731,,,,,,
AE+RF,3,0.7997290584782117,0.4537121906507791,0.6297709923664122,0.527437400106553,0.8183389106229731,0.5397776694778044,,,,,,
AE+RF,4,0.7996848975917173,0.5890092879256966,0.6794642857142857,0.6310116086235489,0.8591467477752459,0.684396117298016,,,,,,
AE+RF,5,0.8095558546433378,0.5666041275797373,0.6094853683148335,0.5872630043753039,0.8326877286405454,0.6433618358697394,,,,,,
AE+RF,mean,0.8118649712823744,0.546249506452771,0.611904472121812,0.5740132182141221,0.8391520927192314,0.6205878124248819,0.012586587517240134,0.05110962928236402,0.055124931597595725,0.03532802606299502,0.013676963089474735,0.047732176892318075
AE+LR,1,0.7636743215031315,0.43873517786561267,0.7040169133192389,0.5405844155844156,0.8228086163769682,0.5805579064188213,,,,,,
AE+LR,2,0.7877369007803791,0.4721030042918455,0.6200676437429538,0.5360623781676414,0.8158193233996339,0.559112192494396,,,,,,
AE+LR,3,0.7435086927071574,0.37727910238429174,0.6844783715012722,0.4864376130198915,0.7925373978748327,0.4790805925270393,,,,,,
AE+LR,4,0.738014854827819,0.4877094972067039,0.7794642857142857,0.6,0.828803711147414,0.625978539901537,,,,,,
AE+LR,5,0.7454015253476896,0.45193591455273696,0.6831483350151363,0.5439935717155484,0.7945641142360855,0.5765627869588689,,,,,,
AE+LR,mean,0.7556672590332353,0.44555253926023813,0.6942351098585774,0.5414155956974994,0.8109066326069868,0.5642584036601324,0.018206583252365332,0.03802794334711868,0.05114414853294659,0.03602972318913983,0.01476891235071496,0.04797538922194901
AE+LSTM,1,0.7872651356993737,0.47431386347642507,0.7124735729386892,0.5694972539079003,0.8360999707404857,0.6119608925698762,,,,,,
AE+LSTM,2,0.7315496098104793,0.40736411455289306,0.7857948139797069,0.5365665896843725,0.8320512523241961,0.5973013189385644,,,,,,
AE+LSTM,3,0.7665387220591555,0.4049079754601227,0.6717557251908397,0.5052631578947369,0.8081208061191633,0.5251344364305469,,,,,,
AE+LSTM,4,0.7443169029934729,0.4956379498364231,0.8116071428571429,0.6154366960054164,0.8502477322557069,0.671926216891419,,,,,,
AE+LSTM,5,0.7480933153880664,0.45708712613784136,0.7093844601412714,0.5559509687623566,0.8024900772659154,0.598906349709682,,,,,,
AE+LSTM,mean,0.7555527371901096,0.4478622058927411,0.7382031430215299,0.5565429332509566,0.8258019677410934,0.6010458429080178,0.01941342396627214,0.03620075238459652,0.052078596241498465,0.03651112104521537,0.017881641647832826,0.04674249939709898
AE+GRU,1,0.7749478079331942,0.45703125,0.7420718816067653,0.5656728444802579,0.8427276357212471,0.6175038040567964,,,,,,
AE+GRU,2,0.7569676700111483,0.43404808317089016,0.7531003382187148,0.5507007419620775,0.8336135633412777,0.6071507669434448,,,,,,
AE+GRU,3,0.7157371867238654,0.35709969788519635,0.7519083969465649,0.4842277755018435,0.8135267957859856,0.533240923486267,,,,,,
AE+GRU,4,0.7427413909520594,0.4938469769930444,0.8241071428571428,0.6175978588156574,0.8537353295215169,0.6793945109224,,,,,,
AE+GRU,5,0.7397936294302377,0.44487932159165033,0.6881937436932392,0.5404120443740095,0.7973777263324928,0.5976134475851042,,,,,,
