fold,split,epoch,mse
1,train,1,0.4967264123557417
1,train,2,0.41621352878426365
1,train,3,0.39184327182466216
1,train,4,0.37749329572963464
1,train,5,0.36444420310167164
1,train,6,0.35952583911880576
1,train,7,0.3507775056425393
1,train,8,0.3480514604944133
1,train,9,0.34058211676638067
1,train,10,0.3386793355173394
1,train,11,0.3347564257424453
1,train,12,0.33149998471022285
1,train,13,0.3282124868912785
1,train,14,0.32833836921330156
1,train,15,0.32503007237727827
1,train,16,0.3169968650337872
1,train,17,0.3138430241880746
1,train,18,0.31254868410942727
1,train,19,0.3124495375931105
1,train,20,0.31063197399007864
2,train,1,0.4947516815469408
2,train,2,0.4159693412152034
2,train,3,0.39113212083089444
2,train,4,0.3718200599867121
2,train,5,0.36151171617657335
2,train,6,0.35451704940658946
2,train,7,0.34896684284309804
2,train,8,0.3436837484257651
2,train,9,0.3395108000494481
2,train,10,0.33573350535982893
2,train,11,0.33393548464028083
2,train,12,0.331770580057687
2,train,13,0.32979286654655365
2,train,14,0.32823823723095824
2,train,15,0.3265138791373131
2,train,16,0.32475791447467656
2,train,17,0.32259112689887265
2,train,18,0.32096729760226006
2,train,19,0.3189702881378542
2,train,20,0.3178370923737633
3,train,1,0.49876523995649785
3,train,2,0.4194044292442442
3,train,3,0.3946231367394054
3,train,4,0.37876181965424943
3,train,5,0.3641014529338346
3,train,6,0.358420345414029
3,train,7,0.3512940766617382
3,train,8,0.3469648263429406
3,train,9,0.3442308799488338
3,train,10,0.336438637314819
3,train,11,0.3358732849907062
3,train,12,0.34051598999600396
3,train,13,0.3281872480169056
3,train,14,0.33095345937517373
3,train,15,0.32763967942690914
3,train,16,0.3244185468812627
3,train,17,0.3236341672775939
3,train,18,0.3202969408410741
3,train,19,0.3181102947769516
3,train,20,0.31891560613170383
4,train,1,0.49757543930095605
4,train,2,0.4184704493798643
4,train,3,0.3934772646088317
4,train,4,0.3783159500868746
4,train,5,0.366792506795829
4,train,6,0.35755240740086064
4,train,7,0.35068117286191736
4,train,8,0.34699170934445484
4,train,9,0.3429388099708606
4,train,10,0.34366428775072716
4,train,11,0.33558711887022014
4,train,12,0.33227519671738304
4,train,13,0.3299212116141652
4,train,14,0.32864665114910413
4,train,15,0.3254620278066443
4,train,16,0.32455085633799086
4,train,17,0.3241111237257334
4,train,18,0.32001748523200824
4,train,19,0.32187435496839134
4,train,20,0.31973650335341464
5,train,1,0.4954611443293591
5,train,2,0.41803217912092805
5,train,3,0.3943625738999496
