model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7050303691013861,0.35993135993135994,0.6760676873489122,0.46976483762597987,0.7623162445281704,0.4812508783375362,,,,,,
AE+MLP,2,0.7275731042458286,0.4244160423093874,0.7373660030627871,0.5387412587412588,0.807475407212938,0.5529051248773392,,,,,,
AE+MLP,3,0.775706940874036,0.45663811563169165,0.6912479740680713,0.5499677627337202,0.8244463806056197,0.5804398560249905,,,,,,
AE+MLP,4,0.7554375749272135,0.48384240814519697,0.8066420664206642,0.6048699501936912,0.8523512875628311,0.6540599367684675,,,,,,
AE+MLP,5,0.763188550507572,0.45988805970149255,0.7881694644284573,0.5808541973490428,0.8467475704178145,0.6306027010580486,,,,,,
AE+MLP,mean,0.7453873079312072,0.4369431971438257,0.7398986390657785,0.5488396013287387,0.8186673780654747,0.5798516994132764,0.025624990186923196,0.04289905640843483,0.05144404634784249,0.04587025589221951,0.03242594730900744,0.06087875225978749
AE+XGBoost,1,0.7858589004827908,0.4541095890410959,0.5342465753424658,0.4909292854498334,0.7649574231766013,0.5185166283677841,,,,,,
AE+XGBoost,2,0.7744919874442425,0.48243001786777845,0.6202143950995406,0.542713567839196,0.8175243911605654,0.5805047725167887,,,,,,
AE+XGBoost,3,0.8181233933161953,0.5338645418326693,0.6515397082658023,0.5868613138686132,0.8353137393100626,0.6206410923601926,,,,,,
AE+XGBoost,4,0.8068162356567905,0.5658734764944864,0.7195571955719557,0.6335282651072125,0.8654805441899199,0.6993295471962916,,,,,,
AE+XGBoost,5,0.8279247794974205,0.5747760165403171,0.6666666666666666,0.6173205033308661,0.8656929857543137,0.682253450659226,,,,,,
AE+XGBoost,mean,0.802643059279488,0.5222107283552695,0.6384449081892861,0.5742705871191442,0.8297938167182926,0.6202490982200566,0.01985151053259086,0.04695876184140693,0.061215665937111974,0.051893953628960966,0.03727481490642128,0.06637396724460655
AE+RF,1,0.7880392462233297,0.4569583931133429,0.5132957292506044,0.4834914611005693,0.7827104184880171,0.515575149889411,,,,,,
AE+RF,2,0.7923343796464563,0.5164099129269927,0.5903522205206738,0.5509110396570204,0.8178065876054225,0.5736325215498715,,,,,,
AE+RF,3,0.8234254498714653,0.5492341356673961,0.6102106969205835,0.5781190019193858,0.8349483407658103,0.5989549659497799,,,,,,
AE+RF,4,0.8158931323856825,0.5880503144654088,0.6900369003690037,0.634974533106961,0.8643053941690176,0.688980436108243,,,,,,
AE+RF,5,0.8310867032784157,0.5847701149425287,0.6506794564348521,0.6159667045024593,0.8666739580172768,0.6779733058228459,,,,,,
AE+RF,mean,0.8101557822810699,0.5390845742231338,0.6109150006991435,0.5726925480572792,0.8332889398091089,0.6110232758640303,0.01705196925306844,0.048675817064290125,0.05965623702170406,0.05331493730979592,0.03123211021414413,0.06513629204869299
AE+LR,1,0.7251206977106369,0.3661899897854954,0.5777598710717163,0.448265082838387,0.7503538216471335,0.46961918603290176,,,,,,
AE+LR,2,0.7169998347926648,0.40712003651300777,0.6830015313935681,0.510151558478696,0.7767854348889973,0.5053470849162567,,,,,,
AE+LR,3,0.7596401028277635,0.43212435233160623,0.6758508914100486,0.527180783817952,0.800665837347304,0.5175519014988255,,,,,,
AE+LR,4,0.7467032026031855,0.4707271010387158,0.7357933579335794,0.5741433918802188,0.8242317909352153,0.6004509519571887,,,,,,
AE+LR,5,0.7560326177400566,0.44556962025316454,0.7034372501998402,0.5455672659640421,0.8167189661469647,0.5675363293373686,,,,,,
AE+LR,mean,0.7408992911348615,0.424346219984398,0.6751685804017505,0.5210616165958591,0.793751170193123,0.5321010907485082,0.01693557799001858,0.035611814604401985,0.05296179503346259,0.04212840044675368,0.027112973089963542,0.046387075385026594
AE+LSTM,1,0.7067434978975238,0.361518550474547,0.6752618855761483,0.4709187974150042,0.7617437052570011,0.49754947570593316,,,,,,
AE+LSTM,2,0.7084090533619692,0.40536082474226803,0.7526799387442573,0.5269364781559903,0.8082506207676582,0.5604508190529736,,,,,,
AE+LSTM,3,0.7463046272493573,0.4195804195804196,0.7293354943273906,0.5327019828351583,0.8253662917406936,0.592208640158606,,,,,,
AE+LSTM,4,0.7367699948621339,0.46186085498742663,0.8132841328413284,0.5891472868217055,0.8525283830001547,0.6673550210956067,,,,,,
AE+LSTM,5,0.7527042769179564,0.4477080551846907,0.8041566746602717,0.5751858204688394,0.8504239903579449,0.6392137314656602,,,,,,
AE+LSTM,mean,0.730186290057788,0.41920574099387037,0.7549436252298793,0.5389780731393395,0.8196625982246906,0.5913555374957559,0.019152118615869476,0.03507556044913703,0.05066679256015512,0.0415798155348341,0.03329800764817604,0.05970215217595097
AE+GRU,1,0.7332191247469242,0.3808080808080808,0.6075745366639806,0.4681775846010556,0.7680566487979865,0.4949398159764646,,,,,,
AE+GRU,2,0.7123740294069056,0.4110429447852761,0.7695252679938744,0.5358571047720608,0.8133837087726238,0.5675429070171046,,,,,,
AE+GRU,3,0.7696015424164524,0.44969818913480886,0.7244732576985413,0.5549348230912476,0.8318615350636442,0.595971716172371,,,,,,
AE+GRU,4,0.7429354341496832,0.4690939881456393,0.8177121771217712,0.5961797148237826,0.8577616683838559,0.6719401488390664,,,,,,
AE+GRU,5,0.7743384922616076,0.4746987951807229,0.7873701039168665,0.5923030667468431,0.861676862797278,0.6628271327038816,,,,,,
AE+GRU,mean,0.7464937245963146,0.4370683996109056,0.7413310686790069,0.549490458806998,0.8265480847630776,0.5986443441417777,0.023075235048098743,0.035899148585534585,0.07338061735271043,0.04656199948959389,0.034149964799983085,0.06514718232940529
