fold,split,epoch,mse
1,train,1,0.5423299079533104
1,train,2,0.4476070631322243
1,train,3,0.42705064679650095
1,train,4,0.4033131064485303
1,train,5,0.3921933455004109
1,train,6,0.3798305615246725
1,train,7,0.37346664639256844
1,train,8,0.3692247993011269
1,train,9,0.36508328719533606
1,train,10,0.3623041892223221
1,train,11,0.35882903528299265
1,train,12,0.35672315226184376
1,train,13,0.35240711496888305
1,train,14,0.35240288818482873
1,train,15,0.3490707820696796
1,train,16,0.34733126510819085
1,train,17,0.3440492717053393
1,train,18,0.3436100263175347
1,train,19,0.3426923698229755
1,train,20,0.34008281887006414
2,train,1,0.5331801356787377
2,train,2,0.4418675511652696
2,train,3,0.411167563804498
2,train,4,0.3899281731945403
2,train,5,0.378369373738343
2,train,6,0.37052701836359414
2,train,7,0.3639906808628258
2,train,8,0.35869684339837826
2,train,9,0.3548418571974369
2,train,10,0.3509429085550579
2,train,11,0.34754768151340754
2,train,12,0.3440088577938418
2,train,13,0.3428121270968559
2,train,14,0.3397025220783044
2,train,15,0.3373666769223856
2,train,16,0.33571059716508744
2,train,17,0.3341395978597885
2,train,18,0.33109324916880184
2,train,19,0.3327678847820201
2,train,20,0.33026462729941025
3,train,1,0.5348362669348716
3,train,2,0.4489926747977734
3,train,3,0.4213782215757029
3,train,4,0.40338297390512057
3,train,5,0.3865186153778008
3,train,6,0.3788598286254065
3,train,7,0.37237044359956467
3,train,8,0.3673699897314821
3,train,9,0.3667968644627503
3,train,10,0.35750975268227714
3,train,11,0.3558423148734229
3,train,12,0.3521838975804193
3,train,13,0.35118223024266104
3,train,14,0.3470892424029963
3,train,15,0.33898289746471816
3,train,16,0.33675096769418034
3,train,17,0.3357847535716636
3,train,18,0.336264260326113
3,train,19,0.3338874015424933
3,train,20,0.3323582161217928
4,train,1,0.5391439682813921
4,train,2,0.44422851866209884
4,train,3,0.417356395468695
4,train,4,0.4002098408478309
4,train,5,0.3861302573352315
4,train,6,0.37539437813388166
4,train,7,0.3695196309275004
4,train,8,0.3630910945444141
4,train,9,0.3609401118207736
4,train,10,0.35705751728253315
4,train,11,0.3506368729335259
4,train,12,0.3486508395351706
4,train,13,0.3460110119501188
4,train,14,0.3453448806550393
4,train,15,0.3438485661791407
4,train,16,0.33829212999596614
4,train,17,0.34065595227079765
4,train,18,0.33805370499304244
4,train,19,0.33502910352005977
4,train,20,0.33471281494774163
5,train,1,0.5303326657446253
5,train,2,0.4436665303554399
5,train,3,0.41599085502777233
5,train,4,0.3971059744468363
5,train,5,0.38538620194082157
5,train,6,0.37522087031411955
5,train,7,0.3710166347408634
5,train,8,0.3646982228416565
5,train,9,0.3605787190890397
5,train,10,0.35571927521576663
5,train,11,0.3534939119400079
5,train,12,0.3509008204597595
5,train,13,0.3477425338746814
5,train,14,0.345843620996034
5,train,15,0.3454445411726249
5,train,16,0.3412905145582355
5,train,17,0.339353421828925
5,train,18,0.33752941247407225
5,train,19,0.33667349184323037
5,train,20,0.3345473097948841
1,val,1,0.4491194188594818
1,val,2,0.41783463954925537
1,val,3,0.40280264616012573
1,val,4,0.3714190125465393
1,val,5,0.36001425981521606
1,val,6,0.35020947456359863
1,val,7,0.3496854305267334
1,val,8,0.3430570662021637
1,val,9,0.35002434253692627
1,val,10,0.3533416986465454
1,val,11,0.350089967250824
1,val,12,0.33336666226387024
1,val,13,0.3325392007827759
1,val,14,0.33128270506858826
