model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7792123950936087,0.47591660675772823,0.6903023983315955,0.563404255319149,0.8262032372839567,0.6013459083435594,,,,,,
AE+MLP,2,0.7569349704411096,0.3850883935434281,0.6506493506493507,0.48382423949782716,0.7975873079511447,0.49285744001303083,,,,,,
AE+MLP,3,0.748788012340238,0.43603482920294706,0.6859852476290832,0.5331695331695332,0.7977352060108733,0.5389391375529635,,,,,,
AE+MLP,4,0.7261277765056102,0.4708333333333333,0.8339483394833949,0.6018641810918774,0.84666831704869,0.6642349864691623,,,,,,
AE+MLP,5,0.7792702037161406,0.44581818181818184,0.7323775388291517,0.554249547920434,0.8397095753889497,0.6099219677549722,,,,,,
AE+MLP,mean,0.7580666716193414,0.4427382689311237,0.7186525749845151,0.5473023513997641,0.8215807287367228,0.5814598880267376,0.02002098239992534,0.032459404937548064,0.06320888111127285,0.0387652817620114,0.020609235544205778,0.0595242282159544
AE+XGBoost,1,0.8188078330105444,0.5582089552238806,0.5849843587069864,0.5712830957230143,0.8361563247146001,0.6266082043202036,,,,,,
AE+XGBoost,2,0.7939972714870396,0.4397163120567376,0.6441558441558441,0.5226554267650158,0.8163758788069704,0.5273941536466322,,,,,,
AE+XGBoost,3,0.8074041427941825,0.5365141187925998,0.5806111696522656,0.5576923076923077,0.8133225835527771,0.6187202700390172,,,,,,
AE+XGBoost,4,0.805587359743531,0.5917252146760343,0.6992619926199262,0.641014799154334,0.8578068502281122,0.6957521536252046,,,,,,
AE+XGBoost,5,0.826281620774569,0.5285313376987839,0.6750298685782556,0.5928646379853095,0.8604852697716823,0.6648682303262066,,,,,,
AE+XGBoost,mean,0.8104156455619733,0.5309391876896072,0.6368086467426556,0.5771020534639962,0.8368293814148284,0.626668602391453,0.011172309338253162,0.05059065513566586,0.04745350731279917,0.03926405937108486,0.019854589251570763,0.05683369499534554
AE+RF,1,0.8213901441790402,0.5714285714285714,0.5380604796663191,0.5542427497314716,0.8351387358939966,0.6092666204598104,,,,,,
AE+RF,2,0.7921782628467485,0.4329608938547486,0.6038961038961039,0.5043383947939263,0.8076318389438566,0.5051416857201005,,,,,,
AE+RF,3,0.8087263111502865,0.5391304347826087,0.5879873551106428,0.5625,0.8315835090301974,0.6205625741036294,,,,,,
AE+RF,4,0.8044424089764141,0.5933441558441559,0.6743542435424354,0.6312607944732297,0.8584213880518334,0.6894579942308667,,,,,,
AE+RF,5,0.8291918513543766,0.5357833655705996,0.6618876941457587,0.5921966862640299,0.8578127314197697,0.6469381395849079,,,,,,
AE+RF,mean,0.8111857957013731,0.5345294842961368,0.613237175272252,0.5689077250525315,0.8381176406679309,0.614273402819863,0.012970392453829185,0.05506292354822478,0.04995700874848029,0.04208467614715373,0.018873746921178446,0.06114582738952728
AE+LR,1,0.771680654185496,0.46205357142857145,0.6475495307612096,0.5392965696917065,0.8096645208426166,0.5640234010458929,,,,,,
AE+LR,2,0.741018644838563,0.36942675159235666,0.6779220779220779,0.478240952817224,0.790455905726027,0.4733790300346755,,,,,,
AE+LR,3,0.7390921110621419,0.4218230206254158,0.6680716543730242,0.5171288743882545,0.7940513705236202,0.538622565660275,,,,,,
AE+LR,4,0.7547515456835356,0.5038759689922481,0.7795202952029521,0.6120970662803332,0.8355845780510806,0.633879409992443,,,,,,
AE+LR,5,0.7635997313633311,0.4230498945888967,0.7192353643966547,0.5327433628318584,0.831745937708792,0.5861580100106712,,,,,,
AE+LR,mean,0.7540285374266136,0.43604584144549774,0.6984597845311837,0.5359013652018753,0.8123004625704272,0.5592124833487915,0.012618096988666356,0.04491461815828234,0.0467750379910237,0.04359911655767819,0.018641023309500182,0.05313319619377174
AE+LSTM,1,0.7523133204217775,0.4396984924623116,0.7299270072992701,0.5488043904351235,0.8256767714923581,0.5934218825667259,,,,,,
AE+LSTM,2,0.7353342428376535,0.3714099216710183,0.7389610389610389,0.4943527367506516,0.8094810922264063,0.5242170735360503,,,,,,
AE+LSTM,3,0.7362274129572499,0.4242053789731051,0.7312961011591148,0.5369439071566731,0.8081011497195653,0.5976974485874916,,,,,,
AE+LSTM,4,0.7359743531028166,0.4811372334609076,0.8118081180811808,0.6041881222107792,0.8498364042428117,0.6720309795903694,,,,,,
AE+LSTM,5,0.7669576897246474,0.43070652173913043,0.7574671445639187,0.5491554785621481,0.8426087199791991,0.613321989327788,,,,,,
AE+LSTM,mean,0.745361403808829,0.4294315096612946,0.7538918820129047,0.546688927023075,0.8271408275320681,0.600137874721685,0.012544474296892712,0.035140676089569715,0.030577401816691753,0.03507351916647145,0.01691664234620228,0.04723868687551996
AE+GRU,1,0.7714654615881213,0.4651791751183232,0.7174139728884255,0.5643970467596391,0.835596212613012,0.6075612532435279,,,,,,
AE+GRU,2,0.7678490222828559,0.4054257724189902,0.6987012987012987,0.5131139723414402,0.8163368604934207,0.5340363381513588,,,,,,
AE+GRU,3,0.7628911414720141,0.4558107167710508,0.690200210748156,0.5490360435875943,0.815900123342575,0.593536934750318,,,,,,
AE+GRU,4,0.75841538813831,0.5083863504916136,0.8108856088560885,0.6249555634553857,0.8517657214342476,0.6712172262049069,,,,,,
AE+GRU,5,0.7658383702708753,0.4308405029781602,0.7777777777777778,0.5545144804088586,0.8462322804453791,0.6258666982464336,,,,,,
AE+GRU,mean,0.7652918767504354,0.45312850355562767,0.7389957737943493,0.5612034213105835,0.8331662396657269,0.6064436901193091,0.0044271982946263826,0.034577877692193074,0.047207241064347684,0.03627648545478579,0.01485875962822921,0.04468449870422811
