model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7459290187891441,0.42226047045324155,0.7780126849894292,0.5474153960580141,0.8417067151685281,0.6014222369011696,,,,,,
AE+MLP,2,0.7531772575250836,0.4276315789473684,0.7328072153325818,0.540091400083091,0.8289585909245584,0.5963095859281112,,,,,,
AE+MLP,3,0.7435086927071574,0.38159675236806495,0.7175572519083969,0.49823321554770317,0.8121382357604496,0.5205619277053332,,,,,,
AE+MLP,4,0.7521944632005402,0.5053161723559038,0.80625,0.6212590299277606,0.8532232062250119,0.6714846155050873,,,,,,
AE+MLP,5,0.753252579632122,0.46517571884984027,0.7346115035317861,0.5696400625978091,0.8290507268037082,0.6247903156622676,,,,,,
AE+MLP,mean,0.7496124023708094,0.4403961385948838,0.7538477311524387,0.5553278208428756,0.8330154949764512,0.6029137363403938,0.004085307997226241,0.04189950511338569,0.033044447089087194,0.04026490663792306,0.013798019509004585,0.04900655048247355
AE+XGBoost,1,0.8233820459290188,0.544404973357016,0.6479915433403806,0.5916988416988417,0.851872883910127,0.6390693144181231,,,,,,
AE+XGBoost,2,0.8292084726867336,0.5699421965317919,0.5558060879368658,0.5627853881278538,0.8382613289482507,0.6259539630918807,,,,,,
AE+XGBoost,3,0.7929555204335065,0.4426946631671041,0.6437659033078881,0.5246241575946086,0.8197506948038659,0.5457315893766465,,,,,,
AE+XGBoost,4,0.7911321179383299,0.57007299270073,0.6973214285714285,0.6273092369477912,0.8521476398263188,0.6844371492541428,,,,,,
AE+XGBoost,5,0.8106774338268282,0.5654496883348175,0.6407669021190716,0.6007568590350048,0.8368591043068027,0.6537090142532124,,,,,,
AE+XGBoost,mean,0.8094711181628833,0.5385129028182918,0.637130373055127,0.58143489668082,0.839778330359073,0.6297802060788011,0.015450670988605225,0.04883703868124291,0.04563293139717463,0.03509531631505295,0.011926503278435793,0.0463142892347505
AE+RF,1,0.8248434237995824,0.551294343240652,0.6078224101479915,0.5781799899446959,0.8477988265394796,0.6329794931711402,,,,,,
AE+RF,2,0.8318840579710145,0.5871559633027523,0.5050732807215332,0.5430303030303031,0.8375177741862101,0.6069977838532553,,,,,,
AE+RF,3,0.7961165048543689,0.44598337950138506,0.6145038167938931,0.5168539325842697,0.8180109785646285,0.5369913387010306,,,,,,
AE+RF,4,0.7958586540625703,0.5804988662131519,0.6857142857142857,0.628735161686451,0.8554861140965565,0.687082748588571,,,,,,
AE+RF,5,0.8124719605204127,0.5714285714285714,0.6256306760847629,0.5973025048169557,0.8488670896447026,0.6540442909025824,,,,,,
AE+RF,mean,0.8122349202415897,0.5472722247373024,0.6077488938924932,0.5728203784125351,0.8415361566063154,0.6236191310433159,0.014649945884792175,0.05206507274108274,0.058285978389958755,0.03943159795786603,0.01309309991600072,0.05063907793802527
AE+LR,1,0.7578288100208769,0.43149807938540335,0.7124735729386892,0.5374800637958532,0.8218183578152601,0.5732958391312672,,,,,,
AE+LR,2,0.7723522853957636,0.44682539682539685,0.6347237880496054,0.5244527247321844,0.8105030478538434,0.5541895522254018,,,,,,
AE+LR,3,0.7509595845563333,0.38422205989773556,0.6692111959287532,0.48816705336426913,0.792559748941642,0.49284086017390966,,,,,,
AE+LR,4,0.7445419761422463,0.49581706636921363,0.79375,0.6103673189152077,0.8316062830488801,0.6279653781319012,,,,,,
AE+LR,5,0.7514580529385375,0.460231135282121,0.6831483350151363,0.5499593826157595,0.8015881031388059,0.5793065963605133,,,,,,
AE+LR,mean,0.7554281418107515,0.44371874755197405,0.6986613783864368,0.5420853086846548,0.8116151081596863,0.5655196452045985,0.009449106375659514,0.036567049687129406,0.053718908958071444,0.03990921827227108,0.013918603376241418,0.04372778424627318
AE+LSTM,1,0.744258872651357,0.4204221334854535,0.7790697674418605,0.5461281956280104,0.8345382716646902,0.6137124836739544,,,,,,
AE+LSTM,2,0.7255295429208473,0.39941520467836256,0.770011273957159,0.5259915286869464,0.8261717489297888,0.57281118112301,,,,,,
AE+LSTM,3,0.7516369383608038,0.38959212376933894,0.7048346055979644,0.5018115942028986,0.8100372354803628,0.5233857814940027,,,,,,
AE+LSTM,4,0.75016880486158,0.5028473804100227,0.7883928571428571,0.614047287899861,0.8487073320149606,0.6722189743325905,,,,,,
AE+LSTM,5,0.7835352175863616,0.5099085365853658,0.6750756811301716,0.5809813287016934,0.8171751707100274,0.6348287392485231,,,,,,
AE+LSTM,mean,0.7510258752761899,0.4444370757857087,0.7434768370540026,0.5537919870238819,0.8273259517599658,0.6033914319744161,0.018728697730101163,0.05159443954325928,0.045078425171257125,0.03975807340567296,0.013508895074804255,0.05131883637579177
AE+GRU,1,0.7870563674321504,0.4732272069464544,0.6913319238900634,0.5618556701030928,0.8381829236634671,0.6183258475010385,,,,,,
AE+GRU,2,0.7206243032329989,0.39372822299651566,0.7643742953776775,0.5197393637408969,0.8251230014419887,0.5893829654243871,,,,,,
AE+GRU,3,0.7218333709641003,0.3626847290640394,0.7493638676844784,0.4887966804979253,0.8134380899895858,0.5321182474374504,,,,,,
AE+GRU,4,0.7611973891514743,0.5172413793103449,0.7901785714285714,0.6252207700459201,0.8555145952452603,0.6795890099393804,,,,,,
AE+GRU,5,0.7480933153880664,0.4582806573957016,0.7315842583249244,0.5635445005829771,0.8276525068273823,0.6323429093618285,,,,,,
AE+GRU,mean,0.747760949233758,0.4410324391426112,0.745366583341143,0.5518313969941625,0.8319822234335369,0.610351795932817,0.025033637959390634,0.0557097104786792,0.033151418009430465,0.04610196743321152,0.01415557461802711,0.048787634365111625
