fold,split,epoch,mse
1,train,1,0.5224372074007988
1,train,2,0.4398387745022774
1,train,3,0.4133796211938525
1,train,4,0.39376047626137733
1,train,5,0.3790614362372908
1,train,6,0.37154572976883066
1,train,7,0.36482874555296674
1,train,8,0.3596117100570091
1,train,9,0.3562303330142831
1,train,10,0.3505235414865405
1,train,11,0.34662107161657757
1,train,12,0.34707361650328306
1,train,13,0.3444272023300792
1,train,14,0.3390210251822028
1,train,15,0.3386305801916954
1,train,16,0.33785359518126
1,train,17,0.33532526500003285
1,train,18,0.33227389097906823
1,train,19,0.33163200764981815
1,train,20,0.33039277293827646
2,train,1,0.5176452437285767
2,train,2,0.43772678129201714
2,train,3,0.4135596546842608
2,train,4,0.39662604995591694
2,train,5,0.38238066417533295
2,train,6,0.37245662952231806
2,train,7,0.36823915759491366
2,train,8,0.36285899553534595
2,train,9,0.3599652224328629
2,train,10,0.3563338035587655
2,train,11,0.3527146255554155
2,train,12,0.34988392352364783
2,train,13,0.350225011623183
2,train,14,0.33817306888657944
2,train,15,0.3350596978047559
2,train,16,0.33415112089972165
2,train,17,0.3336028232304163
2,train,18,0.3316553179607835
2,train,19,0.3309185120255448
2,train,20,0.32993797316800716
3,train,1,0.5259886886491332
3,train,2,0.439502784765737
3,train,3,0.41223423347570176
3,train,4,0.3920838737557101
3,train,5,0.3788785433699918
3,train,6,0.3701016716659069
3,train,7,0.3657172499874303
3,train,8,0.3608725919106672
3,train,9,0.3552607045790484
3,train,10,0.3514572965890862
3,train,11,0.35090822726488113
3,train,12,0.3475608632488306
3,train,13,0.341940920713336
3,train,14,0.341806351705346
3,train,15,0.3381627178642639
3,train,16,0.3356483088329781
3,train,17,0.3342700426488422
3,train,18,0.3324773965706659
3,train,19,0.3326117339175801
3,train,20,0.3306234634892885
4,train,1,0.5240397283624363
4,train,2,0.4374486225188812
4,train,3,0.40918648113749617
4,train,4,0.39210292636659105
4,train,5,0.3793703946419534
4,train,6,0.3703583475482257
4,train,7,0.3649052971532579
4,train,8,0.35999301282656676
4,train,9,0.3539312610650338
4,train,10,0.35448175582582553
4,train,11,0.352387682809306
4,train,12,0.3494429329916232
4,train,13,0.3446123593976732
4,train,14,0.34474635882184684
4,train,15,0.34281738490038527
4,train,16,0.3407709866417626
4,train,17,0.3385585624014022
4,train,18,0.33779323600620204
4,train,19,0.3381820647530473
4,train,20,0.33650397393055737
5,train,1,0.518483476631843
5,train,2,0.43664437462915134
5,train,3,0.40993900618817297
5,train,4,0.3926349874835668
5,train,5,0.3800184840537369
5,train,6,0.37035221113407923
5,train,7,0.36558025693059315
5,train,8,0.3617335572708452
5,train,9,0.3576443457742474
5,train,10,0.35265826362215047
5,train,11,0.34961792913539763
5,train,12,0.34481978446853406
5,train,13,0.34347771833658913
5,train,14,0.34218434837399697
5,train,15,0.34127498576661935
5,train,16,0.3372543862540242
5,train,17,0.336050405620486
5,train,18,0.3336519492958447
5,train,19,0.33387608013764764
5,train,20,0.3317459978098077
1,val,1,0.42077380418777466
1,val,2,0.38649213314056396
1,val,3,0.3554345667362213
1,val,4,0.33788707852363586
1,val,5,0.3283664584159851
1,val,6,0.32061514258384705
1,val,7,0.3236965835094452
1,val,8,0.31292808055877686
1,val,9,0.3135225176811218
1,val,10,0.30898377299308777
1,val,11,0.31513711810112
1,val,12,0.3041593134403229
1,val,13,0.30478861927986145
1,val,14,0.2994743287563324
1,val,15,0.31351780891418457
1,val,16,0.30381208658218384
1,val,17,0.29896053671836853
1,val,18,0.2973755896091461
1,val,19,0.297608345746994
1,val,20,0.2977190315723419
2,val,1,1.366965413093567
2,val,2,1.1055090427398682
2,val,3,1.2345349788665771
2,val,4,1.0934993028640747
2,val,5,1.0786027908325195
2,val,6,1.0014299154281616
2,val,7,1.170055866241455
2,val,8,1.5038114786148071
2,val,9,1.051468014717102
2,val,10,1.0172581672668457
2,val,11,1.2571754455566406
2,val,12,1.135374665260315
2,val,13,1.3207591772079468
2,val,14,1.1832778453826904
2,val,15,1.1566815376281738
2,val,16,1.1335599422454834
2,val,17,1.0968735218048096
2,val,18,1.2643201351165771
2,val,19,1.0330591201782227
2,val,20,1.1570004224777222
3,val,1,0.38706231117248535
3,val,2,0.3599180281162262
3,val,3,0.3439868986606598
3,val,4,0.325630784034729
3,val,5,0.31873711943626404
3,val,6,0.3118431568145752
3,val,7,0.3101062774658203
3,val,8,0.3039872348308563
3,val,9,0.3023947477340698
3,val,10,0.30116766691207886
3,val,11,0.2976967990398407
3,val,12,0.29752179980278015
3,val,13,0.292998343706131
3,val,14,0.2934007942676544
3,val,15,0.29547202587127686
3,val,16,0.29207223653793335
3,val,17,0.287302702665329
3,val,18,0.2877114415168762
3,val,19,0.2860426604747772
3,val,20,0.2870596647262573
4,val,1,0.44244351983070374
4,val,2,0.39007335901260376
4,val,3,0.37715914845466614
4,val,4,0.36163216829299927
4,val,5,0.36836034059524536
4,val,6,0.3394423723220825
4,val,7,0.3462580144405365
4,val,8,0.3366415202617645
4,val,9,0.3346118628978729
4,val,10,0.3354116976261139
4,val,11,0.32941779494285583
4,val,12,0.32851696014404297
4,val,13,0.3481839597225189
4,val,14,0.33214372396469116
4,val,15,0.3362733721733093
4,val,16,0.32543712854385376
4,val,17,0.3338245451450348
4,val,18,0.3577958941459656
4,val,19,0.3371763229370117
4,val,20,0.3198623061180115
5,val,1,0.39878103137016296
5,val,2,0.37537989020347595
5,val,3,0.35043689608573914
5,val,4,0.34006398916244507
5,val,5,0.3233295679092407
5,val,6,0.32039642333984375
5,val,7,0.3136046826839447
5,val,8,0.313012957572937
5,val,9,0.3090713322162628
5,val,10,0.311903178691864
5,val,11,0.3052741587162018
5,val,12,0.30401715636253357
5,val,13,0.30670419335365295
5,val,14,0.30117860436439514
5,val,15,0.2980061173439026
5,val,16,0.2969413101673126
5,val,17,0.29750609397888184
5,val,18,0.2951197922229767
5,val,19,0.29830923676490784
5,val,20,0.29481250047683716
