model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7648020341445696,0.46527068437180796,0.7860224331320104,0.5845364132178377,0.852913546239877,0.6219115336096057,,,,,,
AE+MLP,2,0.7542742815569298,0.4389438943894389,0.7068201948627104,0.5415676959619953,0.8107152798290396,0.5881338438080101,,,,,,
AE+MLP,3,0.7759463865241804,0.45185614849187933,0.7273576097105509,0.5574239713774598,0.8407694163807846,0.5918250350449384,,,,,,
AE+MLP,4,0.7442161761984083,0.42981029810298105,0.7061442564559216,0.534366576819407,0.8079297775484559,0.5602113278229812,,,,,,
AE+MLP,5,0.7639238232123607,0.44602739726027396,0.7287376902417189,0.5533650577838205,0.8321315101439108,0.6006144838622672,,,,,,
AE+MLP,mean,0.7606325403272898,0.44638168452327626,0.7310164368805824,0.5542519430321041,0.8288919060284137,0.5925392448295607,0.010701921069292207,0.011973480366642293,0.029149006202547335,0.01722971489518377,0.017311326095056093,0.01996473243184153
AE+XGBoost,1,0.817835088993825,0.5555555555555556,0.6729939603106126,0.6086617245415529,0.8582468287611401,0.6409260626428244,,,,,,
AE+XGBoost,2,0.808475809385231,0.529320987654321,0.6076173604960142,0.5657731958762887,0.8308697581661277,0.628641027971091,,,,,,
AE+XGBoost,3,0.8286542293062851,0.5487900078064013,0.6563958916900093,0.5977891156462585,0.8491496973321163,0.6194540150499933,,,,,,
AE+XGBoost,4,0.7914121784193966,0.4985875706214689,0.628673196794301,0.5561244584482079,0.8177815597406812,0.5855100056706974,,,,,,
AE+XGBoost,5,0.8144089112468559,0.531390134529148,0.6365264100268576,0.5792260692464358,0.8406721516891024,0.6414569252193596,,,,,,
AE+XGBoost,mean,0.8121572434703188,0.5327288512333789,0.640441363863559,0.5815149127517488,0.8393439991378336,0.6231976073107932,0.01227492696619093,0.019789148132671387,0.022563024222810955,0.019491098967076584,0.014085341507020427,0.020550919433585176
AE+RF,1,0.8203777697057755,0.5650842266462481,0.636755823986195,0.5987829614604463,0.8548827124435783,0.6312847607985352,,,,,,
AE+RF,2,0.8099308839578029,0.5338709677419354,0.5863596102745793,0.5588856057408189,0.8350598396261931,0.6334071736458976,,,,,,
AE+RF,3,0.8252128237638109,0.5449152542372881,0.6003734827264239,0.5713016437139049,0.842942540312005,0.59580615352242,,,,,,
AE+RF,4,0.8002961317786415,0.5165165165165165,0.6126447016918967,0.5604887983706721,0.8193521608508584,0.5766202669734232,,,,,,
AE+RF,5,0.8192597915918074,0.5431906614785992,0.6248880931065354,0.5811823480432973,0.8409957233406037,0.6371063640771334,,,,,,
AE+RF,mean,0.8150154801595676,0.5407155253241174,0.6122043423571261,0.5741282714658279,0.8386465953146477,0.614844943803482,0.008868669354399075,0.0158116262403379,0.017730009112346064,0.014723978024007791,0.011599353973158385,0.02422393958992774
AE+LR,1,0.7684344351616419,0.4678848283499446,0.729076790336497,0.5699831365935919,0.8328253118739671,0.5866325190577424,,,,,,
AE+LR,2,0.7513641324117861,0.42770352369380316,0.6235606731620903,0.5073873873873874,0.7786411266591399,0.5483947837157428,,,,,,
AE+LR,3,0.7703314616917225,0.43945912722802705,0.6676003734827264,0.5300222386953298,0.8144304912976428,0.5388889170219494,,,,,,
AE+LR,4,0.7295946696279845,0.40913978494623654,0.6776491540516474,0.5102246061012403,0.7832173084445034,0.518548370087178,,,,,,
AE+LR,5,0.7725476104922745,0.45552238805970147,0.6830796777081468,0.5465616045845272,0.8166690914417913,0.5582591983742948,,,,,,
AE+LR,mean,0.758454461877082,0.43994193045554264,0.6761933337482215,0.5328357946724154,0.8051566659434088,0.5501447576513814,0.016263088328081567,0.020602621526838377,0.033734958286956725,0.023388570921432206,0.020825479471971962,0.0224734908051737
AE+LSTM,1,0.7435524881946967,0.439847836424156,0.7981018119068162,0.5671367259350092,0.843379733089753,0.6141162252761089,,,,,,
AE+LSTM,2,0.7437249909057839,0.4256110520722636,0.7094774136403897,0.5320491531052807,0.815410976886231,0.6009393078943217,,,,,,
AE+LSTM,3,0.7757652599166818,0.45181765724177725,0.7310924369747899,0.5584878744650499,0.8326008455816784,0.5688137759323709,,,,,,
AE+LSTM,4,0.7556912826207662,0.44161232957913454,0.6634016028495102,0.5302491103202847,0.8038421367997935,0.5535230116537091,,,,,,
AE+LSTM,5,0.7727272727272727,0.4574223245109321,0.711727842435094,0.5569176882661997,0.8328673941796946,0.6081095419550128,,,,,,
AE+LSTM,mean,0.7582922588730403,0.44326223996565267,0.72276022156132,0.5489681104183648,0.8256202173074302,0.5891003725423046,0.013783371166647757,0.010951236907066928,0.043743280719004504,0.01497045334309475,0.014107902219101466,0.023683734544371164
AE+GRU,1,0.7845986196876135,0.49248747913188645,0.7635893011216566,0.5987821380243572,0.8592479853311905,0.6441860575745229,,,,,,
AE+GRU,2,0.7480902146234994,0.42935982339955847,0.6891054030115146,0.5290717443046583,0.8079769679323343,0.5711524136655253,,,,,,
AE+GRU,3,0.7748596268791885,0.4521690767519466,0.7591036414565826,0.566747995817358,0.846445409624524,0.6053793678760467,,,,,,
AE+GRU,4,0.7133074218027022,0.40193370165745856,0.7773820124666073,0.5298937784522003,0.8178948452492906,0.5775565431339015,,,,,,
AE+GRU,5,0.7385914480776141,0.4182785299806576,0.7743957027752909,0.543171114599686,0.836849860942668,0.615488227140872,,,,,,
AE+GRU,mean,0.7518894662141237,0.4388457221843015,0.7527152121663303,0.553533354239652,0.8336830138160014,0.6027525218781736,0.02560219815525181,0.03140203431508558,0.03250772329836698,0.026407025960530933,0.01863621473225491,0.02653013596900103
