fold,split,epoch,mse
1,train,1,0.5088757782481438
1,train,2,0.4331237340216027
1,train,3,0.409021113674308
1,train,4,0.39250972927656286
1,train,5,0.38138857414556104
1,train,6,0.37460995179622675
1,train,7,0.36945454784950543
1,train,8,0.36339813384205794
1,train,9,0.36025620728384616
1,train,10,0.35763204054430475
1,train,11,0.3522043145846489
1,train,12,0.3516909826633542
1,train,13,0.35029518812201743
1,train,14,0.3481739921452001
1,train,15,0.34612122334020085
1,train,16,0.3436639636408451
1,train,17,0.34209099541916405
1,train,18,0.34149461022989697
1,train,19,0.33916157986535583
1,train,20,0.33774086061951725
2,train,1,0.5132120935203031
2,train,2,0.4334811425313007
2,train,3,0.40812252903747004
2,train,4,0.3915757016213827
2,train,5,0.38356898777013604
2,train,6,0.375220270350922
2,train,7,0.3705167586720267
2,train,8,0.36641234029517616
2,train,9,0.3603217579251112
2,train,10,0.3589787892997265
2,train,11,0.35563837468277576
2,train,12,0.3540243677968203
2,train,13,0.3512076226951078
2,train,14,0.34812354261791983
2,train,15,0.3466938769574775
2,train,16,0.34615609041133594
2,train,17,0.34363237586478856
2,train,18,0.34144180363347365
2,train,19,0.3400470007990682
2,train,20,0.33864583681489147
3,train,1,0.5140378045481305
3,train,2,0.4344988979052666
3,train,3,0.4084591740785643
3,train,4,0.39012514825823696
3,train,5,0.3796838411065035
3,train,6,0.3744634278984957
3,train,7,0.36846433701210246
3,train,8,0.3645553012746711
3,train,9,0.3615465655403082
3,train,10,0.3580711765518022
3,train,11,0.3551079756472
3,train,12,0.3521424634165542
3,train,13,0.35006237983010535
3,train,14,0.34804792832150017
3,train,15,0.34678812922779906
3,train,16,0.34439686633819755
3,train,17,0.3424633803755738
3,train,18,0.3411268418611482
3,train,19,0.3404859719408113
3,train,20,0.3397661425000013
4,train,1,0.515213706331446
4,train,2,0.43422096493960805
4,train,3,0.40815226888725525
4,train,4,0.39057993001676017
4,train,5,0.38259178822095685
4,train,6,0.37564271903796004
4,train,7,0.3704284234026264
4,train,8,0.3663014686865614
4,train,9,0.36286024516717547
4,train,10,0.36046359700963676
4,train,11,0.3586252808915397
4,train,12,0.35495022714482566
4,train,13,0.35432479836348163
4,train,14,0.3512522148431381
4,train,15,0.34924305467247274
4,train,16,0.3468421111044856
4,train,17,0.3458727795436892
4,train,18,0.3452077251293756
4,train,19,0.34298745693498955
4,train,20,0.34144389844698714
5,train,1,0.5122046733910419
5,train,2,0.43539762844497193
5,train,3,0.40763956951330427
5,train,4,0.3924101472074714
5,train,5,0.3804593611041589
5,train,6,0.37483044233683593
5,train,7,0.37041424262627914
5,train,8,0.365548396162667
5,train,9,0.36202274858082695
5,train,10,0.35675182000193584
5,train,11,0.35500342592206013
5,train,12,0.3519365835294084
5,train,13,0.3492876379031134
5,train,14,0.34704220486104315
5,train,15,0.3454306167346743
5,train,16,0.3432442608449619
5,train,17,0.3432465051423009
