model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7586269524155467,0.4582514734774067,0.8050043140638481,0.584037558685446,0.8529994900929364,0.6183212698401043,,,,,,
AE+MLP,2,0.747180793015642,0.43297380585516176,0.7466784765279008,0.548114434330299,0.8282324072026098,0.6122966823450149,,,,,,
AE+MLP,3,0.7936967940590473,0.4787765293383271,0.7161531279178338,0.5738870183314628,0.8397941648569539,0.5907182973526901,,,,,,
AE+MLP,4,0.7245974458634092,0.41153659718856034,0.7560106856634016,0.5329566854990584,0.8175875492048168,0.5648177656268283,,,,,,
AE+MLP,5,0.757096658282429,0.43799472295514513,0.7430617726051925,0.5511288180610889,0.8346215831547954,0.6048303900068993,,,,,,
AE+MLP,mean,0.7562397287272148,0.44390662576292017,0.7533816753556353,0.558024902981471,0.8346470389024224,0.5981968810343075,0.022328292767398894,0.022908429571487064,0.029014501663921048,0.018452392061792486,0.011793894241293248,0.019067739364521063
AE+XGBoost,1,0.8241917907737014,0.570898292501856,0.6635030198446937,0.6137270550678372,0.8606342021204908,0.6529137248811628,,,,,,
AE+XGBoost,2,0.8093852309930883,0.5306122448979592,0.6217891939769707,0.5725938009787929,0.8179252690416273,0.6251913293669988,,,,,,
AE+XGBoost,3,0.8241260641188191,0.539872408293461,0.6321195144724556,0.5823655913978495,0.8469113188346499,0.6147049381055617,,,,,,
AE+XGBoost,4,0.7928928373126041,0.5014492753623189,0.616206589492431,0.5529364762285258,0.824779878662794,0.5951737367929012,,,,,,
AE+XGBoost,5,0.8165648580668343,0.5355029585798816,0.64816472694718,0.5864722559740786,0.8450588817903011,0.6492102959667073,,,,,,
AE+XGBoost,mean,0.8134321562530094,0.5356670359270954,0.6363566089467462,0.5816190359294168,0.8390619100899727,0.6274388050226664,0.011646325151829782,0.022160142456080383,0.01739278648087968,0.019794848217511866,0.015579953062567469,0.02159262142992382
AE+RF,1,0.8296403922993099,0.5910964550700742,0.6186367558239861,0.6045531197301856,0.8607667898660883,0.6437751378843268,,,,,,
AE+RF,2,0.8119316114950891,0.5387123064384678,0.5854738706820195,0.5611205432937182,0.830898546223382,0.6178296290945177,,,,,,
AE+RF,3,0.8257562035863069,0.5479331574318381,0.5816993464052288,0.5643115942028986,0.8407773896075286,0.5998040709594205,,,,,,
AE+RF,4,0.7943734962058115,0.5043731778425656,0.616206589492431,0.5547094188376753,0.825644135784489,0.588317973855762,,,,,,
AE+RF,5,0.8226733740567733,0.5515873015873016,0.622202327663384,0.5847707193941943,0.84183463516592,0.6378029326444806,,,,,,
AE+RF,mean,0.8168750155286582,0.5467404796740496,0.6048437780134099,0.5738930790917343,0.8399842993294817,0.6175059488877015,0.012698085858176644,0.027755383428106423,0.017501639877644967,0.01833748344037937,0.012034582234569028,0.021295243495637932
AE+LR,1,0.767889575009081,0.46636517806670436,0.7118205349439172,0.5635245901639344,0.8292976442055484,0.5854853730370708,,,,,,
AE+LR,2,0.7510003637686431,0.4294947121034078,0.6474756421612046,0.5164252914164607,0.7924893985951833,0.557522865738765,,,,,,
AE+LR,3,0.7699692084767252,0.4392180818570556,0.6713352007469654,0.5310192023633677,0.8145427459373262,0.5401216533665231,,,,,,
AE+LR,4,0.7329261521377013,0.4135135135135135,0.6812110418521816,0.5146316851664985,0.7967419753497392,0.5395846233037338,,,,,,
AE+LR,5,0.7651814588573482,0.44463869463869465,0.6830796777081468,0.5386516060713025,0.8138320039327639,0.5459947751890795,,,,,,
AE+LR,mean,0.7573933516498997,0.4386460360358752,0.678984419482483,0.5328504750363127,0.8093807536041121,0.5537418581270345,0.013917554667605685,0.017435483626964433,0.020742483271076535,0.017774245306154006,0.013328157527332416,0.01713418411837314
AE+LSTM,1,0.7589901925172539,0.45795795795795796,0.7894736842105263,0.5796642382008236,0.8468057766178335,0.621917345454937,,,,,,
AE+LSTM,2,0.7393597671880684,0.4243027888446215,0.7546501328609388,0.54319413452343,0.8203130559313435,0.6036658121261024,,,,,,
AE+LSTM,3,0.8119905814164101,0.5118790496760259,0.6638655462184874,0.5780487804878048,0.843660550362467,0.607059852283592,,,,,,
AE+LSTM,4,0.7747547658708125,0.46983311938382544,0.6518254674977738,0.5460649011562849,0.8115723903762452,0.5782768155800051,,,,,,
AE+LSTM,5,0.7308659719726913,0.4119278779472954,0.7976723366159355,0.5432926829268293,0.8382520047658402,0.6251331879229528,,,,,,
AE+LSTM,mean,0.7631922557930473,0.4551801587619452,0.7314974334807324,0.5580529474590346,0.8321207556107458,0.6072106026735178,0.028794449803587495,0.035387459425415484,0.061964675873388365,0.017024947642289127,0.013770010941329682,0.016656888344105107
AE+GRU,1,0.7600799128223756,0.45858895705521474,0.7739430543572045,0.5759229534510434,0.8514935870602299,0.6277273535058595,,,,,,
AE+GRU,2,0.742269916333212,0.42615384615384616,0.7360496014171833,0.5397856446898344,0.8246227497419719,0.61120870028744,,,,,,
AE+GRU,3,0.8063756565839522,0.5006747638326585,0.6928104575163399,0.5812769291030161,0.85282157806943,0.6168565706539605,,,,,,
AE+GRU,4,0.7240421987784564,0.41401869158878507,0.7889581478183437,0.5430585350904076,0.8299550186832666,0.590592277531512,,,,,,
AE+GRU,5,0.7793747754222062,0.4679376083188908,0.7251566696508505,0.5688202247191011,0.845757136535767,0.634490331974349,,,,,,
AE+GRU,mean,0.7624284919880406,0.45347477338987907,0.7433835861519843,0.5617728574106805,0.8409300140181329,0.6161750467906242,0.028649332631502007,0.03087517780572713,0.03450962452793046,0.017111182306607915,0.011512400910105285,0.01515594020267303
