fold,split,epoch,mse
1,train,1,0.6700099512240365
1,train,2,0.5408788477220843
1,train,3,0.4990904480752979
1,train,4,0.46090227835494557
1,train,5,0.43146669010107663
1,train,6,0.4216634005201333
1,train,7,0.40917643242412144
1,train,8,0.39783452851797946
1,train,9,0.39090024730637934
1,train,10,0.38557474523462276
1,train,11,0.37889774266536946
1,train,12,0.3673079745530228
2,train,1,0.6684678865360542
2,train,2,0.5428104508720654
2,train,3,0.49291213685777824
2,train,4,0.45568178321274233
2,train,5,0.43182218798869093
2,train,6,0.42069464827507314
2,train,7,0.4131258463775608
2,train,8,0.4018128284476173
2,train,9,0.393199053658566
2,train,10,0.38247214624999276
2,train,11,0.37470276895123467
2,train,12,0.36920167768085504
3,train,1,0.6563067468748965
3,train,2,0.521843897414879
3,train,3,0.47956772347990895
3,train,4,0.4502593073206888
3,train,5,0.4345182646328295
3,train,6,0.41951466740017207
3,train,7,0.411907451568355
3,train,8,0.393478856120311
3,train,9,0.3898069686453107
3,train,10,0.3819569813113817
3,train,11,0.38291740837231486
3,train,12,0.3617899860714523
4,train,1,0.6684503274064668
4,train,2,0.5361024218965584
4,train,3,0.4923968485123675
4,train,4,0.44831693224923713
4,train,5,0.4291135602643792
4,train,6,0.4129696113752647
4,train,7,0.4103122120591956
4,train,8,0.39489982319130024
4,train,9,0.3828199822717989
4,train,10,0.38004471938794765
4,train,11,0.3718485874189457
4,train,12,0.3616209929467927
5,train,1,0.65059655946745
5,train,2,0.5265711710696489
5,train,3,0.47698914490535227
5,train,4,0.4443067563041835
5,train,5,0.42462029434005977
5,train,6,0.4146248298421712
5,train,7,0.4002947515585053
5,train,8,0.3975482307059664
5,train,9,0.38232893475764235
5,train,10,0.3788004663418716
5,train,11,0.36906093820719654
5,train,12,0.36644429881388035
1,val,1,0.5273081185507459
1,val,2,0.4783562465765946
1,val,3,0.4451193876538579
1,val,4,0.4343143481717146
1,val,5,0.41623807308486377
1,val,6,0.3984140001906234
1,val,7,0.38934043294950416
1,val,8,0.37803832222043265
1,val,9,0.3772269082384634
1,val,10,0.36668618241365203
1,val,11,0.35499821970175766
1,val,12,0.35053757977469063
2,val,1,0.5949437260849243
2,val,2,0.5384824811637025
2,val,3,0.5025518887284873
2,val,4,0.45063176036368335
2,val,5,0.4467066883553541
2,val,6,0.4352055952567586
2,val,7,0.43748426547240077
2,val,8,0.4628807393913595
2,val,9,0.41609367390451535
2,val,10,0.4171986478183935
2,val,11,0.4083736412589854
2,val,12,0.396258003974838
3,val,1,0.6006911883480152
3,val,2,0.5511828121306745
3,val,3,0.4891451791634254
3,val,4,0.4660602608912774
3,val,5,0.45402575892143165
3,val,6,0.43423124629020904
3,val,7,0.41514587804283704
3,val,8,0.42746150198447175
3,val,9,0.4118752685188574
3,val,10,0.42307985635520445
3,val,11,0.41174682745808283
3,val,12,0.39801463849695073
4,val,1,0.4746502911984603
4,val,2,0.4332857534777904
4,val,3,0.3914661320181134
4,val,4,0.37324378424086463
4,val,5,0.3690299177860246
4,val,6,0.36123728431955227
4,val,7,0.3672283606765705
4,val,8,0.3535473079654208
4,val,9,0.3531031265504917
4,val,10,0.3433541747167683
4,val,11,0.33325443958983936
4,val,12,0.325269129138723
5,val,1,2.7162980424354157
5,val,2,2.403026768493424
5,val,3,2.554673064961925
5,val,4,2.432959908984141
5,val,5,2.306077366437152
5,val,6,2.270491648953967
5,val,7,2.238921635386583
5,val,8,2.340884510312395
5,val,9,2.3216240039869365
5,val,10,2.429601784260155
5,val,11,2.3230838561710514
5,val,12,1.8503537081773638
