model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7509394572025052,0.42178594046865103,0.7040169133192389,0.5275247524752475,0.8101074022171232,0.5473335989846011,,,,,,
AE+MLP,2,0.7877369007803791,0.4700460829493088,0.5749718151071026,0.5172413793103449,0.7974898994994714,0.5438338535012021,,,,,,
AE+MLP,3,0.7170918943328065,0.34505640345056404,0.6615776081424937,0.453554295682512,0.7727846425819953,0.4466108708415336,,,,,,
AE+MLP,4,0.7231600270087779,0.47058823529411764,0.7857142857142857,0.5886287625418061,0.8238688147543097,0.6324547525278549,,,,,,
AE+MLP,5,0.6926873037236428,0.4,0.7648839556004037,0.5252945252945252,0.8023032210575887,0.5697277936622758,,,,,,
AE+MLP,mean,0.7343231166096224,0.42149533243252824,0.6982329155767049,0.5224487430608872,0.8013107960220976,0.5479921739034934,0.03250909294152846,0.04705811751535635,0.0757175228587791,0.042865419264000997,0.016825992258699886,0.059836875443504994
AE+XGBoost,1,0.7864300626304802,0.47116104868913855,0.6649048625792812,0.5515124945199474,0.8234798802339882,0.5769140924773265,,,,,,
AE+XGBoost,2,0.7993311036789298,0.49355797819623387,0.5614430665163472,0.5253164556962026,0.8052306398456365,0.5600285442418687,,,,,,
AE+XGBoost,3,0.7561526303906073,0.3870967741935484,0.6412213740458015,0.4827586206896552,0.7918609288684283,0.4841812213813189,,,,,,
AE+XGBoost,4,0.7679495836146748,0.5302927161334241,0.6955357142857143,0.6017767477790653,0.8343759404152875,0.6564353585219098,,,,,,
AE+XGBoost,5,0.7606550022431584,0.4736111111111111,0.6881937436932392,0.5610859728506787,0.8157973244635816,0.597114051466351,,,,,,
AE+XGBoost,mean,0.7741036765115702,0.4711439256646912,0.6502597522240767,0.54449005830711,0.8141489427653843,0.5749346536177551,0.016305475350539684,0.047055244410031574,0.04831868302614335,0.039458588945768834,0.014664287781098847,0.0558508483846369
AE+RF,1,0.7903966597077244,0.4775541795665635,0.6522198731501057,0.5513851653261841,0.8259204647202856,0.572146362669988,,,,,,
AE+RF,2,0.8031215161649944,0.5020876826722338,0.5422773393461104,0.5214092140921409,0.8107576362416049,0.5573646301036037,,,,,,
AE+RF,3,0.7597651840144503,0.39089481946624804,0.6335877862595419,0.48349514563106794,0.7947704091432626,0.48887140348322483,,,,,,
AE+RF,4,0.7738014854827819,0.5394646533973919,0.7017857142857142,0.610011641443539,0.8403712222174454,0.6519528351719841,,,,,,
AE+RF,5,0.7566173171825931,0.46802721088435373,0.6942482341069627,0.5591223080048761,0.8222360052121822,0.6105403168648639,,,,,,
AE+RF,mean,0.7767404325105087,0.4756057091973582,0.644823789429687,0.5450846948995617,0.8188111475069562,0.576175109658733,0.01779994582959318,0.049023310141122094,0.05724362123650667,0.0419667960830333,0.015296568293806127,0.054617274200850885
AE+LR,1,0.7373695198329854,0.40262172284644193,0.6818181818181818,0.5062794348508635,0.7903759297595659,0.5194343110306014,,,,,,
AE+LR,2,0.7411371237458194,0.40459610027855153,0.6550169109357384,0.5002152389151958,0.780530239460354,0.5059951587481522,,,,,,
AE+LR,3,0.7087378640776699,0.3392857142857143,0.6768447837150128,0.4519966015293118,0.7651307991414397,0.42922076414096744,,,,,,
AE+LR,4,0.7148323205041639,0.4609250398724083,0.7741071428571429,0.5778073975341553,0.8078155227634237,0.5907945221038022,,,,,,
AE+LR,5,0.705697622252131,0.4088586030664395,0.7265388496468214,0.5232558139534884,0.7803543108047419,0.5163838497522325,,,,,,
AE+LR,mean,0.7215548900825539,0.4032574360699111,0.7028651737945795,0.511910897356603,0.784841360385905,0.5123657211551511,0.014795191311895193,0.03860441151279335,0.04253317273381889,0.0405691520962719,0.014040435871089045,0.05132417574742932
AE+LSTM,1,0.7365344467640919,0.4098173515981735,0.758985200845666,0.5322461082283173,0.8274879387002175,0.5743591866100839,,,,,,
AE+LSTM,2,0.7879598662207358,0.4720767888307155,0.6099210822998873,0.5322183964584358,0.8120028476298683,0.553797174658266,,,,,,
AE+LSTM,3,0.7243170015804922,0.34843205574912894,0.6361323155216285,0.45024763619990993,0.7757625729989335,0.4472112970008328,,,,,,
AE+LSTM,4,0.7051541751069097,0.45245245245245247,0.8071428571428572,0.5798588838999359,0.821971325394437,0.6261147850051757,,,,,,
AE+LSTM,5,0.7016599371915657,0.4096,0.7749747729566094,0.5359385903698535,0.8091767354124821,0.5918823297521125,,,,,,
AE+LSTM,mean,0.7311250853727591,0.41847572972609415,0.7174312457533295,0.5261019230312904,0.8092802840271875,0.5586729546052942,0.031139963542042213,0.042631804040010005,0.07906214420001649,0.04198953668660877,0.018019107897658752,0.06057193294895354
AE+GRU,1,0.7379958246346555,0.41074523396880414,0.7515856236786469,0.5311916324243556,0.8211070821224368,0.5574818550449463,,,,,,
AE+GRU,2,0.7732441471571906,0.4505327245053272,0.6674182638105975,0.5379373012267151,0.8131675307527106,0.5574804117488784,,,,,,
AE+GRU,3,0.6606457439602619,0.3129890453834116,0.7633587786259542,0.4439511653718091,0.7775999005377527,0.4600830626449521,,,,,,
