model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-FLAT+XGBoost,1,0.8103099205731195,0.5082319255547602,0.572119258662369,0.5382865807429871,0.8229183713470578,0.5782951464791197,,,,,,
RAW-FLAT+XGBoost,2,0.796629770361804,0.523248605083695,0.6462480857580398,0.578280232956492,0.8377330923278374,0.6089776469446389,,,,,,
RAW-FLAT+XGBoost,3,0.8229434447300771,0.5478955007256894,0.6118314424635333,0.5781010719754976,0.8493557617666451,0.6387202223071373,,,,,,
RAW-FLAT+XGBoost,4,0.821202260661072,0.5973700688791485,0.7040590405904059,0.6463414634146342,0.8758728862935373,0.6966834024721255,,,,,,
RAW-FLAT+XGBoost,5,0.8330837077716758,0.5894660894660895,0.6530775379696243,0.6196435343193022,0.8696511475141029,0.6772299812609516,,,,,,
RAW-FLAT+XGBoost,mean,0.8168338208195498,0.5532424379418764,0.6374670730887944,0.5921305766817826,0.8511062518498361,0.6399812798927946,0.012419617757873806,0.03525213955025377,0.04400637531288873,0.03737276548663587,0.01966601919676451,0.04329108692644159
RAW-FLAT+RF,1,0.7928671546488086,0.4717101080737444,0.5979049153908138,0.527363184079602,0.818873184223708,0.5711181769503083,,,,,,
RAW-FLAT+RF,2,0.7860565009086403,0.5032757593805837,0.6470137825421133,0.5661641541038526,0.8269920455927512,0.5912476089677772,,,,,,
RAW-FLAT+RF,3,0.8139460154241646,0.5258152173913043,0.6272285251215559,0.5720620842572062,0.836390771819165,0.612290877955288,,,,,,
RAW-FLAT+RF,4,0.8122966261346121,0.579108124618204,0.6996309963099631,0.6336898395721925,0.8694618997929496,0.6914271530239727,,,,,,
RAW-FLAT+RF,5,0.8274255283741055,0.5743055555555555,0.6610711430855316,0.6146413972500929,0.8631178285618668,0.6592215567900258,,,,,,
RAW-FLAT+RF,mean,0.8065183650980663,0.5308429530038784,0.6465698724899955,0.5827841318525893,0.8429671459980883,0.6250610747374744,0.01503802646001562,0.0412321385589222,0.03396566658715562,0.037600382588753,0.019934861477941577,0.044244004104699225
RAW-FLAT+LR,1,0.6989565488241707,0.3411386593204775,0.5987107171635777,0.4346300087744955,0.7170248180723604,0.3787563009031487,,,,,,
RAW-FLAT+LR,2,0.7151825541054023,0.4055153707052441,0.6868300153139357,0.5099488345650938,0.7726916104989013,0.48919230164813254,,,,,,
RAW-FLAT+LR,3,0.7381105398457584,0.40217391304347827,0.6596434359805511,0.49969306322897483,0.7795807173504221,0.4680033736507254,,,,,,
RAW-FLAT+LR,4,0.7338585374207912,0.4546697038724374,0.7365313653136532,0.5622535211267605,0.8056762708572671,0.5567421750464603,,,,,,
RAW-FLAT+LR,5,0.7445498419038109,0.4273285568065507,0.6674660271782574,0.5210608424336973,0.788340575962937,0.5138926605440093,,,,,,
RAW-FLAT+LR,mean,0.7261316044199866,0.40616524074963756,0.6698363121899951,0.5055172540258044,0.7726627985483776,0.48131736235849526,0.016737964087494436,0.03753765631909266,0.04450927836160017,0.041325945334567536,0.02993033698667668,0.05917448894897738
RAW-STATS+XGBoost,1,0.7976950630742875,0.48169191919191917,0.6148267526188558,0.5401769911504425,0.827582688017821,0.5906772349485443,,,,,,
RAW-STATS+XGBoost,2,0.7941516603337189,0.5180288461538461,0.6600306278713629,0.5804713804713805,0.835938293904331,0.6081633663253483,,,,,,
