trip_instance_id,date,line_id,trip_id,delayed,degraded_day,rain_mm_trip,score_cnn,score_lstm,anom_cnn,anom_lstm,score_mean
2026-03-11_1103013_U_1,2026-03-11,57,1103013_U_1,0,0,0.0,-1.0661243427658134,3.2557729712005488,False,True,1.0948243142173677
2026-03-11_1103013_U_10,2026-03-11,57,1103013_U_10,0,0,0.0,-0.278986201154386,3.266647630224004,False,True,1.493830714534809
2026-03-11_1103013_U_13,2026-03-11,57,1103013_U_13,0,0,0.6,2.0631858986255467,1.6569210045359586,True,True,1.8600534515807525
2026-03-11_1103013_U_14,2026-03-11,57,1103013_U_14,1,0,1.2,0.8728006885924002,1.4810283929343893,False,False,1.1769145407633947
2026-03-11_1103013_U_15,2026-03-11,57,1103013_U_15,0,0,1.2,-0.07727564499391724,1.2029538068156778,False,False,0.5628390809108803
2026-03-11_1103013_U_16,2026-03-11,57,1103013_U_16,0,0,0.6,-0.9667680967008718,3.485366159663503,False,True,1.2592990314813155
2026-03-11_1103013_U_2,2026-03-11,57,1103013_U_2,0,0,0.0,-1.0874013945724812,1.7403591300641714,False,True,0.3264788677458451
2026-03-11_1103013_U_21,2026-03-11,57,1103013_U_21,0,0,0.2,-1.1080889655778217,1.6338365413818272,False,True,0.2628737879020028
2026-03-11_1103013_U_22,2026-03-11,57,1103013_U_22,0,0,0.4,-1.1097895523544667,3.078148640205664,False,True,0.9841795439255987
2026-03-11_1103013_U_23,2026-03-11,57,1103013_U_23,0,0,0.4,-0.935289655778106,3.044168837778857,False,True,1.0544395910003754
2026-03-11_1103013_U_24,2026-03-11,57,1103013_U_24,0,0,0.0,-1.1312364837897053,3.14970472282853,False,True,1.0092341195194123
2026-03-11_1103013_U_25,2026-03-11,57,1103013_U_25,0,0,0.0,-1.7497506411265207,1.7236683681046183,False,True,-0.013041136510951179
2026-03-11_1103013_U_26,2026-03-11,57,1103013_U_26,0,0,0.0,-0.6321602575525611,-0.24070424570725915,False,False,-0.4364322516299101
2026-03-11_1103013_U_27,2026-03-11,57,1103013_U_27,0,0,0.0,-0.8975471733064677,2.9073234200293716,False,True,1.004888123361452
2026-03-11_1103013_U_28,2026-03-11,57,1103013_U_28,0,0,0.0,-1.1344937191898665,3.0852264440618113,False,True,0.9753663624359724
2026-03-11_1103013_U_29,2026-03-11,57,1103013_U_29,0,0,0.0,-1.5999516431355967,1.8671088451112403,False,True,0.13357860098782182
2026-03-11_1103013_U_3,2026-03-11,57,1103013_U_3,0,0,0.0,0.07501158537359791,-0.09561122812404137,False,False,-0.01029982137522173
2026-03-11_1103013_U_32,2026-03-11,57,1103013_U_32,1,0,0.2,-0.4253067627795998,-0.386372161306895,False,False,-0.4058394620432474
