trip_instance_id,date,line_id,trip_id,start_time,stop_coverage,rain_mm_trip,score_cnn,score_lstm,score_mean,degraded_day,duration_min,delay_min
2026-03-23_1477770_U_15,2026-03-23,28,1477770_U_15,2026-03-23 16:31:58,0.8888888888888888,11.8,6.355660836572369,6.503928491202618,6.429794663887494,0,18.8,0.8
2026-03-23_1497250_U_16,2026-03-23,57,1497250_U_16,2026-03-23 15:57:55,1.0,0.0,6.36680613682095,6.4461772760144305,6.40649170641769,0,37.5,-9.0
2026-03-23_1497250_U_17,2026-03-23,57,1497250_U_17,2026-03-23 16:40:27,1.0,11.8,6.432446740690343,6.012456795133274,6.222451767911808,0,38.1,-8.6
2026-03-23_1497250_U_41,2026-03-23,57,1497250_U_41,2026-03-23 16:19:26,0.9444444444444444,11.8,5.949472084500697,6.457560008645853,6.2035160465732755,0,37.8,-9.8
2026-03-23_1348037_U_43,2026-03-23,15,1348037_U_43,2026-03-23 16:47:12,0.8571428571428571,11.8,6.455426996332784,5.944255628375001,6.199841312353893,0,25.6,-1.6
2026-03-23_1497250_U_40,2026-03-23,57,1497250_U_40,2026-03-23 15:39:25,0.9444444444444444,0.0,6.625578800383424,5.563461278221675,6.09452003930255,0,39.8,1.4
2026-03-23_1477770_U_14,2026-03-23,28,1477770_U_14,2026-03-23 16:06:25,0.8888888888888888,11.8,5.766955718697949,6.415016114175656,6.090985916436803,0,25.3,1.6
2026-03-23_1477770_U_13,2026-03-23,28,1477770_U_13,2026-03-23 15:43:25,0.7777777777777778,0.0,6.517112441382102,5.6219860823842405,6.0695492618831715,0,22.0,0.7
2026-03-23_1348037_U_37,2026-03-23,15,1348037_U_37,2026-03-23 16:06:55,0.9166666666666666,11.8,5.7986941477683525,6.326846236340518,6.062770192054435,0,48.3,2.3
2026-03-23_1496806_U_26,2026-03-23,34B,1496806_U_26,2026-03-23 16:01:55,0.7222222222222222,11.8,5.775687825114746,6.315903857061076,6.0457958410879105,0,50.0,-4.0
2026-03-23_1496812_U_38,2026-03-23,45,1496812_U_38,2026-03-23 16:08:26,0.9130434782608695,11.8,5.908497866373308,6.15022554000491,6.0293617031891085,0,98.3,-0.1
2026-03-23_1477767_U_28,2026-03-23,42S,1477767_U_28,2026-03-23 15:59:55,0.9666666666666667,0.0,5.73031910978623,6.312117631066528,6.021218370426379,0,49.0,-11.0
2026-03-23_1477768_U_41,2026-03-23,41JB,1477768_U_41,2026-03-23 16:04:55,0.9090909090909091,11.8,5.846171070230017,6.187145170326406,6.016658120278212,0,85.1,1.2
2026-03-23_1497255_U_146,2026-03-23,53,1497255_U_146,2026-03-23 16:06:55,0.95,11.8,5.8633996239825485,6.151269961768898,6.0073347928757235,0,100.3,-3.8
2026-03-23_1431265_U_138,2026-03-23,49.2,1431265_U_138,2026-03-23 16:04:55,0.5384615384615384,11.8,5.820846715775299,6.192819029387448,6.0068328725813736,0,72.8,1.2
2026-03-23_1496808_U_8,2026-03-23,36,1496808_U_8,2026-03-23 16:07:55,0.926829268292683,11.8,5.8515711778684105,6.146380039376971,5.998975608622691,0,128.9,-2.7
2026-03-23_1431265_U_146,2026-03-23,49.2,1431265_U_146,2026-03-23 16:04:55,0.5,11.8,5.657107078839084,6.334411907554785,5.9957594931969345,0,55.6,13.3
2026-03-23_1496812_U_149,2026-03-23,45,1496812_U_149,2026-03-23 16:17:56,0.9130434782608695,11.8,6.0204730927447345,5.970170560076136,5.995321826410436,0,100.4,-1.7
2026-03-23_1477770_U_16,2026-03-23,28,1477770_U_16,2026-03-23 16:50:58,0.8888888888888888,11.8,6.232000599080387,5.748735870200795,5.9903682346405915,0,26.3,1.2
2026-03-23_1431265_U_94,2026-03-23,49.2,1431265_U_94,2026-03-23 16:03:10,0.9615384615384616,11.8,5.75144395575735,6.223911958688846,5.987677957223098,0,85.4,-1.7
