model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.7722338204592902,0.45169886742171883,0.7167019027484144,0.5541479362484675,0.8328668494102998,0.5940305344012748,,,,,,
AE+MLP,2,0.7665551839464882,0.4441340782122905,0.7170236753100339,0.5485122897800776,0.8242901449070101,0.5831086515598685,,,,,,
AE+MLP,3,0.7477986001354707,0.38625429553264606,0.7150127226463104,0.501561802766622,0.8091232863891084,0.5221335536492525,,,,,,
AE+MLP,4,0.7510690974566734,0.5038888888888889,0.8098214285714286,0.6212328767123287,0.8500470207643696,0.6636602924225633,,,,,,
AE+MLP,5,0.7108568864961866,0.4151480637813212,0.7356205852674067,0.5307608299963597,0.7983536279937377,0.574121312262429,,,,,,
AE+MLP,mean,0.7497027176988217,0.44022483876737317,0.7388360629087188,0.551243147100771,0.8229361858929052,0.5874108688590776,0.021476254186393304,0.039348979517202086,0.03628364445517058,0.039502452889944605,0.01805849936126095,0.045418154596774195
AE+XGBoost,1,0.8183716075156576,0.5325342465753424,0.6575052854122622,0.5884578997161779,0.8460377557732541,0.6429377578635007,,,,,,
AE+XGBoost,2,0.8265328874024526,0.5632984901277585,0.5467869222096956,0.5549199084668193,0.8321289605336297,0.6192945690208785,,,,,,
AE+XGBoost,3,0.7866335515917814,0.43116883116883115,0.6335877862595419,0.5131375579598145,0.8108705111898521,0.5398554889226338,,,,,,
AE+XGBoost,4,0.7976592392527572,0.5826477187733732,0.6955357142857143,0.6341066341066341,0.85686073255664,0.6936146080537139,,,,,,
AE+XGBoost,5,0.8135935397039031,0.575046904315197,0.6185671039354188,0.5960136120563928,0.8371580160294687,0.6535057772435667,,,,,,
AE+XGBoost,mean,0.8085581650933105,0.5369392381921003,0.6303965624205266,0.5773271224611677,0.8366111952165689,0.6298416402208586,0.01445146742310833,0.05557526883428859,0.049231461286020815,0.04079062507060335,0.015374498764730012,0.051004390479475935
AE+RF,1,0.8192066805845512,0.536036036036036,0.6289640591966174,0.5787937743190662,0.8477559272516075,0.6317925196470976,,,,,,
AE+RF,2,0.8327759197324415,0.592944369063772,0.4926719278466742,0.5381773399014779,0.8359983906880499,0.60942346031922,,,,,,
AE+RF,3,0.7970196432603296,0.44763670064874883,0.6145038167938931,0.5179624664879356,0.8134768551210834,0.5289620650823115,,,,,,
AE+RF,4,0.8014854827819041,0.5919629057187017,0.6839285714285714,0.6346313173156587,0.8558628175916769,0.6869236915592954,,,,,,
AE+RF,5,0.8142664872139973,0.5785920925747348,0.6054490413723511,0.591715976331361,0.8391741421277217,0.651625214030855,,,,,,
AE+RF,mean,0.8129508427146448,0.5494344208083988,0.6051034833276214,0.5722561748710999,0.8384536265560281,0.6217453901277559,0.012799669535619028,0.05494406245081481,0.062469291563819335,0.04103963020612306,0.014282851031335612,0.0529198167537537
AE+LR,1,0.7592901878914405,0.43283582089552236,0.7050739957716702,0.536389223964616,0.820180759999384,0.5721539228174948,,,,,,
AE+LR,2,0.7841694537346712,0.4658803706823926,0.6234498308906427,0.5332690453230472,0.8092877603930031,0.5619096023686212,,,,,,
AE+LR,3,0.7405734928877851,0.37422037422037424,0.6870229007633588,0.4845222072678331,0.7929746406192922,0.4935249798402241,,,,,,
AE+LR,4,0.7404906594643259,0.49056603773584906,0.7660714285714286,0.5981178110840014,0.8285816387945487,0.6175237072803085,,,,,,
AE+LR,5,0.7415881561238223,0.44651162790697674,0.6781029263370333,0.5384615384615384,0.784444482604764,0.5445118701138374,,,,,,
