fold,split,epoch,mse
1,train,1,0.5375842399708259
1,train,2,0.44370615642557865
1,train,3,0.41599259699117325
1,train,4,0.39698477084064143
1,train,5,0.3831688621779069
1,train,6,0.375817436898481
1,train,7,0.36902263813975894
1,train,8,0.362788246096676
1,train,9,0.3605313372654727
1,train,10,0.356563619067592
1,train,11,0.3523451014017973
1,train,12,0.3513404367004244
1,train,13,0.3481585513733621
1,train,14,0.34403539483692486
1,train,15,0.3419684073403745
1,train,16,0.3416698922179506
1,train,17,0.33793307643210163
1,train,18,0.33799127630862713
1,train,19,0.33693188770697535
1,train,20,0.3335688539303332
2,train,1,0.5332468745993896
2,train,2,0.44627153033941563
2,train,3,0.4166662867220355
2,train,4,0.4013462094983584
2,train,5,0.38838906009012547
2,train,6,0.3812688785329671
2,train,7,0.3752201663356432
2,train,8,0.3672833657810386
2,train,9,0.36335568896061937
2,train,10,0.3627503903608927
2,train,11,0.3588290816881287
2,train,12,0.3560981799809026
2,train,13,0.35160874260563246
2,train,14,0.35242776520235436
2,train,15,0.3514344400503266
2,train,16,0.349363226915749
2,train,17,0.3461246896587627
2,train,18,0.3430793231851618
2,train,19,0.34429653041379554
2,train,20,0.342854058238822
3,train,1,0.5331827262547654
3,train,2,0.4444697088968586
3,train,3,0.4099165768900388
3,train,4,0.3921983130800892
3,train,5,0.37857662340704823
3,train,6,0.36951220581229305
3,train,7,0.36150447793409857
3,train,8,0.359917051670417
3,train,9,0.35194066187865297
3,train,10,0.35049466327042644
3,train,11,0.3469608790228065
3,train,12,0.3416355625844338
3,train,13,0.342162871444729
3,train,14,0.3396836891770363
3,train,15,0.33629977808032235
3,train,16,0.3347114529198324
3,train,17,0.3330696382572953
3,train,18,0.3317946273256356
3,train,19,0.329990840608805
3,train,20,0.32816988539317965
4,train,1,0.5367551562441907
4,train,2,0.44414939374571116
4,train,3,0.41379378127380156
4,train,4,0.395084141215808
4,train,5,0.3810382560944893
4,train,6,0.3708775686755986
4,train,7,0.3671202379423128
4,train,8,0.36064883206092135
4,train,9,0.35635221235349146
4,train,10,0.3519899531359404
4,train,11,0.34954329380686855
4,train,12,0.3482170810162182
4,train,13,0.3434397494289237
4,train,14,0.3423319864021221
4,train,15,0.340408149004822
4,train,16,0.33672487861673595
4,train,17,0.33529108678790887
4,train,18,0.33482652493345905
4,train,19,0.33136835536906417
4,train,20,0.3303412455068508
5,train,1,0.5286414283262172
5,train,2,0.4438277323481063
5,train,3,0.4198977990259587
5,train,4,0.40103076115040714
5,train,5,0.38784555471699
5,train,6,0.3769123223675808
5,train,7,0.3707093819975853
5,train,8,0.36490080054377166
5,train,9,0.36224658934163373
5,train,10,0.35824087702892193
5,train,11,0.35370355403759113
5,train,12,0.3508467742464912
5,train,13,0.342265801425551
5,train,14,0.34041753726106294
5,train,15,0.3378123770087538
5,train,16,0.33783471920120883
5,train,17,0.3358856596997086
5,train,18,0.3345846200597958
5,train,19,0.3354907548973258
5,train,20,0.3291176830379056
1,val,1,0.40248996019363403
1,val,2,0.3755984604358673
1,val,3,0.3616519272327423
1,val,4,0.3355046510696411
1,val,5,0.3232426643371582
1,val,6,0.32933518290519714
1,val,7,0.3167186975479126
1,val,8,0.3116746246814728
1,val,9,0.30976831912994385
1,val,10,0.3076741099357605
1,val,11,0.30774974822998047
1,val,12,0.30572718381881714
1,val,13,0.2990629971027374
1,val,14,0.29762396216392517
1,val,15,0.30099087953567505
1,val,16,0.2975977957248688
1,val,17,0.2942167818546295
1,val,18,0.29294323921203613
1,val,19,0.2924283742904663
1,val,20,0.29252663254737854
2,val,1,0.43440350890159607
2,val,2,0.409244567155838
2,val,3,0.38790395855903625
2,val,4,0.37805378437042236
2,val,5,0.36419397592544556
2,val,6,0.35338160395622253
2,val,7,0.3514859974384308
2,val,8,0.3425195813179016
2,val,9,0.3355684280395508
2,val,10,0.33365511894226074
2,val,11,0.3317001461982727
2,val,12,0.3349018096923828
2,val,13,0.3249334990978241
2,val,14,0.32961440086364746
2,val,15,0.32331040501594543
2,val,16,0.33574435114860535
2,val,17,0.3216545283794403
2,val,18,0.3221733272075653
2,val,19,0.3258821964263916
2,val,20,0.31628140807151794
3,val,1,0.4441012740135193
3,val,2,0.4281347095966339
3,val,3,0.3786736726760864
3,val,4,0.3729398846626282
3,val,5,0.3581003248691559
3,val,6,0.3608551025390625
3,val,7,0.3581724762916565
3,val,8,0.36236491799354553
3,val,9,0.35432755947113037
3,val,10,0.3532646894454956
3,val,11,0.3419707417488098
3,val,12,0.349947452545166
3,val,13,0.3523631691932678
3,val,14,0.34545108675956726
3,val,15,0.3463432788848877
3,val,16,0.3418218195438385
3,val,17,0.334363728761673
3,val,18,0.32986071705818176
3,val,19,0.3296310305595398
3,val,20,0.3266623914241791
4,val,1,0.3650219142436981
4,val,2,0.34772175550460815
4,val,3,0.3234565258026123
4,val,4,0.31134527921676636
4,val,5,0.3070150315761566
4,val,6,0.30029669404029846
4,val,7,0.29418444633483887
4,val,8,0.2942114472389221
4,val,9,0.28917044401168823
4,val,10,0.287450909614563
4,val,11,0.28188687562942505
