model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-FLAT+XGBoost,1,0.8325678496868476,0.5717131474103586,0.6067653276955602,0.5887179487179487,0.8518877336636214,0.6379152591290187,,,,,,
RAW-FLAT+XGBoost,2,0.8301003344481606,0.5770653514180024,0.5276211950394588,0.5512367491166078,0.8348807084983327,0.6147701126903853,,,,,,
RAW-FLAT+XGBoost,3,0.8153081959810341,0.48336798336798337,0.5916030534351145,0.5320366132723112,0.8250328805146891,0.5530363648029897,,,,,,
RAW-FLAT+XGBoost,4,0.8125140670717983,0.6156325543916197,0.6821428571428572,0.6471833968657349,0.8638786488113152,0.6944986304028814,,,,,,
RAW-FLAT+XGBoost,5,0.8212202781516375,0.5936293436293436,0.62058526740666,0.6068080907745437,0.8477907746004785,0.6574868888962573,,,,,,
RAW-FLAT+XGBoost,mean,0.8223421450678956,0.5682816760434616,0.6057435401439302,0.5851965597494292,0.8446941492176873,0.6315414511843065,0.007900388340402497,0.04513063944816016,0.049721686867661215,0.040745736161879924,0.013507411864334478,0.0471629599655413
RAW-FLAT+RF,1,0.8171189979123173,0.5310834813499112,0.6321353065539113,0.5772200772200772,0.8485784385979194,0.61807315953618,,,,,,
RAW-FLAT+RF,2,0.831438127090301,0.5788206979542719,0.5422773393461104,0.559953434225844,0.8287608736658786,0.6114911151317484,,,,,,
RAW-FLAT+RF,3,0.788665613005193,0.4346689895470383,0.6348600508905853,0.516028955532575,0.8170139114436765,0.5340303152654596,,,,,,
RAW-FLAT+RF,4,0.7942831420211569,0.5764094955489614,0.69375,0.6296596434359806,0.8593807768367653,0.6858226394171212,,,,,,
RAW-FLAT+RF,5,0.8111260655002244,0.5648389904264578,0.6548940464177598,0.6065420560747663,0.8549934702195736,0.6599734217358371,,,,,,
RAW-FLAT+RF,mean,0.8085263891058385,0.5371643309653281,0.6315833486416734,0.5778808332978487,0.8417454941527627,0.6218781302172692,0.015510380367744868,0.054006655839258615,0.049788926285630725,0.03911519880956863,0.016207731164397162,0.05172960075000151
RAW-FLAT+LR,1,0.7528183716075156,0.42181340341655715,0.678646934460888,0.520259319286872,0.7927265907385938,0.5199827405984813,,,,,,
RAW-FLAT+LR,2,0.7681159420289855,0.43845534995977475,0.6144306651634723,0.5117370892018779,0.7800984575547105,0.5025908843696508,,,,,,
RAW-FLAT+LR,3,0.7315421088281779,0.36036036036036034,0.6615776081424937,0.46657694033198743,0.7693092263108376,0.44463351256744027,,,,,,
RAW-FLAT+LR,4,0.7274364168354716,0.473376243417203,0.7223214285714286,0.5719335454224107,0.8089687405958471,0.5872188360495505,,,,,,
RAW-FLAT+LR,5,0.7261103633916555,0.42830423940149626,0.693239152371342,0.5294797687861271,0.7708077630896122,0.44641754755208596,,,,,,
RAW-FLAT+LR,mean,0.7412046405383611,0.42446191931107835,0.6740431577419248,0.519997332605855,0.7843821556579202,0.5001687042274418,0.016552115289778475,0.036658464572625026,0.03585948020373281,0.033791494096731996,0.014858917577438745,0.05281956607328849
RAW-STATS+XGBoost,1,0.8131524008350731,0.5217021276595745,0.6479915433403806,0.5780292314945781,0.8499767903852796,0.6403228449516943,,,,,,
RAW-STATS+XGBoost,2,0.830546265328874,0.5739231664726426,0.5558060879368658,0.5647193585337915,0.8366285165314816,0.6243712602481285,,,,,,
RAW-STATS+XGBoost,3,0.7949875818469181,0.4489966555183946,0.683206106870229,0.5418768920282543,0.8305240836237227,0.5569150245085731,,,,,,
RAW-STATS+XGBoost,4,0.7960837272113437,0.5764285714285714,0.7205357142857143,0.6404761904761904,0.8625900111775074,0.6988933756710216,,,,,,
RAW-STATS+XGBoost,5,0.8120233288470166,0.5654405474764757,0.6670030272452069,0.612037037037037,0.849912844094107,0.6643514421957533,,,,,,
RAW-STATS+XGBoost,mean,0.809358660813845,0.5372982137111318,0.6549084959356792,0.5874277419139703,0.8459264491624197,0.6369707895150343,0.013062612885524998,0.04838381152623391,0.054996537645441566,0.03492459849581194,0.01125748926715687,0.0472504322554527
RAW-STATS+RF,1,0.8066805845511482,0.5085178875638842,0.63107822410148,0.5632075471698114,0.838017513909269,0.6012277620161447,,,,,,
RAW-STATS+RF,2,0.8327759197324415,0.5872611464968153,0.5197294250281849,0.5514354066985646,0.8255375496721528,0.6111674313229816,,,,,,
