model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-FLAT+XGBoost,1,0.8256274768824307,0.6363636363636364,0.3202614379084967,0.4260869565217391,0.7671433363632428,0.5118990584407671,,,,,,
RAW-FLAT+XGBoost,2,0.8310901749663526,0.6486486486486487,0.39215686274509803,0.48879837067209775,0.8229755178907722,0.5700650163509844,,,,,,
RAW-FLAT+XGBoost,mean,0.8283588259243917,0.6425061425061425,0.35620915032679734,0.45744266359691843,0.7950594271270075,0.5409820373958758,0.0027313490419609843,0.0061425061425061656,0.035947712418300665,0.03135570707517932,0.027916090763764667,0.02908297895510864
RAW-FLAT+RF,1,0.8071334214002642,0.5301724137931034,0.4019607843137255,0.45724907063197023,0.7775938189845474,0.478359587400359,,,,,,
RAW-FLAT+RF,2,0.8337819650067295,0.6096654275092936,0.5359477124183006,0.5704347826086956,0.8376814002437133,0.5730548029034305,,,,,,
RAW-FLAT+RF,mean,0.8204576932034968,0.5699189206511985,0.46895424836601307,0.5138419266203329,0.8076376096141303,0.5257071951518948,0.013324271803232646,0.03974650685809511,0.06699346405228757,0.056592855988362695,0.030043790629582956,0.047347607751535736
RAW-FLAT+LR,1,0.7107001321003963,0.3290155440414508,0.4150326797385621,0.3670520231213873,0.6368639895251699,0.3032755204656964,,,,,,
RAW-FLAT+LR,2,0.7321668909825033,0.3904761904761905,0.5359477124183006,0.45179063360881544,0.7015869059488202,0.402473493730173,,,,,,
RAW-FLAT+LR,mean,0.7214335115414499,0.35974586725882063,0.47549019607843135,0.40942132836510137,0.669225447736995,0.35287450709793466,0.010733379441053514,0.030730323217369848,0.06045751633986926,0.04236930524371407,0.03236145821182518,0.0495989866322383
RAW-STATS+XGBoost,1,0.797886393659181,0.5,0.30392156862745096,0.3780487804878049,0.7564385577630611,0.4484907152909337,,,,,,
RAW-STATS+XGBoost,2,0.8189771197846568,0.586046511627907,0.4117647058823529,0.4836852207293666,0.8099673202614379,0.5202012637241367,,,,,,
RAW-STATS+XGBoost,mean,0.8084317567219189,0.5430232558139535,0.3578431372549019,0.43086700060858574,0.7832029390122495,0.48434598950753516,0.0105453630627379,0.0430232558139535,0.05392156862745098,0.05281822012078086,0.026764381249188396,0.03585527421660148
RAW-STATS+RF,1,0.7992073976221928,0.504950495049505,0.3333333333333333,0.4015748031496063,0.7580157338873739,0.45601551374651017,,,,,,
RAW-STATS+RF,2,0.8149394347240915,0.563265306122449,0.45098039215686275,0.5009074410163339,0.8193945939957904,0.5271057000646383,,,,,,
RAW-STATS+RF,mean,0.8070734161731421,0.534107900585977,0.39215686274509803,0.45124112208297007,0.7887051639415821,0.49156060690557424,0.007866018550949316,0.029157405536472003,0.05882352941176472,0.04966631893336379,0.030689430054208267,0.03554509315906407
RAW-STATS+LR,1,0.7509907529722589,0.4077922077922078,0.5130718954248366,0.4544138929088278,0.7203636973553219,0.45188028760121535,,,,,,
RAW-STATS+LR,2,0.7651413189771198,0.45274725274725275,0.673202614379085,0.5413929040735874,0.8140412097042207,0.5337709686295018,,,,,,
RAW-STATS+LR,mean,0.7580660359746894,0.43026973026973026,0.5931372549019608,0.49790339849120757,0.7672024535297712,0.49282562811535857,0.0070752830024304325,0.02247752247752247,0.08006535947712423,0.04348950558237982,0.04683875617444938,0.040945340514143225
