setting,fold,n,roc_auc,pr_auc,prevalence
strict-train / strict-test,1,4599,0.8566512804282005,0.6599295068400209,0.21504674929332462
strict-train / RECOVERED-test,1,907,0.7813552558065288,0.5450888333034661,0.1874310915104741
strict-train / all-test,1,5506,0.8245396694396957,0.6303214733663641,0.2104976389393389
relaxed-train / strict-test,1,4599,0.8595310184886942,0.6560960087701904,0.21504674929332462
relaxed-train / all-test,1,5506,0.8615269860721336,0.6556395100663543,0.2104976389393389
strict-train / strict-test,2,4438,0.8543899657924744,0.6638004685767069,0.2095538530869761
strict-train / RECOVERED-test,2,1060,0.8135334045372039,0.588446491720398,0.1877358490566038
strict-train / all-test,2,5498,0.827625019741106,0.6354851575116643,0.20534739905420152
relaxed-train / strict-test,2,4438,0.8496545530339255,0.6575909336980358,0.2095538530869761
relaxed-train / all-test,2,5498,0.8585263636770945,0.6599096385352456,0.20534739905420152
strict-train / strict-test,3,4644,0.8550904241525135,0.6506132848153318,0.2000430663221361
strict-train / RECOVERED-test,3,877,0.7983807607550062,0.4992538587035199,0.1619156214367161
strict-train / all-test,3,5521,0.8260105540343479,0.6173399511646994,0.1939865966310451
relaxed-train / strict-test,3,4644,0.8517472730776084,0.6443114428618953,0.2000430663221361
relaxed-train / all-test,3,5521,0.8609798676024717,0.64679304748274,0.1939865966310451
strict-train / strict-test,4,4480,0.829239471784275,0.6048717335424942,0.2138392857142857
strict-train / RECOVERED-test,4,923,0.7806988086671464,0.5145128709286001,0.17876489707475623
strict-train / all-test,4,5403,0.8129832058654638,0.584001573453223,0.20784749213399964
relaxed-train / strict-test,4,4480,0.8264191440856696,0.5982184539136971,0.2138392857142857
relaxed-train / all-test,4,5403,0.8363855577100722,0.5977069383146403,0.20784749213399964
strict-train / strict-test,5,4444,0.8532476756198347,0.6610339361727443,0.2079207920792079
strict-train / RECOVERED-test,5,1122,0.7523494536997272,0.46496689089920645,0.17201426024955438
strict-train / all-test,5,5566,0.8129047538269693,0.6180695174413845,0.20068271649299319
relaxed-train / strict-test,5,4444,0.8505408180834317,0.6607543726436983,0.2079207920792079
relaxed-train / all-test,5,5566,0.84980983122559,0.6426033709960164,0.20068271649299319
