model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
RAW-STATS,1,0.8131524008350731,0.5217021276595745,0.6479915433403806,0.5780292314945781,0.8499767903852796,0.6403228449516943
RAW-STATS+DEMAND,1,0.8177453027139875,0.5305951383067896,0.6691331923890064,0.5918653576437588,0.8522056283865689,0.649523019764585
DEMAND-ONLY,1,0.581419624217119,0.25942753293957294,0.6035940803382663,0.3628852875754687,0.6398295413296139,0.30793911978151595
RAW-STATS+LINEID,1,0.820250521920668,0.5373790677220757,0.645877378435518,0.5866538646183389,0.8557923938462622,0.6542032460953477
RAW-STATS+LINEID+DEMAND,1,0.8204592901878914,0.5366894197952219,0.6649048625792812,0.5939565627950897,0.853284710473806,0.6502412644386847
LINEID-ONLY,1,0.6446764091858037,0.29299014238773274,0.5655391120507399,0.386002886002886,0.6636037216782201,0.312924995024555
RAW-STATS,2,0.830546265328874,0.5739231664726426,0.5558060879368658,0.5647193585337915,0.8366285165314816,0.6243712602481285
RAW-STATS+DEMAND,2,0.833221850613155,0.5840386940749698,0.5445321307779031,0.5635939323220537,0.8423200161933881,0.6387945860739084
DEMAND-ONLY,2,0.6662207357859532,0.3084170854271357,0.5535512965050733,0.3961274707543364,0.650482417577597,0.33675908172310604
RAW-STATS+LINEID,2,0.8334448160535117,0.5843373493975904,0.5467869222096956,0.564938846825859,0.8421354591959832,0.6373426574387817
RAW-STATS+LINEID+DEMAND,2,0.8338907469342252,0.5823665893271461,0.5659526493799324,0.5740423098913665,0.8448026054810609,0.6430229510925611
LINEID-ONLY,2,0.5948717948717949,0.2722820763956905,0.6268320180383314,0.3796517582792762,0.6630106729718941,0.3226059836278663
RAW-STATS,3,0.7949875818469181,0.4489966555183946,0.683206106870229,0.5418768920282543,0.8305240836237227,0.5569150245085731
RAW-STATS+DEMAND,3,0.7906976744186046,0.44168734491315137,0.6793893129770993,0.5353383458646617,0.8295521614529311,0.5652931655777689
DEMAND-ONLY,3,0.6071347934070896,0.22742857142857142,0.5063613231552163,0.3138801261829653,0.6092736671604856,0.2466852494540226
RAW-STATS+LINEID,3,0.7949875818469181,0.4483050847457627,0.6730279898218829,0.5381485249237029,0.8336843149293252,0.5666336619076522
RAW-STATS+LINEID+DEMAND,3,0.782343644163468,0.42787682333873583,0.6717557251908397,0.5227722772277228,0.8307317040802571,0.5658463630574324
LINEID-ONLY,3,0.6030706705802664,0.2517875383043922,0.6272264631043257,0.35932944606413997,0.6509077676243401,0.2862341960815324
RAW-STATS,4,0.7960837272113437,0.5764285714285714,0.7205357142857143,0.6404761904761904,0.8625900111775074,0.6988933756710216
RAW-STATS+DEMAND,4,0.8071123115012379,0.5973353071798667,0.7205357142857143,0.6531768514771348,0.8692700496539271,0.7133390977434257
DEMAND-ONLY,4,0.6009453072248481,0.31159838430467396,0.48214285714285715,0.3785488958990536,0.6124958353037273,0.348188496535963
RAW-STATS+LINEID,4,0.8028359216745442,0.5867709815078236,0.7366071428571429,0.6532066508313539,0.8655687094277976,0.7103182364299757
RAW-STATS+LINEID+DEMAND,4,0.8055367994598245,0.5941176470588235,0.7214285714285714,0.6516129032258065,0.8674855444735824,0.7120068301498383
LINEID-ONLY,4,0.6403331082601845,0.37122844827586204,0.6151785714285715,0.46303763440860213,0.6947356895662266,0.42121038317212534
RAW-STATS,5,0.8120233288470166,0.5654405474764757,0.6670030272452069,0.612037037037037,0.849912844094107,0.6643514421957533
RAW-STATS+DEMAND,5,0.8140421713772993,0.5718085106382979,0.6508577194752775,0.6087777253421425,0.8509533595843992,0.6664882319022918
DEMAND-ONLY,5,0.604531179901301,0.28387458006718924,0.5116044399596368,0.3651422398271516,0.6088367560714443,0.32173829936402454
RAW-STATS+LINEID,5,0.8160610139075819,0.572642310960068,0.6801210898082745,0.6217712177121771,0.8580128569877674,0.6781816456078529
RAW-STATS+LINEID+DEMAND,5,0.813369223867205,0.5701676963812886,0.6518668012108981,0.608286252354049,0.8528027121509216,0.6664325612737545
LINEID-ONLY,5,0.7063705697622252,0.37320574162679426,0.4722502522704339,0.41692650334075726,0.6674743880386415,0.3471127161392718
