line_id,direction,n_trips,n_delayed,delay_rate,wilson_lo,wilson_hi,median_delay_sec,median_ci_lo,median_ci_hi,p90_delay_sec,n_days,enough
48SP,1,4,4,1.0,0.5101091635454027,1.0,1426.6930218848884,,,1610.3697884414087,2,False
31.0,0,1,1,1.0,0.20654931437723742,1.0,314.4853317542729,,,314.4853317542729,1,False
38A,1,68,51,0.75,0.6356144714454862,0.8376498602944786,608.2725765966916,487.3118967262344,688.7916606303107,1161.554555484339,10,True
46,1,66,48,0.7272727272727273,0.6095777422224589,0.8199665500441132,729.3677694969592,507.18272427900894,948.7121719728493,2018.0000000003056,9,True
48,1,89,62,0.6966292134831461,0.5946286603942715,0.7823580914791123,502.3324544660136,388.0000000002183,651.9999999998108,1303.1999999998661,8,True
55A,1,23,16,0.6956521739130435,0.49134243731240795,0.8439597554678598,951.0783185649925,504.1822689629771,1361.999999999949,2137.4032541622178,6,False
OC3A,1,18,12,0.6666666666666666,0.437494672959451,0.8372122524916631,417.5349635902967,213.42104405568534,587.404571113675,716.0160177573941,9,False
49.1,0,115,75,0.6521739130434783,0.5614836581606002,0.7330263583548262,677.839672534059,484.2615155008625,796.0872630382055,1750.3129205658222,19,True
35,1,107,64,0.5981308411214953,0.5033945894801658,0.6860652049273694,356.9999999998545,308.99999999994907,459.5000000001528,1301.6000000003,10,True
52A,1,11,6,0.5454545454545454,0.28009153740932197,0.7872872837754022,325.99999999994907,-59.37937841236999,873.1361003756901,920.0244140788418,8,False
OC2,1,106,57,0.5377358490566038,0.4431684397031949,0.6296638049327694,411.0027182343638,204.66231691352368,611.0580111320978,1904.724958549432,14,True
48SP,0,43,23,0.5348837209302325,0.3891564047231397,0.6748894229587817,310.04832041888585,-15.000000000101863,390.15099313212704,942.8860446406445,3,False
OC3,1,124,65,0.5241935483870968,0.4368923545313545,0.610040776984419,366.7659073749892,221.35890906537315,517.053456173293,1117.4797844774162,14,True
39A,1,193,101,0.5233160621761658,0.4530866023723858,0.5926354729156166,331.0000000001637,198.40910263652404,455.9529574429471,1360.757959019933,16,True
31,0,698,350,0.501432664756447,0.46443376011579185,0.5384158863034444,301.343972028455,272.15944818801654,332.36165243767755,1016.2761455892667,19,True
62,0,595,289,0.4857142857142857,0.44577589112574034,0.5258359608100319,292.4059449821434,252.85562394383214,336.96098153750927,1524.993495439964,19,True
55A,0,194,90,0.4639175257731959,0.39512407085465173,0.5341121969961209,248.7789989866833,192.61386764395866,351.3479145331894,828.9343363700066,8,True
36,1,127,54,0.4251968503937008,0.3426554944070405,0.5121305942589557,157.91675794168623,36.999999999883585,309.3459154620323,1080.2752971457887,14,True
24,0,229,87,0.3799126637554585,0.3195196198548517,0.4442681511092778,211.93942254480498,171.3862606787443,252.03850203869297,884.2853268300928,19,True
26,0,272,102,0.375,0.31958299512290134,0.4338985870485365,161.30220532135263,94.4858437790775,208.2533321768169,1209.2967841385803,19,True
60,1,11,4,0.36363636363636365,0.15166471095367573,0.6461988254921511,-2189.9166993759245,-3682.876077922563,484.9070438682611,1126.811097142825,8,False
26A,0,180,65,0.3611111111111111,0.29452067237731516,0.4335058548231328,197.42481098748067,157.13504670296024,245.38462456345417,1018.5208665909923,19,True
44,1,59,20,0.3389830508474576,0.23137653685587659,0.46627529433071635,54.2403506087976,-2513.9999999999563,278.892044750286,1067.2999999994952,14,True
21,0,345,104,0.30144927536231886,0.25543125189668114,0.3518401989705779,187.87795938065392,163.26602703901517,210.4318144090903,547.7667494446434,19,True
45,1,245,73,0.2979591836734694,0.24416673690330212,0.35798958998378744,-330.7120976207807,-1261.1471480973414,-52.379060493416546,945.5999999996623,16,True
49.2,0,1487,412,0.27706792199058505,0.25491687475198316,0.30036782968301734,108.76288612776989,97.88151228908154,123.27932191077889,667.636565204198,19,True
