line_id,direction,n_trips,n_delayed,delay_rate,wilson_lo,wilson_hi,median_delay_sec,median_ci_lo,median_ci_hi,p90_delay_sec,n_days,enough
38A,1,68,51,0.75,0.6356144714454862,0.8376498602944786,608.2725765966916,487.3118967262344,688.7916606303107,1161.554555484339,10,True
46,1,66,48,0.7272727272727273,0.6095777422224589,0.8199665500441132,729.3677694969592,507.18272427900894,948.7121719728493,2018.0000000003056,9,True
48,1,89,62,0.6966292134831461,0.5946286603942715,0.7823580914791123,502.3324544660136,388.0000000002183,651.9999999998108,1303.1999999998661,8,True
49.1,0,115,75,0.6521739130434783,0.5614836581606002,0.7330263583548262,677.839672534059,484.2615155008625,796.0872630382055,1750.3129205658222,19,True
35,1,107,64,0.5981308411214953,0.5033945894801658,0.6860652049273694,356.9999999998545,308.99999999994907,459.5000000001528,1301.6000000003,10,True
OC2,1,106,57,0.5377358490566038,0.4431684397031949,0.6296638049327694,411.0027182343638,204.66231691352368,611.0580111320978,1904.724958549432,14,True
OC3,1,124,65,0.5241935483870968,0.4368923545313545,0.610040776984419,366.7659073749892,221.35890906537315,517.053456173293,1117.4797844774162,14,True
39A,1,193,101,0.5233160621761658,0.4530866023723858,0.5926354729156166,331.0000000001637,198.40910263652404,455.9529574429471,1360.757959019933,16,True
31,0,698,350,0.501432664756447,0.46443376011579185,0.5384158863034444,301.343972028455,272.15944818801654,332.36165243767755,1016.2761455892667,19,True
62,0,595,289,0.4857142857142857,0.44577589112574034,0.5258359608100319,292.4059449821434,252.85562394383214,336.96098153750927,1524.993495439964,19,True
55A,0,194,90,0.4639175257731959,0.39512407085465173,0.5341121969961209,248.7789989866833,192.61386764395866,351.3479145331894,828.9343363700066,8,True
36,1,127,54,0.4251968503937008,0.3426554944070405,0.5121305942589557,157.91675794168623,36.999999999883585,309.3459154620323,1080.2752971457887,14,True
24,0,229,87,0.3799126637554585,0.3195196198548517,0.4442681511092778,211.93942254480498,171.3862606787443,252.03850203869297,884.2853268300928,19,True
26,0,272,102,0.375,0.31958299512290134,0.4338985870485365,161.30220532135263,94.4858437790775,208.2533321768169,1209.2967841385803,19,True
26A,0,180,65,0.3611111111111111,0.29452067237731516,0.4335058548231328,197.42481098748067,157.13504670296024,245.38462456345417,1018.5208665909923,19,True
44,1,59,20,0.3389830508474576,0.23137653685587659,0.46627529433071635,54.2403506087976,-2513.9999999999563,278.892044750286,1067.2999999994952,14,True
21,0,345,104,0.30144927536231886,0.25543125189668114,0.3518401989705779,187.87795938065392,163.26602703901517,210.4318144090903,547.7667494446434,19,True
45,1,245,73,0.2979591836734694,0.24416673690330212,0.35798958998378744,-330.7120976207807,-1261.1471480973414,-52.379060493416546,945.5999999996623,16,True
49.2,0,1487,412,0.27706792199058505,0.25491687475198316,0.30036782968301734,108.76288612776989,97.88151228908154,123.27932191077889,667.636565204198,19,True
62,1,161,44,0.2732919254658385,0.210339067489212,0.3468111754032294,-2987.4063175320443,-3782.697591309363,-32.17885762294463,841.7677853538262,17,True
46,0,285,77,0.27017543859649124,0.2219313664225873,0.32453263311938413,-29.000000000021828,-69.00000000005821,40.880560921094,882.5289669237333,9,True
OC2,0,425,108,0.2541176470588235,0.21505615244807577,0.29758425182919246,42.99999999991269,0.9999999996944098,78.09694549584674,792.4058804080182,14,True
