line_id,n_trips,n_delayed,delay_rate,wilson_lo,wilson_hi,median_delay_sec,median_ci_lo,median_ci_hi,p90_delay_sec,n_days,enough
55A,217,106,0.48847926267281105,0.422752484464213,0.5546068391578086,269.6624150169737,217.1468621238855,379.1151926300354,1012.3991708228093,8,True
31,828,382,0.4613526570048309,0.4276543131051175,0.49540794915488917,267.61172629208886,237.2353688414987,295.5071379858673,987.7209536952672,19,True
62,756,333,0.44047619047619047,0.405477267384965,0.47607697139047145,234.34640598123406,195.26155151889907,283.11229275341975,1379.7487047763334,19,True
38A,211,89,0.4218009478672986,0.3571482657784044,0.48925009615255943,142.48361476298305,46.70817297316535,283.28586499205267,1037.1934763296886,10,True
49.1,211,85,0.4028436018957346,0.33897328017665734,0.4701883210102977,166.12381786323385,47.38965689582983,261.75952569477886,1377.3967092533458,19,True
46,351,125,0.3561253561253561,0.3078352194657656,0.40753062212537555,46.08887807271822,-12.01881150072204,137.17404576585977,1133.999999999549,9,True
OC2,531,165,0.3107344632768362,0.27284885667722175,0.35133884103193175,86.03843136839714,45.788343737811374,126.5706845343957,1080.4585800189452,14,True
26A,265,80,0.3018867924528302,0.24976833665810685,0.35966690275550406,131.37203829505597,58.05956338777287,172.38993537509305,917.0012531363243,19,True
26,394,115,0.2918781725888325,0.24916928606656186,0.33860620498925026,-17.67752018515239,-166.8279791881663,70.77313668522865,1051.889920765276,19,True
21,376,105,0.27925531914893614,0.23631577448509583,0.32665978769975484,169.4946809944413,139.55177099595312,193.87432764676487,538.4869775794832,19,True
24,346,95,0.2745664739884393,0.23020988031843811,0.32387384513288014,73.39639964537582,10.435874844464706,116.71485609595129,708.9605600964805,19,True
49.2,1547,419,0.27084680025856495,0.2492896542948935,0.29353917842205957,102.784970141538,91.83292180962235,116.57860092521514,663.5010877247452,19,True
39A,882,228,0.2585034013605442,0.23070076582342758,0.28840054089670875,-35.79164807243433,-69.36757938948747,-2.370984914017754,826.8917276805092,17,True
