a,b,jaccard,n_cells,r,p
15|0,21|0,0.03225806451612903,56,0.09479345362167348,0.4870946806979507
15|0,22|0,0.027777777777777776,50,-0.20707923874381257,0.14904047013102212
15|0,26|0,0.03225806451612903,35,-0.003440620373175135,0.9843498818919416
15|0,28|0,0.0,38,0.16793676272286773,0.31353589595003745
15|0,31|0,0.0,77,0.09602154666138997,0.40612846097038346
15|0,32|0,0.0,30,-0.01964197844630151,0.9179456073480334
15|0,34A|0,0.0,49,0.29206230782403014,0.0417209107457967
15|0,34B|0,0.0,60,-0.0930831954588543,0.4793241340446131
15|0,35|0,0.0,43,0.12356293564997983,0.429870918658584
15|0,36|0,0.0,52,0.17606569486383955,0.21183158145498887
15|0,39A|0,0.0,79,0.10204206628996494,0.37086610754553284
15|0,40|0,0.0,51,0.4814131115945538,0.0003483545228830053
15|0,41BC|0,0.02702702702702703,115,-0.022058716964624164,0.814986786924727
15|0,41JB|0,0.030303030303030304,115,0.06165571968552848,0.5127355429398628
15|0,42S|0,0.023255813953488372,70,-0.1328026279889769,0.27309486794951326
15|0,42T|0,0.030303030303030304,61,0.0411101300614959,0.75308744701698
15|0,44|0,0.0,64,0.18411284342851292,0.14529443190627425
15|0,45|0,0.0,82,-0.022020583918249736,0.8443226057537707
15|0,45|1,0.0,32,-0.055390820836231265,0.7633362800082542
15|0,49.2|0,0.0,101,0.21754115191792212,0.028867532279918985
15|0,52|0,0.0,78,0.22201792610772517,0.050747593461240026
15|0,53|0,0.0,86,0.06286091808014832,0.5653000985093037
15|0,57|0,0.0,84,0.030328597831637688,0.784189000116273
15|0,61|0,0.0,105,0.33804161630506274,0.00042053341793156333
15|0,62|0,0.018518518518518517,70,0.2030281212402746,0.09185833362772712
15|0,67|0,0.017543859649122806,129,-0.06349887705256925,0.47466421108436285
15|0,OC1|0,0.0,82,-0.022121369443522436,0.8436190907948415
15|0,OC2|0,0.0,56,-0.17796715341131528,0.18943566787245794
15|0,OC3|0,0.0,57,-0.025021376420928124,0.8534243816175031
21|0,22|0,0.36363636363636365,31,-0.23596899102352586,0.20126111085560228
21|0,31|0,0.0,55,0.2644146857302812,0.05108264027183508
21|0,34A|0,0.0,33,-0.39953376513245115,0.021249444860346706
21|0,34B|0,0.0,41,0.11543079833659084,0.4723455322929796
21|0,35|0,0.0,34,-0.05335857768100578,0.7644005096889279
21|0,36|0,0.0,33,-0.05099669662483271,0.7780652349604468
21|0,39A|0,0.0,55,-0.05441284029220142,0.6931674998254217
21|0,40|0,0.0,31,-0.14220298743174037,0.44539973856485343
21|0,41BC|0,0.045454545454545456,80,0.14293600932402856,0.2059274420340154
21|0,41JB|0,0.10526315789473684,77,-0.009454536577342567,0.9349584014011563
21|0,42S|0,0.0,53,-0.08658911054402117,0.5375603761088029
21|0,42T|0,0.05,40,-0.4175611142256682,0.007343735860668453
21|0,44|0,0.0,48,0.06392212763278753,0.6660077410550731
21|0,45|0,0.0,56,-0.017621516431437768,0.8974343094982319
21|0,49.2|0,0.0,66,-0.3409725635664484,0.00508443266777648
21|0,52|0,0.0,47,0.020867614502031825,0.8892731990240758
21|0,53|0,0.0,55,-0.15512564431789047,0.2581055338052713
21|0,57|0,0.0,53,-0.051847584736521214,0.7123485663467009
21|0,61|0,0.0,65,-0.045679606999982796,0.7178575294463415
21|0,62|0,0.06779661016949153,50,-0.19872103307875588,0.16652037105817596
21|0,67|0,0.03125,82,-0.2965762020625647,0.006819316752735352
21|0,OC1|0,0.0,52,-0.19972829506601636,0.15572451546530772
21|0,OC2|0,0.0,40,0.04021790194214825,0.8053771034408573
21|0,OC3|0,0.0,36,0.0804291680660571,0.641000212678467
22|0,31|0,0.0,60,-0.0764801530301384,0.5613736166784288
22|0,34A|0,0.03571428571428571,32,0.11176976396339318,0.5425090675923665
22|0,36|0,0.03125,30,0.1215764214819653,0.5221809661491768
22|0,39A|0,0.02631578947368421,43,0.15398358663282602,0.3241920334978127
22|0,40|0,0.0392156862745098,34,-0.1902562932694651,0.28113993029844736
22|0,41BC|0,0.0,66,-0.0936737090879303,0.4543903664547815
22|0,41JB|0,0.044444444444444446,66,-0.02839904776796784,0.8209273556118701
22|0,42S|0,0.14,35,0.12066971356899159,0.48988312831151803
22|0,42T|0,0.0,46,-0.03918935010636643,0.7959596502785898
22|0,44|0,0.03571428571428571,44,-0.057300595186525964,0.7117917286729134
22|0,45|0,0.043478260869565216,44,0.029814165415261235,0.8476528449263845
22|0,49.2|0,0.0,64,0.09233244771128601,0.46805124279741983
22|0,52|0,0.0,52,-0.15725753541425763,0.26554591859204807
22|0,53|0,0.0,50,0.02787241651646077,0.8476324766439068
22|0,57|0,0.0,38,-0.017670768233468748,0.9161383881706828
22|0,61|0,0.014925373134328358,56,-0.05252055847304712,0.700660596450826
22|0,62|0,0.13333333333333333,49,0.19943756358379577,0.16948192483902916
22|0,67|0,0.0,68,0.1489840826186038,0.22529891543705413
22|0,OC1|0,0.029850746268656716,51,0.009451514700934287,0.9475168303222926
22|0,OC2|0,0.03076923076923077,41,-0.12304543212212554,0.4434209685545003
22|0,OC3|0,0.0,36,0.21536524612697402,0.20714573803230338
24|0,31|0,0.05263157894736842,35,0.029002960572750452,0.8686394088989874
24|0,41BC|0,0.04081632653061224,39,-0.012273945346133248,0.9408833920692069
24|0,41JB|0,0.09302325581395349,37,0.044699015626767424,0.7927874761721903
24|0,49.2|0,0.02,35,0.22327966980200406,0.19728811645510977
24|0,52|0,0.0,33,-0.3322187561705995,0.05890362982138142
24|0,61|0,0.0,35,-0.1596258772783014,0.3596904600354085
24|0,62|0,0.07936507936507936,34,0.10835712375326682,0.5418667280030209
24|0,67|0,0.028985507246376812,39,0.34292457971184986,0.032584557990266064
24|0,OC1|0,0.0,32,0.3035126385648929,0.09127362222863648
26|0,31|0,0.0,42,-0.22166793724004183,0.15829170515810623
26|0,39A|0,0.0,40,0.000637438296266668,0.9968853297004523
26|0,41BC|0,0.045454545454545456,57,-0.05011775612983931,0.7112106068721276
26|0,41JB|0,0.10526315789473684,55,0.15008354141796085,0.2740896939548633
26|0,44|0,0.0,32,-0.07973195171946575,0.6644488888202739
26|0,45|0,0.0,39,-0.18111236846516587,0.26985212469360703
26|0,49.2|0,0.0,45,0.15873483235451152,0.29765162188321725
26|0,52|0,0.0,36,-0.21410857549439416,0.2098726249747316
26|0,53|0,0.0,37,-0.12777095423729654,0.45107632269275655
26|0,57|0,0.0,38,0.03794901858255083,0.8210456789168276
26|0,61|0,0.0,48,-0.14200361188666089,0.3356543820056414
26|0,62|0,0.16666666666666666,32,-0.2150043392819658,0.2373084158904572
26|0,67|0,0.03125,58,-0.04034079297860568,0.7636731635199697
26|0,OC1|0,0.0,45,-0.3573567433666803,0.01595527823875281
28|0,31|0,0.0,51,0.0004889375586248842,0.9972830912438464
28|0,34A|0,0.0,30,-0.005062194913041551,0.9788196608753235
28|0,34B|0,0.0,32,-0.08466675133346033,0.6449988555669088
28|0,36|0,0.0,34,-0.08558227624255466,0.6303423860383174
28|0,39A|0,0.0,40,0.2339254544038848,0.14627789224421872
28|0,40|0,0.0,39,-0.007816317493509035,0.9623335845141645
28|0,41BC|0,0.0,61,-0.045549144727513036,0.7274110324889461
28|0,41JB|0,0.0,59,0.04789372584177764,0.7186868491196752
28|0,42S|0,0.0,44,0.1892365209820749,0.21859640095717944
28|0,42T|0,0.0,39,-0.1413252492902685,0.39079312752890727
28|0,44|0,0.0,38,-0.09096890297443844,0.5870156872950004
28|0,45|0,0.0,44,0.35587940591437506,0.017745888381040652
28|0,49.2|0,0.0,63,-0.008062561636204857,0.9499941666661879
28|0,52|0,0.0,48,-0.0030222770056267806,0.9837346263668515
28|0,53|0,0.0,43,-0.10082808827521192,0.5200075326972023
28|0,57|0,0.0,44,-0.08518354199999206,0.5824716882795811
28|0,61|0,0.0,56,-0.06169003408689254,0.6515107554740942
28|0,67|0,0.0,67,0.08752767011588548,0.4812362736558824
28|0,OC1|0,0.0,45,-0.10388591393134872,0.4970628202217123
28|0,OC2|0,0.0,33,0.1836343623852451,0.30632861863335814
31|0,34A|0,0.0,56,0.1685819679425239,0.21423276948294315
31|0,34B|0,0.0,56,-0.09267805649541803,0.496909100454101
31|0,35|0,0.01282051282051282,48,-0.2026595779602354,0.1671439957864043
31|0,36|0,0.013333333333333334,58,0.08898824116813768,0.5065104548869768
31|0,39A|0,0.011494252873563218,81,-0.0170923165563932,0.8796200239237213
31|0,40|0,0.016129032258064516,60,0.09147014316105824,0.48700555497415615
31|0,41BC|0,0.0,120,0.0714476316095686,0.4380624559225405
31|0,41JB|0,0.0,121,0.0800968130518682,0.382486651873889
31|0,42S|0,0.0,72,0.18576250661690213,0.11821914349879502
31|0,42T|0,0.0,61,-0.2673956615972185,0.03722185113780544
31|0,44|0,0.014925373134328358,70,0.037389493311567636,0.7586166934809522
31|0,45|0,0.0,87,0.18029386030168248,0.09470783381777427
31|0,48|0,0.0,30,0.5045268534057302,0.004467197069901534
31|0,49.2|0,0.0,112,0.09785392969006916,0.3046857593748153
31|0,52|0,0.0,79,0.1329948729020924,0.24262860761299082
31|0,53|0,0.018518518518518517,88,0.09908369487325216,0.3583780063554073
31|0,55A|0,0.0,30,0.23062621089870694,0.22015038848205862
31|0,57|0,0.0,85,0.04712312220390898,0.6684625042206626
31|0,61|0,0.05405405405405406,110,0.18081051775584375,0.05871715506850974
31|0,62|0,0.05405405405405406,74,0.18547644526302606,0.11362062390014573
31|0,67|0,0.0,135,0.06668988658011873,0.44218001872237894
31|0,OC1|0,0.0,91,0.27851913728602784,0.007511084564015498
31|0,OC2|0,0.0,73,0.31486779351258776,0.006664050768797908
31|0,OC3|0,0.0,62,0.266900265794829,0.035992645206681134
31|1,41BC|0,0.0,34,0.1891624441527523,0.28396679885079673
31|1,41JB|0,0.0,36,0.17795633302608482,0.29909650751075817
31|1,61|0,0.0,30,0.09154799195549311,0.630420552949249
31|1,67|0,0.0,34,-0.05274009114937582,0.7670556886953638
32|0,33|0,0.22,35,0.49343128915128454,0.0025949238029679324
32|0,34A|0,0.0,35,0.010027114162090432,0.9544112357274277
32|0,35|0,0.0,30,0.011709487030720354,0.9510308963660514
32|0,36|0,0.0,39,-0.042064755491432196,0.7992947819733722
32|0,39A|0,0.0,40,0.29640274433298686,0.06328992848572165
32|0,40|0,0.0,30,0.5480274997674343,0.0017181763164530017
32|0,41BC|0,0.0,41,0.0793788729602946,0.6217766396622322
32|0,41JB|0,0.0,42,0.10285294580882591,0.5168751504729856
32|0,44|0,0.0,46,0.02977837578727302,0.8442563927026293
32|0,45|0,0.0,44,0.020623633287732923,0.8942903066639492
32|0,49.2|0,0.11320754716981132,45,0.0764956560718301,0.6174685787656486
32|0,53|0,0.0392156862745098,51,0.3062799605360949,0.02882433808103823
32|0,61|0,0.0,47,-0.03729462591973734,0.8034530079146748
32|0,62|0,0.0,36,-0.06006881254158619,0.7278343415685702
32|0,67|0,0.0,53,0.20065362283444807,0.14968476293449903
32|0,OC1|0,0.04054054054054054,38,0.16599193480837532,0.31925353518906857
32|0,OC2|0,0.041666666666666664,35,-0.28831279902566764,0.09303230414580291
32|0,OC3|0,0.10975609756097561,37,0.1484521915943288,0.3805522064649268
33|0,34A|0,0.0,46,0.18714806561712277,0.21298235274019953
33|0,36|0,0.0,55,0.12325501638860598,0.3699787159324324
33|0,39A|0,0.0,46,0.25066867918596675,0.0929038046721673
33|0,41BC|0,0.0,40,-0.20793248363629438,0.19791821219873107
33|0,41JB|0,0.0,41,0.11480804881950296,0.4747544046217936
33|0,44|0,0.0,54,0.1975965018684082,0.15208070495494386
33|0,45|0,0.0,56,-0.061851985367580256,0.6506550125906774
33|0,46|0,0.10227272727272728,30,-0.10003099026099338,0.598934230926058
33|0,48|0,0.0,34,0.13895393266344466,0.4331921929283821
33|0,49.2|0,0.125,62,0.2927170083684343,0.020956263043653812
33|0,53|0,0.09090909090909091,57,0.26285502926934085,0.04821888743386557
33|0,57|0,0.0975609756097561,43,0.07951466232777521,0.6122588264821798
33|0,61|0,0.0,59,0.1761393568662069,0.18205164316032982
33|0,62|0,0.0,40,0.07949323617294349,0.6258404769439342
33|0,67|0,0.0,60,0.4305756346069092,0.0005946311388239137
33|0,OC1|0,0.14285714285714285,39,0.10598298861604434,0.5207810171598403
33|0,OC2|0,0.14754098360655737,33,-0.05531148583199564,0.7598156725392523
33|0,OC3|0,0.2463768115942029,45,0.21247678301998765,0.16112807531663237
34A|0,35|0,0.1323529411764706,50,0.33713337202642885,0.01665886606814762
34A|0,36|0,0.1044776119402985,112,0.13930893197490804,0.14294244883734017
34A|0,39A|0,0.13157894736842105,108,0.1806279683543171,0.06138437017365722
34A|0,40|0,0.19607843137254902,64,0.235410684432492,0.06112664072012369
34A|0,41BC|0,0.0,96,0.03592498436205789,0.7282211186910812
34A|0,41JB|0,0.0,101,0.09934087428542307,0.3229646229305311
