lead,follow,r_same_hour,r_lag1
15,31,0.1160617393600653,-0.15112769353981234
15,34A,0.17048131364283667,0.3970888831382156
15,35,0.04173711509088502,0.09587151702968086
15,36,-0.1562425390329761,0.05313608266892559
15,39A,-0.18199673606655445,-0.20397146804317942
15,41BC,0.07878281120027897,-0.13450540691860763
15,41JB,0.20189568944931244,-0.04167518289869365
15,42S,-0.2984611767385917,-0.08949352204945632
15,44,0.10774991281044306,-0.15739088417675348
15,45,-0.07781373999391976,-0.06524899442555361
15,49.2,0.14139954388160086,0.14411337667517757
15,53,0.07572611715659952,0.030868771674366163
15,57,0.036615328187861174,-0.0742758310808028
15,61,0.04832309607853865,-0.14599077697306326
15,62,0.049634547423510804,0.011867785131789975
15,67,-0.14271740244195616,-0.259424335342622
15,OC1,0.006593395223769867,-0.15622356599613826
15,OC2,-0.16530160382737683,0.16332367288524083
15,OC3,0.015882174439372874,0.023619137950227617
31,15,0.11606173936006531,-0.03059006126803154
31,34A,0.25725762914964123,0.10936976361040118
31,35,0.05990394553422563,0.13470729220527336
31,36,0.3319297856616931,0.25356579257883477
31,39A,0.03184867159768398,0.04301134708014208
31,41BC,-0.00840698332869101,-0.04825869252901111
31,41JB,0.2811487242630186,0.011136743366639832
31,42S,0.3087786938417063,-0.2896070990052218
31,44,0.3349282729845681,0.08542483033741166
31,45,0.2704696970979528,0.10912186808056108
31,48,0.43481760766544514,0.4283275879647833
31,49.2,0.08570742725374032,-0.2380532019378705
31,53,0.10611653205312369,0.08292115554886305
31,57,0.08845023966124349,0.352590271999373
31,61,0.13872929295794748,0.0577735088069361
31,62,0.1907727012269673,-0.23984482373577667
31,67,0.1361546346816794,0.009828261097662895
31,OC1,0.2850907768517992,0.09221209161155197
31,OC2,0.44538332219012,0.4497092622833488
31,OC3,0.1736999370987081,0.004845989354107784
33,34A,0.04791129113126584,0.16936413819685361
33,36,-0.187290595740952,0.22337760591694172
33,39A,0.018931006761640674,0.11818474549465662
33,41BC,-0.10640380127251366,-0.14527617328542458
33,41JB,-0.22802258771351044,-0.16543495891423307
33,44,0.004361186700643723,0.13016600362444733
33,45,-0.15715082006128292,-0.09930309413085127
33,48,-0.11811069236986199,-0.09653103771407602
33,49.2,0.1553561010328312,0.20262744976114427
33,53,0.0625471589655066,0.4662299671982977
33,61,0.07224141946987284,-0.19817794134913824
33,62,0.21103646918033683,0.1913465417815388
33,67,0.3902978449005935,0.519602669644739
33,OC3,-0.017686345349008512,0.3591177441997036
34A,15,0.17048131364283667,-0.0628229580415929
34A,31,0.25725762914964123,-0.10118406455928543
34A,33,0.04791129113126585,-0.08427889656730084
34A,36,0.20816935269511683,0.3726687121861183
34A,39A,0.24851261879842818,0.12230413126354965
34A,41BC,0.04103524428563124,-0.04687537547796717
34A,41JB,-0.08401257511318647,0.5314430979925718
34A,44,0.2848540144254877,0.21084095103589012
34A,45,0.34128475962076843,0.012542531259529604
34A,49.2,0.4698543860011051,0.08426134614614197
34A,53,0.2551588363609758,0.3220387056553544
34A,57,0.37396632976353356,0.21463869070297903
34A,61,0.37860525354460034,-0.0630742755116967
34A,62,0.4548347177740768,0.27785729506407325
34A,67,0.10278639949520119,-0.10173766871644184
34A,OC1,0.1263188090170911,0.13456698783473742
34A,OC2,0.2381231833431145,0.12951476181715083
34A,OC3,0.04182267357610757,0.044703788745076266
35,15,0.04173711509088502,0.05826579718237634
35,31,0.05990394553422563,-0.11484263215891695
35,36,-0.2624693684196163,0.28341510535385955
35,39A,0.24570379336017378,0.5608742129892735
35,41BC,0.3157919705035171,0.12074043999384834
35,41JB,-0.18659698037470215,0.15572538879814182
35,44,0.41027851909572166,0.4154026723042727
35,45,0.1991215073469562,0.12162465871160046
35,46,0.518606489589417,0.28094189590033153
35,48,0.5780928215127765,0.19504256107175671
35,49.2,0.11606472232820352,-0.0028233179804931846
35,53,0.4924242482981333,0.21949954655998644
35,57,0.33849567544498377,-0.07128274835800891
35,61,0.2965121659038544,0.33780235413527016
35,62,0.13549248019172494,0.09103765719719081
35,67,0.2118700841221231,0.13028674686435568
35,OC1,0.16674184637498987,0.22253265139654607
35,OC2,0.41492691891586037,0.1476007221052477
35,OC3,0.33490783235730404,0.5235845842571468
36,15,-0.15624253903297614,-0.07902418168486143
36,31,0.33192978566169307,0.04588213733643864
36,33,-0.18729059574095197,-0.30625058299805974
36,34A,0.20816935269511685,0.02874707017132694
36,35,-0.2624693684196163,0.05738769377062128
36,39A,0.4612920808230629,0.2714061139861258
36,41BC,0.20910791292305347,-0.1397926612494402
36,41JB,0.2111471778466164,0.17368145107360697
36,44,0.17637049697968796,0.07046692845174948
36,45,0.06372187907538712,0.10871115330386037
36,46,0.4871138763149181,0.38570341915962564
36,48,0.09578229164566555,0.0401302296997558
36,49.2,0.22250045471724486,0.1816994393366112
36,53,0.1981974444231389,0.12606515240362148
36,57,-0.07941922291451006,0.013014288327730683
36,61,0.007116507741267087,-0.1813488738177842
36,62,0.3459757464754659,0.14932011978072457
36,67,0.028181653448923778,0.03139698426069233
36,OC1,0.013155814333611897,0.15129400804471516
36,OC2,0.24778945192442725,0.2888184528227073
36,OC3,0.21920501885361834,0.2689150290409207
39A,15,-0.18199673606655445,-0.23150121386329772
39A,31,0.03184867159768398,0.099653901505732
39A,33,0.018931006761640674,-0.040374630921254456
39A,34A,0.24851261879842818,0.23341326533686033
39A,35,0.24570379336017376,0.4180648485176898
39A,36,0.46129208082306294,0.2987163802085665
39A,41BC,0.15618690119093895,0.2272417351910854
39A,41JB,0.07161462234719092,-0.015198267923575669
39A,42S,0.3698350037040962,0.004377991796076294
39A,44,0.43378432053300886,0.25877859248001034
39A,45,0.3481329725150652,0.24099030860690632
39A,46,0.41104699644430714,0.6690724952923572
39A,48,0.3272440589055696,0.2838106268030914
39A,49.2,0.14098097362400575,0.12503135095392662
39A,53,0.06605666933732068,0.07022346221689295
39A,57,-0.11832499688770899,-0.0575288459124622
39A,61,0.11837853363104488,0.1500217326062396
39A,62,0.25719896941496745,0.11941103948475386
39A,67,0.14398928762936009,-0.07505666933339868
39A,OC1,0.26566882873323233,0.09018434868514881
39A,OC2,0.2226032395150615,0.17653448452693668
39A,OC3,0.39380795084909587,0.3197180152336402
41BC,15,0.07878281120027898,0.04635552990533006
41BC,31,-0.008406983328691012,0.1107510482928527
41BC,33,-0.10640380127251366,0.016907463853543206
41BC,34A,0.04103524428563123,0.21084610959866032
41BC,35,0.3157919705035171,0.04319777207084933
41BC,36,0.20910791292305345,0.10456882771153245
41BC,39A,0.15618690119093895,0.07080240044023929
41BC,41JB,0.3055483972996237,0.3361864728739356
41BC,42S,-0.12043779191427277,-0.016861355888240327
41BC,44,-0.08485193062380741,-0.16498832291503093
41BC,45,0.09211974620472628,0.33335494214595635
41BC,48,0.11757279294572973,0.09446141346358944
41BC,49.2,0.1463338733938101,0.1417819195084615
41BC,53,0.03974768789998111,0.05028372980934426
41BC,57,-0.05120128278834808,-0.025504688356896236
41BC,61,0.13258257312869126,0.07866519870052312
41BC,62,-0.0005589682264615556,0.049747843013666346
41BC,67,0.050899815987392565,0.0702438875656822
41BC,OC1,-0.21547100062552618,0.2673824770496392
41BC,OC2,0.14979941781746006,-0.17623725291901746
41BC,OC3,0.1290508188043949,0.3024673615271526
41JB,15,0.20189568944931247,-0.08185069001964886
41JB,31,0.28114872426301857,0.02450091076732185
41JB,34A,-0.08401257511318648,0.21507582439827566
41JB,35,-0.18659698037470215,0.11570658148710705
41JB,36,0.2111471778466164,0.07512754572705939
41JB,39A,0.07161462234719093,0.04595417769658234
41JB,41BC,0.3055483972996237,0.03045488010370648
41JB,42S,0.032485152891669526,0.032946152336013584
41JB,44,0.11871741482964496,-0.17403070283528854
41JB,45,0.09369623584970904,0.10428489439974246
41JB,48,-0.03417094511997906,0.054262027654840714
41JB,49.2,0.1152810075442772,-0.04698404869052178
41JB,53,0.20981511293875776,0.05164643608901249
41JB,57,0.012937538558407551,0.02952312269410441
41JB,61,0.0058308043267864505,-0.053890426471868966
41JB,62,0.010172345459982456,-0.15471500406600178
