feature,mean,std,shap,beta,p_worst_fold
mean(progress_frac),0.27110295515189015,0.01296782307648605,1.2173616,-1.8215859,0.0
mean(speed_mps),0.03176438803390199,0.005821913112288562,0.272257,-0.6237367,0.0
min(progress_frac),0.02347212945705123,0.005527872399108212,0.23683138,0.5826977,0.0
mean(headway_min),0.013190190800713963,0.004997919037542648,0.22485879,0.11399708,0.9999985764527779
std(progress_frac),0.0106980046600069,0.0020693656063374656,0.12654996,0.048669826,0.6334671905719005
std(dwell_frac),0.004710240242038526,0.001686208319974974,0.12876537,-0.045187123,0.9394391637630908
max(cross_track_m),0.004673750623198025,0.001842896631679378,0.111884356,0.5270344,0.0
min(headway_min),0.004526139095770358,0.002793798239244908,0.12134216,0.11399766,0.9999971532902714
mean(cross_track_m),0.003878560202108261,0.001563139118950267,0.10742972,0.2539383,0.0005455651324584032
min(tod_sin),0.0035610747823145014,0.0009470322236903262,0.10575537,-0.10099439,0.9979301067066564
mean(progress_rate),0.003094398953269404,0.0015386782517038595,0.06592269,0.11291822,0.9960847070580363
max(progress_frac),0.0030101407247617386,0.0010691195535134663,0.075919546,0.13090818,0.04557091081413778
mean(tod_sin),0.0029710200651344777,0.0013537465671189062,0.09813607,-0.08038902,0.9959527598906373
max(tod_sin),0.0028544766626102014,0.001613467510419967,0.10525016,-0.082008794,0.9982900143354765
std(rain_mm),0.0022534853741168702,0.0017484155097816523,0.0912179,-0.009668062,0.9370307654275163
mean(dwell_frac),0.0020792713541187237,0.0008268981882047659,0.059043653,-0.2138547,4.7767271702525704e-06
std(is_weekend),0.0019653433880334804,0.0018346712586093004,0.07882733,-0.039077424,0.7809522854980426
max(speed_mps),0.0014387106501237978,0.0005436086578630958,0.05200721,-0.054355793,0.9402783160095949
std(cross_track_m),0.0014276272232503695,0.0008798172448830374,0.057286352,-0.45990485,9.447988306821031e-06
std(progress_rate),0.001346689568743933,0.0008491579308650246,0.053822786,-0.095549025,0.8465903078142973
std(tod_cos),0.0012364582869753547,0.0020286103698885062,0.06465306,-0.025414968,0.9996272485452251
max(tod_cos),0.001086667857917878,0.001352618567846751,0.052367855,0.03898183,0.9995576003447313
max(progress_rate),0.0010384532656493616,0.00021866758389018522,0.04338815,-0.17189744,0.8212461206415205
mean(heading_change),0.0009274747132175997,0.00041597656325786356,0.053684615,-0.23080483,1.3064882509183917e-11
min(tod_cos),0.0008909877493734019,0.0014082718648559056,0.046082787,0.055294532,0.9989985764074161
mean(tod_cos),0.0007387384163608334,0.0009314225108881769,0.03675444,0.08676703,0.9944027905141297
max(accel),0.0007192323351770512,0.0006899321908096546,0.034510672,0.25399175,0.19236846257889795
min(accel),0.0007123841776031025,0.0003176897099976774,0.05729053,0.35196266,0.12429416737785748
mean(accel),0.0005360433843098967,0.0008944653033901456,0.054023713,-0.06080072,0.8258672764740287
mean(is_weekend),0.0005111184732892115,0.0016224652768974987,0.044233255,0.029485598,0.999999977148559
std(accel),0.0003433796344141848,0.0003268293069522278,0.052065652,0.11315282,0.8081869421770904
mean(rain_mm),0.0003267296400708419,0.000606814923419389,0.017787978,-0.005446641,0.9637291502503746
max(headway_min),0.0003149587502809781,0.00043670664541888113,0.017576715,0.11399766,0.9999971527505622
min(dwell_frac),0.0003115143539954479,0.0004490677310024943,0.01722025,0.1419185,0.0005091737859825862
std(speed_mps),0.00028150752295085684,0.0007436897174177927,0.035727046,0.1807122,0.7345361439328029
min(cross_track_m),0.00023666152893734755,0.0007639704619570927,0.055180065,0.013067862,0.8862615862728269
std(headway_min),0.00023615753820401819,0.0006878305271328086,0.03391943,0.007975502,0.7030785514097266
std(tod_sin),0.0001385615986557176,0.0008927970587789202,0.03354957,0.1785955,0.9682084115357967
min(is_weekend),3.416734509141817e-05,9.25089558498687e-05,0.0027801697,0.029484937,0.9999999539967586
max(is_weekend),2.4954016217264563e-05,2.585970564597215e-05,0.0016587649,0.029484937,0.999999954656807
max(dwell_frac),1.374098020074932e-05,1.9389431990557363e-05,0.00042636436,0.038830258,0.11362521441049345
min(heading_change),-1.5656669946939593e-06,2.4194006973415363e-06,2.769662e-05,-0.011016364,0.8403178400135443
min(progress_rate),-9.439817989254084e-06,3.057631324926122e-05,0.0005881729,-0.0042477576,0.804371968421933
min(rain_mm),-4.945166757712727e-05,0.00019642624759262677,0.0071518957,0.053506263,0.27949254943394775
max(rain_mm),-5.084019102054471e-05,3.95734541317886e-05,0.00280577,-0.06724466,0.36828350184245395
min(speed_mps),-0.00010694990806837667,0.00010281271282564793,0.0013449106,-0.053764384,0.7829494409016688
std(heading_change),-0.0001989868289272967,0.0005109976292154263,0.038785398,0.14918646,0.5421917221411141
max(heading_change),-0.0003163210683203954,0.0002864379983780709,0.035675548,-0.09628206,0.7204441117042346
