fold,feature,drop_roc_auc
1,mean(speed_mps),0.034916582884724136
1,mean(accel),0.0011698580803559012
1,mean(heading_change),0.0007892918977545294
1,mean(progress_frac),0.25577299291831757
1,mean(progress_rate),0.0046098447265775725
1,mean(cross_track_m),0.0035680245207929894
1,mean(dwell_frac),0.002495707321258489
1,mean(tod_sin),0.005030216498406126
1,mean(tod_cos),0.0010889269238130717
1,mean(is_weekend),-4.204680202307687e-05
1,mean(rain_mm),0.0008406335454831604
1,mean(headway_min),0.02087108104005474
1,std(speed_mps),-0.0003781737223162329
1,std(accel),0.00021203523021522396
1,std(heading_change),-0.0009178797631958724
1,std(progress_frac),0.009983324276816984
1,std(progress_rate),0.002238242845168792
1,std(cross_track_m),0.0014890452818483667
1,std(dwell_frac),0.006698008813053713
1,std(tod_sin),0.0006816036853788843
1,std(tod_cos),-2.837952889975792e-05
1,std(is_weekend),0.003156191357223426
1,std(rain_mm),0.005118366285119668
1,std(headway_min),0.0012132661097826291
1,min(speed_mps),-0.0002768929035777523
1,min(accel),0.000379452451089346
1,min(heading_change),-5.499908701456224e-06
1,min(progress_frac),0.02647816921239108
1,min(progress_rate),-4.149681115289683e-05
1,min(cross_track_m),0.00030678490737052756
1,min(dwell_frac),0.00028378153922649086
1,min(tod_sin),0.004642761680156138
1,min(tod_cos),0.0025142695131261327
1,min(is_weekend),-2.744454442048516e-05
1,min(rain_mm),-0.00013683772849368837
1,min(headway_min),0.00652602666795733
1,max(speed_mps),0.0016640248771870314
1,max(accel),0.0012600428332890212
1,max(heading_change),-0.00019274430044460277
1,max(progress_frac),0.002080422964978823
1,max(progress_rate),0.0011545958337091599
1,max(cross_track_m),0.006725797101768116
1,max(dwell_frac),6.874885877250492e-07
1,max(tod_sin),0.003803764357511652
1,max(tod_cos),0.0026422523886103777
1,max(is_weekend),4.5484244961557786e-05
1,max(rain_mm),-6.470642587323994e-05
1,max(headway_min),0.0006982409092009312
2,mean(speed_mps),0.031194456647279368
2,mean(accel),0.0012979307682522867
2,mean(heading_change),0.0010230849783138707
2,mean(progress_frac),0.26370660012170116
2,mean(progress_rate),0.0020464049612931912
2,mean(cross_track_m),0.0022991133117296727
2,mean(dwell_frac),0.0019290436312796254
2,mean(tod_sin),0.0030464594823757184
2,mean(tod_cos),0.000490783743693346
2,mean(is_weekend),0.0011597010239311034
2,mean(rain_mm),0.0
2,mean(headway_min),0.014728040067355508
2,std(speed_mps),0.0001543197304277988
2,std(accel),4.0264132710665644e-05
2,std(heading_change),2.6430191394166692e-05
2,std(progress_frac),0.013787081386189181
2,std(progress_rate),0.0017637726834337953
2,std(cross_track_m),0.0023227234471362877
2,std(dwell_frac),0.0025414187889677533
2,std(tod_sin),-0.0008387003176635211
2,std(tod_cos),0.0012897369389108237
2,std(is_weekend),0.004234784074579878
2,std(rain_mm),0.0010590876930877235
2,std(headway_min),-0.00017395045349628547
2,min(speed_mps),-0.00012790520601125844
2,min(accel),0.0007854639274106123
2,min(heading_change),0.0
2,min(progress_frac),0.01577193079206608
2,min(progress_rate),-4.637425401632367e-06
2,min(cross_track_m),-0.0004859113136258753
2,min(dwell_frac),0.0001609938629315577
2,min(tod_sin),0.002614536573932835
2,min(tod_cos),0.0005025966448855002
2,min(is_weekend),0.00019828126987757598
2,min(rain_mm),0.0
2,min(headway_min),0.008072159592608564
2,max(speed_mps),0.0011692422133555147
2,max(accel),0.0012672704928769595
2,max(heading_change),-0.0007355019354983838
2,max(progress_frac),0.003597780427934205
2,max(progress_rate),0.0006982928634410746
2,max(cross_track_m),0.004853974367571135
2,max(dwell_frac),2.747987890060477e-05
2,max(tod_sin),0.0008873462834482649
2,max(tod_cos),0.00033832838361296246
