fold,feature,mean_abs_shap
1,mean(speed_mps),0.27568144
1,mean(accel),0.055318896
1,mean(heading_change),0.055284027
1,mean(progress_frac),1.1440377
1,mean(progress_rate),0.055774543
1,mean(cross_track_m),0.097072616
1,mean(dwell_frac),0.059191633
1,mean(tod_sin),0.09493997
1,mean(tod_cos),0.032160107
1,mean(is_weekend),0.013763661
1,mean(rain_mm),0.01550666
1,mean(headway_min),0.24219522
1,std(speed_mps),0.038254935
1,std(accel),0.029317982
1,std(heading_change),0.04388212
1,std(progress_frac),0.108530425
1,std(progress_rate),0.053992335
1,std(cross_track_m),0.04897563
1,std(dwell_frac),0.14810355
1,std(tod_sin),0.030724585
1,std(tod_cos),0.065498404
1,std(is_weekend),0.059657756
1,std(rain_mm),0.10252109
1,std(headway_min),0.026785623
1,min(speed_mps),0.0026243234
1,min(accel),0.055020135
1,min(heading_change),8.783782e-05
1,min(progress_frac),0.22475664
1,min(progress_rate),0.00027060678
1,min(cross_track_m),0.05598796
1,min(dwell_frac),0.009667767
1,min(tod_sin),0.08998726
1,min(tod_cos),0.040380634
1,min(is_weekend),0.0005211499
1,min(rain_mm),0.007272181
1,min(headway_min),0.10779336
1,max(speed_mps),0.059109375
1,max(accel),0.026684841
1,max(heading_change),0.041822497
1,max(progress_frac),0.085333996
1,max(progress_rate),0.038201343
1,max(cross_track_m),0.11417472
1,max(dwell_frac),0.0003791655
1,max(tod_sin),0.081402645
1,max(tod_cos),0.058626976
1,max(is_weekend),0.001356762
1,max(rain_mm),0.0023117356
1,max(headway_min),0.014477911
2,mean(speed_mps),0.27385303
2,mean(accel),0.06305148
2,mean(heading_change),0.0562447
2,mean(progress_frac),1.2427888
2,mean(progress_rate),0.053964015
2,mean(cross_track_m),0.096320555
2,mean(dwell_frac),0.068791494
2,mean(tod_sin),0.111010104
2,mean(tod_cos),0.040570807
2,mean(is_weekend),0.030060638
2,mean(rain_mm),0.002335101
2,mean(headway_min),0.20592171
2,std(speed_mps),0.032532044
2,std(accel),0.062449265
2,std(heading_change),0.041086063
2,std(progress_frac),0.11714948
2,std(progress_rate),0.05409658
2,std(cross_track_m),0.054209962
2,std(dwell_frac),0.11817371
2,std(tod_sin),0.035954416
2,std(tod_cos),0.056256536
2,std(is_weekend),0.07994051
2,std(rain_mm),0.056852385
2,std(headway_min),0.032386713
2,min(speed_mps),0.0011784405
2,min(accel),0.064605325
2,min(heading_change),0.0
2,min(progress_frac),0.24334517
2,min(progress_rate),0.0006594727
2,min(cross_track_m),0.047170993
2,min(dwell_frac),0.014786438
2,min(tod_sin),0.09678461
2,min(tod_cos),0.053512733
2,min(is_weekend),0.007065076
2,min(rain_mm),0.0036725686
2,min(headway_min),0.13382283
2,max(speed_mps),0.038692176
2,max(accel),0.052219477
2,max(heading_change),0.039771352
2,max(progress_frac),0.0765361
2,max(progress_rate),0.050018203
2,max(cross_track_m),0.09895964
2,max(dwell_frac),0.00013549208
2,max(tod_sin),0.085505895
2,max(tod_cos),0.052053533
2,max(is_weekend),0.0025572914
2,max(rain_mm),0.0027378066
2,max(headway_min),0.021260219
3,mean(speed_mps),0.29440695
3,mean(accel),0.056106735
3,mean(heading_change),0.05961767
3,mean(progress_frac),1.2105479
3,mean(progress_rate),0.06470677
3,mean(cross_track_m),0.15168229
3,mean(dwell_frac),0.04475786
3,mean(tod_sin),0.095590815
3,mean(tod_cos),0.033257905
3,mean(is_weekend),0.058924172
3,mean(rain_mm),0.015487811
3,mean(headway_min),0.2596329
3,std(speed_mps),0.034269433
3,std(accel),0.06124031
3,std(heading_change),0.041991346
3,std(progress_frac),0.11476905
3,std(progress_rate),0.045490734
3,std(cross_track_m),0.073940575
3,std(dwell_frac),0.11977968
3,std(tod_sin),0.031447325
3,std(tod_cos),0.07397704
3,std(is_weekend),0.11409247
3,std(rain_mm),0.14282794
3,std(headway_min),0.039612483
3,min(speed_mps),0.0009015358
3,min(accel),0.05586278
3,min(heading_change),0.0
3,min(progress_frac),0.23674811
3,min(progress_rate),0.00081493345
3,min(cross_track_m),0.0587586
3,min(dwell_frac),0.026090043
3,min(tod_sin),0.09580128
3,min(tod_cos),0.03637525
3,min(is_weekend),0.0
3,min(rain_mm),0.0029021155
3,min(headway_min),0.11692563
3,max(speed_mps),0.046878655
3,max(accel),0.036628768
3,max(heading_change),0.03018894
3,max(progress_frac),0.07088213
3,max(progress_rate),0.041250315
3,max(cross_track_m),0.10780804
3,max(dwell_frac),0.0006359861
3,max(tod_sin),0.12168259
3,max(tod_cos),0.05304575
3,max(is_weekend),0.0014435663
3,max(rain_mm),0.0040370724
3,max(headway_min),0.0065565854
4,mean(speed_mps),0.2579061
4,mean(accel),0.05108636
4,mean(heading_change),0.05114837
4,mean(progress_frac),1.2103597
4,mean(progress_rate),0.077551864
4,mean(cross_track_m),0.08969833
4,mean(dwell_frac),0.063005686
4,mean(tod_sin),0.09293041
4,mean(tod_cos),0.032378763
4,mean(is_weekend),0.03591385
4,mean(rain_mm),0.011934046
4,mean(headway_min),0.209413
4,std(speed_mps),0.03414432
4,std(accel),0.0609252
4,std(heading_change),0.03111696
4,std(progress_frac),0.15188906
4,std(progress_rate),0.06229157
4,std(cross_track_m),0.067511834
4,std(dwell_frac),0.107189566
4,std(tod_sin),0.036003288
4,std(tod_cos),0.0620326
4,std(is_weekend),0.097900376
4,std(rain_mm),0.091220744
4,std(headway_min),0.035579562
4,min(speed_mps),0.0014810419
4,min(accel),0.053064372
4,min(heading_change),0.0
4,min(progress_frac),0.21726285
4,min(progress_rate),0.0007545953
4,min(cross_track_m),0.050994735
4,min(dwell_frac),0.019035688
4,min(tod_sin),0.109518565
4,min(tod_cos),0.059230924
4,min(is_weekend),0.0028984717
4,min(rain_mm),0.017064525
4,min(headway_min),0.13807096
4,max(speed_mps),0.063450985
4,max(accel),0.027070554
4,max(heading_change),0.027019562
4,max(progress_frac),0.0744484
4,max(progress_rate),0.033514537
4,max(cross_track_m),0.119001545
4,max(dwell_frac),0.0004911285
4,max(tod_sin),0.109950125
4,max(tod_cos),0.049325176
4,max(is_weekend),0.0023082942
4,max(rain_mm),0.003555806
4,max(headway_min),0.03051514
5,mean(speed_mps),0.2594375
5,mean(accel),0.04455509
5,mean(heading_change),0.04612832
5,mean(progress_frac),1.2790737
5,mean(progress_rate),0.07761628
5,mean(cross_track_m),0.10237479
5,mean(dwell_frac),0.059471592
5,mean(tod_sin),0.09620904
5,mean(tod_cos),0.04540462
5,mean(is_weekend),0.08250397
5,mean(rain_mm),0.043676276
5,mean(headway_min),0.20713112
5,std(speed_mps),0.03943449
5,std(accel),0.046395503
5,std(heading_change),0.03585049
5,std(progress_frac),0.14041178
5,std(progress_rate),0.0532427
5,std(cross_track_m),0.04179376
5,std(dwell_frac),0.15058032
5,std(tod_sin),0.033618245
5,std(tod_cos),0.065500714
5,std(is_weekend),0.042545523
5,std(rain_mm),0.06266732
5,std(headway_min),0.035232767
5,min(speed_mps),0.0005392114
5,min(accel),0.057900034
5,min(heading_change),5.0645274e-05
5,min(progress_frac),0.26204404
5,min(progress_rate),0.0004412561
5,min(cross_track_m),0.062988035
5,min(dwell_frac),0.016521318
5,min(tod_sin),0.1366851
5,min(tod_cos),0.04091439
5,min(is_weekend),0.00341615
5,min(rain_mm),0.0048480877
5,min(headway_min),0.11009804
5,max(speed_mps),0.051904853
5,max(accel),0.029949725
5,max(heading_change),0.039575383
5,max(progress_frac),0.072397105
5,max(progress_rate),0.05395637
5,max(cross_track_m),0.11947785
5,max(dwell_frac),0.0004900497
5,max(tod_sin),0.12770951
5,max(tod_cos),0.04878785
5,max(is_weekend),0.0006279103
5,max(rain_mm),0.0013864285
5,max(headway_min),0.015073718
