fold,split,epoch,mse
1,train,1,0.5223723693774165
1,train,2,0.4301479067853702
1,train,3,0.40814996855233304
1,train,4,0.3874831973010921
1,train,5,0.37666854572125236
1,train,6,0.36511815544952203
1,train,7,0.3577530352018213
1,train,8,0.3547710270010015
1,train,9,0.3493865498718822
1,train,10,0.34415088054527093
1,train,11,0.3404998213159568
1,train,12,0.3362016998311525
1,train,13,0.3349638945526547
1,train,14,0.3317855715110738
1,train,15,0.3309718888506667
1,train,16,0.3282277334120966
1,train,17,0.3257598879623584
1,train,18,0.3259339397739766
1,train,19,0.3234481974955528
1,train,20,0.3223009939475726
2,train,1,0.5246507100446124
2,train,2,0.4339689751955825
2,train,3,0.41110316149785486
2,train,4,0.39080619287322943
2,train,5,0.3782737537378996
2,train,6,0.36621699356277226
2,train,7,0.35803834380398336
2,train,8,0.3554810212111809
2,train,9,0.3498993394240527
2,train,10,0.34820953578176633
2,train,11,0.34551208392835
2,train,12,0.3414505880693315
2,train,13,0.34089485639837425
2,train,14,0.3373858959112369
2,train,15,0.33726976056333996
2,train,16,0.3369189522845644
2,train,17,0.3332088465841723
2,train,18,0.33216474719450506
2,train,19,0.3304659097757138
2,train,20,0.32805694387832157
3,train,1,0.5204976744635005
3,train,2,0.42660547362666734
3,train,3,0.3975930348248549
3,train,4,0.38029319100396736
3,train,5,0.3656326485141902
3,train,6,0.35672548707102386
3,train,7,0.3499182547691842
3,train,8,0.3445879172691157
3,train,9,0.34217898106910816
3,train,10,0.3401422799682953
3,train,11,0.33335574789786004
3,train,12,0.3322939645026771
3,train,13,0.3295187689888645
3,train,14,0.3266546208883675
3,train,15,0.3260633504726517
3,train,16,0.321906285806441
3,train,17,0.321231820056556
3,train,18,0.318395711586509
3,train,19,0.3174887910800081
3,train,20,0.31688958768483616
4,train,1,0.5168231741433412
4,train,2,0.4297925248532228
4,train,3,0.40176646369443814
4,train,4,0.3823712040001238
4,train,5,0.3697227271090091
4,train,6,0.3571812562959295
4,train,7,0.35487614446122884
4,train,8,0.3489708909896058
4,train,9,0.34286577191571116
4,train,10,0.3393602651399626
4,train,11,0.33578439885881584
4,train,12,0.33330658099181215
4,train,13,0.3304978483159777
4,train,14,0.3285249787527071
4,train,15,0.3278700751318058
4,train,16,0.32524918680879433
4,train,17,0.32331508130464753
4,train,18,0.32162183995397997
4,train,19,0.3203932451949993
4,train,20,0.31803198840836405
5,train,1,0.5213818242642242
5,train,2,0.42982744929236427
5,train,3,0.41042844499920456
5,train,4,0.39076950631930796
5,train,5,0.37707420774328876
5,train,6,0.36601402904366104
5,train,7,0.3600042386793754
5,train,8,0.3558341779969108
5,train,9,0.35269399060749673
