model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.9707724425887265,0.8845419847328244,0.9799154334038055,0.9297893681043129,0.9972137462518122,0.9889979534270669,,,,,,
AE+MLP,2,0.9739130434782609,0.9095744680851063,0.963923337091319,0.9359605911330049,0.9969032651861581,0.9878294291020426,,,,,,
AE+MLP,3,0.9686159403928652,0.8630751964085297,0.9783715012722646,0.91711389385808,0.9975378902967732,0.9896071526627407,,,,,,
AE+MLP,4,0.9702903443619176,0.8996763754045307,0.9928571428571429,0.9439728353140917,0.998671864924122,0.9963687828154074,,,,,,
AE+MLP,5,0.9663526244952894,0.8784878487848785,0.9848637739656912,0.928639391056137,0.9962783016575194,0.9890889212276748,,,,,,
AE+MLP,mean,0.9699888790634119,0.887071174683174,0.9799862377180446,0.9310952158931253,0.9973210136632769,0.9903784478469865,0.002498448612897546,0.016255254890635482,0.009487673292552592,0.00886248992215217,0.0007931081915768605,0.0030510702909813526
AE+XGBoost,1,0.9513569937369519,0.883745963401507,0.8678646934460887,0.8757333333333334,0.9855154404436888,0.9515083346881645,,,,,,
AE+XGBoost,2,0.9433667781493869,0.8754448398576512,0.8320180383314544,0.8531791907514451,0.9824652052092074,0.9442056054859873,,,,,,
AE+XGBoost,3,0.9586814179272973,0.8654545454545455,0.9083969465648855,0.8864059590316573,0.9903981213928347,0.9659291397776454,,,,,,
AE+XGBoost,4,0.962187711006077,0.9190140845070423,0.9321428571428572,0.925531914893617,0.9945560702463351,0.9854932992311324,,,,,,
AE+XGBoost,5,0.9544638851502916,0.894,0.9021190716448032,0.898041185334003,0.990892360637139,0.9739482214475981,,,,,,
AE+XGBoost,mean,0.954011357194001,0.8875318866441491,0.8885083214260178,0.8877783166688114,0.9887654395858411,0.9642169201261055,0.006468689494222258,0.018334689424600717,0.03493449326649615,0.023978011408125496,0.0042655900907635855,0.01491492599260808
AE+RF,1,0.9179540709812108,0.7995666305525461,0.7801268498942917,0.7897271268057785,0.9596257202130445,0.8840327796001105,,,,,,
AE+RF,2,0.9101449275362319,0.8209549071618037,0.6978579481397971,0.7544180377818404,0.9518406505430488,0.8690803482680964,,,,,,
AE+RF,3,0.935425603973809,0.8019323671497585,0.8447837150127226,0.8228004956629492,0.9724016710216323,0.913828288224843,,,,,,
AE+RF,4,0.9286518118388476,0.8458225667527993,0.8767857142857143,0.8610258658483121,0.9796040045569838,0.9513424211909629,,,,,,
AE+RF,5,0.9324809331538807,0.850609756097561,0.8446014127144299,0.8475949367088608,0.9781727500198643,0.9388189355647297,,,,,,
AE+RF,mean,0.924931469496796,0.8237772455428937,0.8088311280093909,0.8151132925615482,0.9683289592709148,0.9114205545697486,0.009468770989628499,0.02134149945094454,0.06376348454809563,0.038859969244456075,0.010846423726927736,0.03128260597992451
AE+LR,1,0.9653444676409186,0.8631284916201117,0.9799154334038055,0.9178217821782179,0.996356310485246,0.9858487911772023,,,,,,
AE+LR,2,0.9687848383500557,0.8870466321243523,0.9650507328072153,0.9244060475161987,0.9958529510005872,0.9840773076050148,,,,,,
AE+LR,3,0.9611650485436893,0.8322510822510822,0.9783715012722646,0.8994152046783626,0.9966836604621502,0.9862264677319572,,,,,,
AE+LR,4,0.9759171730812514,0.9217318900915903,0.9883928571428572,0.9538991813873331,0.9985404754739693,0.9959449766581755,,,,,,
