model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
AE+MLP,1,0.8943632567849686,0.6721439749608764,0.9080338266384778,0.7724820143884892,0.9686188959263275,0.8948936315133846,,,,,,
AE+MLP,2,0.9005574136008918,0.706267539756782,0.8511837655016911,0.7719836400817995,0.9578849705429485,0.8755154747213045,,,,,,
AE+MLP,3,0.8952359449085573,0.653041825095057,0.8740458015267175,0.7475516866158868,0.9610274226635627,0.8581998197939944,,,,,,
AE+MLP,4,0.9029934728786856,0.7509104151493081,0.9205357142857142,0.8271159245888487,0.9683934482610378,0.9208052221362955,,,,,,
AE+MLP,5,0.8945715567519067,0.7089013632718525,0.8920282542885973,0.7899910634495085,0.9682766473106531,0.9041800792709401,,,,,,
AE+MLP,mean,0.897544328985002,0.6982530236467752,0.8891654724482396,0.7818248658249065,0.964840276940906,0.8907188454871839,0.0035512555586060543,0.03369319035907728,0.024574445645849343,0.026369513449384173,0.0045083428000762035,0.02187442903436257
AE+XGBoost,1,0.9127348643006263,0.7495274102079396,0.8382663847780126,0.7914171656686627,0.9672246690704934,0.8961936283875471,,,,,,
AE+XGBoost,2,0.9052396878483835,0.7837837837837838,0.7192784667418264,0.7501469723691946,0.9458555517188867,0.8495311621039099,,,,,,
AE+XGBoost,3,0.9060736057800858,0.7161214953271028,0.7798982188295165,0.7466504263093788,0.9538460947447752,0.8458276592485315,,,,,,
AE+XGBoost,4,0.9196488858879136,0.8269065981148244,0.8616071428571429,0.8439003060778312,0.971158269205967,0.9278791003908513,,,,,,
AE+XGBoost,5,0.9174517720951099,0.7986577181208053,0.8405650857719476,0.8190757128810227,0.9678717921926121,0.9163830013472463,,,,,,
AE+XGBoost,mean,0.9122297631824239,0.7749994011108912,0.8079230597956892,0.790238116661218,0.9611912753865468,0.8871629102956172,0.005819403974305555,0.03859188659170539,0.05198356585274022,0.037999511276158734,0.00969028595046664,0.03381694006642915
AE+RF,1,0.8989561586638831,0.7255859375,0.7854122621564482,0.7543147208121828,0.9452077095520215,0.8475712708128442,,,,,,
AE+RF,2,0.8889632107023412,0.7697642163661581,0.6257046223224352,0.6902985074626866,0.9180209724430397,0.7892570998508586,,,,,,
AE+RF,3,0.8794310228042448,0.6403118040089086,0.7315521628498728,0.6828978622327792,0.9242124217450735,0.7719966593380553,,,,,,
AE+RF,4,0.9018681071348188,0.7963604852686309,0.8205357142857143,0.8082673702726473,0.9576670714930571,0.9018648908067892,,,,,,
AE+RF,5,0.9102736653207717,0.7827751196172249,0.8254288597376388,0.8035363457760314,0.9589268516155056,0.8971513758129439,,,,,,
AE+RF,mean,0.895898432925212,0.7429595125521846,0.7577267242704219,0.7478629613112654,0.9408070053697394,0.8415682593242984,0.010685568835217523,0.056557637466312885,0.07404050303708609,0.05352377790394824,0.016891064840118764,0.05354972956749405
AE+LR,1,0.8822546972860126,0.64921875,0.8784355179704016,0.7466307277628033,0.9568482663187791,0.853859847982967,,,,,,
AE+LR,2,0.8900780379041249,0.6824074074074075,0.830890642615558,0.7493645144890696,0.9456904217738403,0.8411745130507531,,,,,,
