trip_instance_id,recon_mse,split,y
2026-03-11_1103013_U_1,0.17781007,history,0
2026-03-11_1103013_U_10,0.15189773,history,0
2026-03-11_1103013_U_13,0.8906586,history,0
2026-03-11_1103013_U_14,0.11572586,history,1
2026-03-11_1103013_U_15,0.14346267,history,0
2026-03-11_1103013_U_16,0.11852123,history,0
2026-03-11_1103013_U_2,0.06593263,history,0
2026-03-11_1103013_U_21,0.1259828,history,0
2026-03-11_1103013_U_22,0.1097762,history,0
2026-03-11_1103013_U_23,0.1666351,history,0
2026-03-11_1103013_U_24,0.08434354,history,0
2026-03-11_1103013_U_25,0.07983346,history,0
2026-03-11_1103013_U_26,0.19958162,history,0
2026-03-11_1103013_U_27,0.14896077,history,0
2026-03-11_1103013_U_28,0.08508565,history,0
2026-03-11_1103013_U_29,0.0932193,history,0
2026-03-11_1103013_U_3,0.23583522,history,0
2026-03-11_1103013_U_32,0.15408996,history,1
2026-03-11_1103013_U_33,0.088573635,history,0
2026-03-11_1103013_U_36,0.12218892,history,0
2026-03-11_1103013_U_39,0.15934458,history,0
2026-03-11_1103013_U_4,0.21403098,history,0
2026-03-11_1103013_U_43,0.15910952,history,0
2026-03-11_1103013_U_45,0.2496811,history,0
2026-03-11_1103013_U_46,0.09643748,history,0
2026-03-11_1103013_U_47,0.10932493,history,0
2026-03-11_1103013_U_48,0.10746519,history,0
2026-03-11_1103013_U_5,0.12400912,history,0
2026-03-11_1103013_U_50,0.16921347,history,0
2026-03-11_1103013_U_51,0.13800436,history,0
2026-03-11_1103013_U_52,0.31350705,history,0
2026-03-11_1103013_U_6,0.08586189,history,0
2026-03-11_1103013_U_7,0.111206435,history,0
2026-03-11_1103013_U_8,0.14040473,history,0
2026-03-11_1288544_U_1,0.19293833,history,0
2026-03-11_1288544_U_10,0.19839464,history,0
2026-03-11_1288544_U_2,0.15155306,history,1
2026-03-11_1288544_U_4,0.20199355,history,0
2026-03-11_1288544_U_5,0.27096495,history,1
2026-03-11_1288544_U_6,0.22376063,history,1
2026-03-11_1288544_U_7,0.20380783,history,0
2026-03-11_1288544_U_8,0.26257688,history,0
2026-03-11_1288544_U_9,0.22657602,history,0
2026-03-11_1345046_U_1,0.16486542,history,0
2026-03-11_1345046_U_10,0.21907058,history,0
2026-03-11_1345046_U_11,0.2154955,history,1
2026-03-11_1345046_U_14,0.26136255,history,0
2026-03-11_1345046_U_15,0.19882923,history,0
2026-03-11_1345046_U_16,0.2518265,history,0
2026-03-11_1345046_U_17,0.35678157,history,1
2026-03-11_1345046_U_18,0.33852643,history,0
2026-03-11_1345046_U_2,0.15695119,history,1
2026-03-11_1345046_U_20,0.8236226,history,1
2026-03-11_1345046_U_22,0.26332796,history,0
2026-03-11_1345046_U_25,0.25838822,history,1
2026-03-11_1345046_U_26,0.20527628,history,1
2026-03-11_1345046_U_28,0.18815339,history,0
2026-03-11_1345046_U_35,0.180884,history,0
2026-03-11_1345046_U_4,0.2113044,history,1
2026-03-11_1345046_U_43,0.1966399,history,0
2026-03-11_1345046_U_44,0.6161038,history,0
2026-03-11_1345046_U_45,0.36167413,history,0
2026-03-11_1345046_U_5,0.23937917,history,1
2026-03-11_1345046_U_6,0.35888708,history,1
2026-03-11_1345046_U_7,0.20053491,history,1
2026-03-11_1345046_U_8,0.20773302,history,0
2026-03-11_1345046_U_9,0.2659078,history,0
2026-03-11_1345046_U_94,0.28753883,history,1
2026-03-11_1348037_U_1,0.5681808,history,0
2026-03-11_1348037_U_10,0.45914346,history,0
2026-03-11_1348037_U_11,0.48473418,history,0
2026-03-11_1348037_U_13,0.5703961,history,0
2026-03-11_1348037_U_14,0.33998737,history,1
2026-03-11_1348037_U_15,0.56875443,history,0
2026-03-11_1348037_U_16,0.39191505,history,0
2026-03-11_1348037_U_2,0.33377212,history,0
2026-03-11_1348037_U_21,0.27393997,history,0
2026-03-11_1348037_U_22,0.22875862,history,0
2026-03-11_1348037_U_23,0.3997004,history,0
2026-03-11_1348037_U_24,0.32544428,history,0
2026-03-11_1348037_U_25,0.16916844,history,1
2026-03-11_1348037_U_3,0.37179565,history,0
2026-03-11_1348037_U_30,0.33145368,history,0
2026-03-11_1348037_U_31,0.31077635,history,1
2026-03-11_1348037_U_35,0.18300532,history,1
2026-03-11_1348037_U_37,0.51757777,history,1
2026-03-11_1348037_U_38,0.4029628,history,0
2026-03-11_1348037_U_39,0.2994658,history,0
2026-03-11_1348037_U_4,0.28487474,history,0
2026-03-11_1348037_U_43,0.19727252,history,1
2026-03-11_1348037_U_48,0.3235706,history,0
2026-03-11_1348037_U_49,0.43488806,history,0
2026-03-11_1348037_U_5,0.32525826,history,0
