model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
GLOBAL-AE+XGBoost,1,0.8177762525737817,0.48905109489051096,0.6492248062015504,0.5578684429641965,0.8451810617374945,0.6073945019628921
GLOBAL-AE+RF,1,0.8164035689773507,0.4864091559370529,0.6589147286821705,0.5596707818930041,0.849369791363604,0.6239572297439936
GLOBAL-AE+LR,1,0.7525737817433081,0.3942208462332301,0.7403100775193798,0.5144781144781144,0.8317194238092468,0.5632694027074645
GLOBAL-AE+XGBoost,2,0.8345418589321029,0.5346687211093991,0.6343692870201096,0.580267558528428,0.8448781929286403,0.6191617846248839
GLOBAL-AE+RF,2,0.8319050758075148,0.529505582137161,0.6069469835466179,0.565587734241908,0.8387814073768607,0.6066926446837686
GLOBAL-AE+LR,2,0.7560975609756098,0.3987408184679958,0.6946983546617916,0.5066666666666667,0.8120831615074807,0.5525991714886628
GLOBAL-AE+XGBoost,3,0.8128810975609756,0.5465517241379311,0.581651376146789,0.5635555555555556,0.8244710097921107,0.6130385190395468
GLOBAL-AE+RF,3,0.8140243902439024,0.5511669658886894,0.563302752293578,0.5571687840290381,0.8282563511921309,0.6019355733270678
GLOBAL-AE+LR,3,0.7400914634146342,0.4239733629300777,0.7009174311926606,0.5283540802213001,0.8031472435142162,0.5490212628061086
GLOBAL-AE+XGBoost,4,0.8093158660844251,0.5865384615384616,0.6569230769230769,0.6197387518142236,0.8495292219696415,0.6607713488260752
GLOBAL-AE+RF,4,0.8074963609898108,0.5860597439544808,0.6338461538461538,0.6090169992609017,0.8474664515655936,0.6590729472487076
GLOBAL-AE+LR,4,0.759825327510917,0.4948875255623722,0.7446153846153846,0.5945945945945946,0.8214959301899245,0.5978127646477243
GLOBAL-AE+XGBoost,5,0.81381840415775,0.5723905723905723,0.4892086330935252,0.5275407292474786,0.8000949550918272,0.5792756414501433
GLOBAL-AE+RF,5,0.8089269336594314,0.5629496402877698,0.4503597122302158,0.5003996802557954,0.7935815943518477,0.555738757202722
GLOBAL-AE+LR,5,0.769489452766738,0.4668911335578002,0.5985611510791367,0.5245901639344263,0.7810614862147549,0.5723339554625372
