frac,model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.25,RAW-STATS+XGBoost,1,0.7870563674321504,0.47205438066465255,0.6606765327695561,0.5506607929515418,0.8255669580884958,0.5604841380274727
0.25,RAW-STATS+RF,1,0.7801670146137787,0.4598046581517656,0.6469344608879493,0.5375494071146245,0.8215953365174138,0.5400353135221965
0.25,RAW-STATS+LR,1,0.6933194154488518,0.35918147549811524,0.7050739957716702,0.47591865858009275,0.7638621073890173,0.4304192293402737
0.25,RAW-FLAT+XGBoost,1,0.8033402922755741,0.501628664495114,0.6511627906976745,0.5666973321067157,0.8280954036163,0.5636998311695121
0.25,RAW-FLAT+LR,1,0.7075156576200418,0.37081203861442363,0.6902748414376322,0.4824528998891762,0.7708392915677599,0.456518921643898
0.25,RAW-STATS+XGBoost,2,0.8182831661092531,0.5406320541760722,0.5400225479143179,0.5403271291596164,0.817487386516247,0.5740702794039643
0.25,RAW-STATS+RF,2,0.8156075808249721,0.5321199143468951,0.560315670800451,0.5458539264140582,0.8195925583109244,0.5737709654577989
0.25,RAW-STATS+LR,2,0.7518394648829432,0.41226708074534163,0.5986471251409244,0.4882758620689655,0.7736513395579281,0.4597195107328965
0.25,RAW-FLAT+XGBoost,2,0.8111482720178372,0.5213219616204691,0.5512965050732808,0.5358904109589041,0.8165171305867658,0.561260244416764
0.25,RAW-FLAT+LR,2,0.757190635451505,0.422782874617737,0.6234498308906427,0.503872437357631,0.7766402855651361,0.46192684214681573
0.25,RAW-STATS+XGBoost,3,0.7681192142695868,0.40780413159908185,0.678117048346056,0.5093167701863354,0.8148870677425911,0.5231755573582234
0.25,RAW-STATS+RF,3,0.7516369383608038,0.385233918128655,0.6704834605597965,0.489322191272052,0.8044609935468279,0.5089988937671497
0.25,RAW-STATS+LR,3,0.6735154662452021,0.31376975169300225,0.7073791348600509,0.43471462079749806,0.7577179281399233,0.3707137272914981
0.25,RAW-FLAT+XGBoost,3,0.7724091216979002,0.41019417475728154,0.6450381679389313,0.5014836795252225,0.8088669475916376,0.5163467307440472
0.25,RAW-FLAT+LR,3,0.6942876495822985,0.32973621103117506,0.6997455470737913,0.4482477587612062,0.7593320942460672,0.3832556624087388
0.25,RAW-STATS+XGBoost,4,0.7859554355165429,0.560486757337151,0.6991071428571428,0.6221692491060786,0.8418912020119513,0.6449941538369318
0.25,RAW-STATS+RF,4,0.7949583614674769,0.5750179468772434,0.7151785714285714,0.6374850775964982,0.8484523451270366,0.6479695449227807
0.25,RAW-STATS+LR,4,0.6839972991222147,0.42702980472764646,0.7419642857142857,0.5420743639921722,0.7817646758522849,0.5175190169541739
0.25,RAW-FLAT+XGBoost,4,0.7897816790456899,0.5691964285714286,0.6830357142857143,0.6209415584415584,0.8399859206396972,0.6275249607839122
0.25,RAW-FLAT+LR,4,0.7080801260409633,0.45264847512038525,0.7553571428571428,0.5660756105720977,0.7916050470745023,0.5270291529517831
0.25,RAW-STATS+XGBoost,5,0.7824136384028713,0.508585445625511,0.627648839556004,0.5618789521228545,0.8226102997354034,0.6018556436729112
0.25,RAW-STATS+RF,5,0.7716464782413638,0.4892772041302621,0.6215943491422805,0.5475555555555556,0.821429787615508,0.5977652005038022
0.25,RAW-STATS+LR,5,0.6671152983400628,0.3626740947075209,0.656912209889001,0.46733668341708545,0.7317843574576729,0.38306115316622225
0.25,RAW-FLAT+XGBoost,5,0.7853297442799462,0.5142378559463987,0.6195761856710393,0.5620137299771167,0.809875554347361,0.5793459781909962
0.25,RAW-FLAT+LR,5,0.6895468820098699,0.38621887666473653,0.6730575176589304,0.49080206033848417,0.7456130266136212,0.4081193665068168
0.5,RAW-STATS+XGBoost,1,0.8079331941544885,0.5107438016528926,0.653276955602537,0.5732838589981447,0.8448096261602057,0.6188526624093589
0.5,RAW-STATS+RF,1,0.8054279749478079,0.5059523809523809,0.6289640591966174,0.5607917059377945,0.8401187540286832,0.5994642916016025
0.5,RAW-STATS+LR,1,0.7342379958246347,0.40250447227191416,0.7135306553911205,0.5146778497903164,0.795992299027836,0.5044350342706156
0.5,RAW-FLAT+XGBoost,1,0.8167014613778706,0.531021897810219,0.6152219873150105,0.5700293829578844,0.8359148988126798,0.6001382172625221
0.5,RAW-FLAT+LR,1,0.7375782881002088,0.40512507626601585,0.7019027484143763,0.5137330754352031,0.7940152193473589,0.5188187502432057
0.5,RAW-STATS+XGBoost,2,0.8256410256410256,0.559322033898305,0.5580608793686584,0.5586907449209932,0.8321834816160552,0.618065618019692
