model,variant,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
RAW-STATS+XGBoost,tuned,1,0.8131524008350731,0.5217021276595745,0.6479915433403806,0.5780292314945781,0.8499767903852796,0.6403228449516943
RAW-STATS+XGBoost,default,1,0.8131524008350731,0.5217021276595745,0.6479915433403806,0.5780292314945781,0.8499767903852796,0.6403228449516943
RAW-STATS+RF,tuned,1,0.8369519832985386,0.6009791921664627,0.5190274841437632,0.5570051049347703,0.8494798736340977,0.622431893256285
RAW-STATS+RF,default,1,0.8066805845511482,0.5085178875638842,0.63107822410148,0.5632075471698114,0.838017513909269,0.6012277620161447
RAW-STATS+LR,tuned,1,0.7546972860125261,0.4251144538914323,0.6871035940803383,0.5252525252525253,0.8032976902583417,0.5391600143933328
RAW-STATS+LR,default,1,0.753027139874739,0.42300194931773877,0.6881606765327696,0.523943661971831,0.8051800340114355,0.5358762898516422
RAW-STATS+XGBoost,tuned,2,0.830546265328874,0.5739231664726426,0.5558060879368658,0.5647193585337915,0.8366285165314816,0.6243712602481285
RAW-STATS+XGBoost,default,2,0.830546265328874,0.5739231664726426,0.5558060879368658,0.5647193585337915,0.8366285165314816,0.6243712602481285
RAW-STATS+RF,tuned,2,0.8457079152731327,0.6782449725776966,0.4182638105975197,0.5174337517433751,0.8338255375496721,0.6228831981167093
RAW-STATS+RF,default,2,0.8327759197324415,0.5872611464968153,0.5197294250281849,0.5514354066985646,0.8255375496721528,0.6111674313229816
RAW-STATS+LR,tuned,2,0.7803790412486065,0.4588235294117647,0.6155580608793687,0.5257583052479537,0.7981751731044365,0.5329691959062581
RAW-STATS+LR,default,2,0.7759197324414716,0.4519543973941368,0.6257046223224352,0.524822695035461,0.7986013148981052,0.5295051156722294
RAW-STATS+XGBoost,tuned,3,0.8428539173628359,0.5630252100840336,0.5114503816793893,0.536,0.8311656290882371,0.5629103254960092
RAW-STATS+XGBoost,default,3,0.7949875818469181,0.4489966555183946,0.683206106870229,0.5418768920282543,0.8305240836237227,0.5569150245085731
RAW-STATS+RF,tuned,3,0.8268232106570332,0.5113230035756854,0.5458015267175572,0.528,0.8154751801880143,0.5258592190564954
RAW-STATS+RF,default,3,0.7807631519530368,0.4210076857386849,0.6272264631043257,0.5038323965252938,0.8073474242840151,0.5108214266908961
RAW-STATS+LR,tuned,3,0.7446376157146083,0.3750905141202028,0.6590330788804071,0.47808029533917856,0.7851950724279335,0.4611200992112898
RAW-STATS+LR,default,3,0.7464438925265297,0.3779869659666908,0.6641221374045801,0.48177203507152744,0.7854950656527665,0.4584561709235512
RAW-STATS+XGBoost,tuned,4,0.8255683097006528,0.6751269035532995,0.59375,0.6318289786223278,0.8654238854735394,0.7124496309727142
RAW-STATS+XGBoost,default,4,0.7960837272113437,0.5764285714285714,0.7205357142857143,0.6404761904761904,0.8625900111775074,0.6988933756710216
RAW-STATS+RF,tuned,4,0.7976592392527572,0.5837755875663382,0.6875,0.6314063140631406,0.8573341644813206,0.6852930851109208
RAW-STATS+RF,default,4,0.7882061670042764,0.5622825330549757,0.7214285714285714,0.6319906140007822,0.850207160053308,0.670886661937705
RAW-STATS+LR,tuned,4,0.7272113436866982,0.4747252747252747,0.7714285714285715,0.5877551020408164,0.8161915330381324,0.5955988569462904
RAW-STATS+LR,default,4,0.7272113436866982,0.4747530186608123,0.7723214285714286,0.5880353501019715,0.8176429968616997,0.5949331443030301
RAW-STATS+XGBoost,tuned,5,0.8364737550471063,0.6633416458852868,0.5368314833501514,0.5934188510875628,0.8556583814468667,0.6775809506672201
RAW-STATS+XGBoost,default,5,0.8120233288470166,0.5654405474764757,0.6670030272452069,0.612037037037037,0.849912844094107,0.6643514421957533
RAW-STATS+RF,tuned,5,0.8140421713772993,0.5736363636363636,0.6367305751765893,0.6035389765662362,0.8530361368846879,0.6669102284634014
RAW-STATS+RF,default,5,0.8017048003589053,0.5453005927180355,0.649848637739657,0.5930018416206262,0.8480151766824408,0.6548842503465079
RAW-STATS+LR,tuned,5,0.743606998654105,0.450261780104712,0.6942482341069627,0.5462485113140135,0.8060866226962768,0.5371003434592085
RAW-STATS+LR,default,5,0.7456258411843876,0.45335942596216566,0.7013118062563067,0.5507131537242472,0.8083390840611363,0.5363253849256909
