fold,model,inner_pr_auc,best_max_depth,best_learning_rate,best_min_samples_leaf,best_C
1,XGBoost,0.6125134967974009,6.0,0.05,,
1,RF,0.5929594281710796,20.0,,1.0,
1,LR,0.5174887080386835,,,,0.05
2,XGBoost,0.5980998769521272,6.0,0.05,,
2,RF,0.5797992641591359,20.0,,1.0,
2,LR,0.5106450166190218,,,,0.05
3,XGBoost,0.6451265077844786,10.0,0.1,,
3,RF,0.6179617156657582,20.0,,1.0,
3,LR,0.49325063028291105,,,,0.05
4,XGBoost,0.6302425213867934,10.0,0.05,,
4,RF,0.6149013265704157,20.0,,5.0,
4,LR,0.5382066684984557,,,,0.05
5,XGBoost,0.5991333155863572,10.0,0.05,,
5,RF,0.590044108069382,20.0,,5.0,
5,LR,0.51678660513383,,,,0.05
