model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-FLAT+XGBoost,1,0.8254788035291586,0.5854503464203233,0.5286757038581856,0.5556164383561644,0.8347539238948742,0.6143117903253585,,,,,,
RAW-FLAT+XGBoost,2,0.8201455206912233,0.4889589905362776,0.6038961038961039,0.5403834979662987,0.8198490456621658,0.5473159012715175,,,,,,
RAW-FLAT+XGBoost,3,0.8278977523137946,0.5860655737704918,0.6027397260273972,0.5942857142857143,0.8414955426676934,0.63190677415769,,,,,,
RAW-FLAT+XGBoost,4,0.8149759560338905,0.6155778894472361,0.6780442804428044,0.6453028972783144,0.8615263916879192,0.6882865487197634,,,,,,
RAW-FLAT+XGBoost,5,0.837922543093799,0.5608180839612487,0.6224611708482676,0.5900339750849377,0.8567809078073007,0.6460506153670044,,,,,,
RAW-FLAT+XGBoost,mean,0.8252841151323732,0.5673741768271154,0.6071633970145518,0.5851245045942859,0.8428811623439907,0.6255743259682667,0.007736435368493025,0.04287572257563277,0.04785119343583688,0.03633718001370221,0.015095018030952043,0.04613767864808645
RAW-FLAT+RF,1,0.8211749515816655,0.5689655172413793,0.5505735140771637,0.5596184419713831,0.8352453296659798,0.623951767731306,,,,,,
RAW-FLAT+RF,2,0.7992269213278763,0.4473438956197577,0.6233766233766234,0.5208898534997287,0.8127758129411933,0.5229788460802423,,,,,,
RAW-FLAT+RF,3,0.8217276333186426,0.5678294573643411,0.6174920969441517,0.5916203937405351,0.8435651494541482,0.633406985332896,,,,,,
RAW-FLAT+RF,4,0.8042134188229906,0.5895230648944488,0.6955719557195572,0.6381718154887854,0.8607615211089668,0.690644105609426,,,,,,
RAW-FLAT+RF,5,0.8222520707409895,0.521099116781158,0.6344086021505376,0.572198275862069,0.8527977724458664,0.6261729852598801,,,,,,
RAW-FLAT+RF,mean,0.8137189991584328,0.538952210380217,0.6242845584536068,0.5764997561125003,0.8410291171232309,0.61943093800275,0.009928938872236842,0.05099592452879378,0.046183696717041194,0.03854353216317429,0.0165287741208847,0.054102761996834996
RAW-FLAT+LR,1,0.7564019797718958,0.4370909090909091,0.6266944734098019,0.5149957155098543,0.7734036946475789,0.5140512832926073,,,,,,
RAW-FLAT+LR,2,0.7323783537971805,0.35638673253352154,0.6558441558441559,0.4618198445358939,0.7613063617749396,0.432655440797417,,,,,,
RAW-FLAT+LR,3,0.7329219920669898,0.4129715420251489,0.6575342465753424,0.5073170731707317,0.7657760908008049,0.42508386151037825,,,,,,
RAW-FLAT+LR,4,0.7368903137165101,0.48014660965180206,0.7250922509225092,0.577728776185226,0.8123217784112047,0.5925001334575797,,,,,,
RAW-FLAT+LR,5,0.7573315424222073,0.41222459132906897,0.6929510155316607,0.5169340463458111,0.8046014067030685,0.5217698542987513,,,,,,
RAW-FLAT+LR,mean,0.7431848363549568,0.4197640769260902,0.6716232284566941,0.5157590911495034,0.7834818664675194,0.49721211467134674,0.011283166453204657,0.040164510520960955,0.033999654227634145,0.03694026290730722,0.020902595763413634,0.06218761250504124
RAW-STATS+XGBoost,1,0.8207445663869163,0.5658995815899581,0.5641293013555787,0.5650130548302872,0.8452778676269344,0.6451286091099274,,,,,,
RAW-STATS+XGBoost,2,0.7976352887676217,0.4469964664310954,0.6571428571428571,0.5320715036803365,0.8255416028293647,0.5582010721933245,,,,,,
RAW-STATS+XGBoost,3,0.8166593212869105,0.5538178472861086,0.6343519494204426,0.5913555992141454,0.8428251233645953,0.637896532978501,,,,,,
RAW-STATS+XGBoost,4,0.8090222120448821,0.5920471281296024,0.7416974169741697,0.6584766584766585,0.8672202096678292,0.7078869504646127,,,,,,
RAW-STATS+XGBoost,5,0.8171032012536378,0.5091911764705882,0.6618876941457587,0.5755844155844155,0.8536967919665868,0.6476159479543602,,,,,,
RAW-STATS+XGBoost,mean,0.8122329179479937,0.5335904399814706,0.6518418438077613,0.5845002463571686,0.846912319091062,0.6393458225401452,0.008236021797296884,0.05091964913883344,0.05692526748213235,0.04177923202624355,0.013671310148699652,0.047720630258030056
RAW-STATS+RF,1,0.8228964923606628,0.5735930735930735,0.5526590198123045,0.562931492299522,0.8391262477408906,0.6276727233848393,,,,,,
RAW-STATS+RF,2,0.7812642110050023,0.4176672384219554,0.6324675324675325,0.503099173553719,0.8052098397743381,0.5117577862998763,,,,,,
RAW-STATS+RF,3,0.8078448655795505,0.5357474466109564,0.6080084299262382,0.5695952615992103,0.8374717150313817,0.6281248023534045,,,,,,
RAW-STATS+RF,4,0.7941378520723609,0.5679647318148421,0.7130996309963099,0.6323108384458078,0.8562970597723034,0.6793895074905462,,,,,,
RAW-STATS+RF,5,0.8110588762032684,0.4968325791855204,0.6559139784946236,0.5653964984552008,0.8473483614246078,0.6188394490641533,,,,,,
RAW-STATS+RF,mean,0.8034404594441689,0.5183610139252696,0.6324297183394016,0.5666666528706921,0.8370906447487043,0.613156853718564,0.014382633854187232,0.05729940176407699,0.05295075142862389,0.040924625819548796,0.017290354243783154,0.05501922781614453
RAW-STATS+LR,1,0.7714654615881213,0.4609552691432904,0.6339937434827946,0.533801580333626,0.794989074845227,0.5321913473658981,,,,,,
RAW-STATS+LR,2,0.7396543883583447,0.36462093862815886,0.6558441558441559,0.46867749419953597,0.7816939675539455,0.45014816499758253,,,,,,
RAW-STATS+LR,3,0.750991626267078,0.4386440677966102,0.6817702845100105,0.5338283828382838,0.801184746390226,0.5099478093956711,,,,,,
RAW-STATS+LR,4,0.7414701167849782,0.48684979544126245,0.768450184501845,0.5960644007155635,0.8227596485529278,0.5972290195682074,,,,,,
RAW-STATS+LR,5,0.7546451757331543,0.41013185287994447,0.7060931899641577,0.5188762071992976,0.811654834430983,0.5328668483825294,,,,,,
RAW-STATS+LR,mean,0.7516453537463353,0.4322403847778533,0.6892303116605928,0.5302496130572614,0.802456454354662,0.5244766379419776,0.011398084616158299,0.04221117424000967,0.04643600066115166,0.04068781272230091,0.014037733055701131,0.047241147645235064
