date,trip_id,n_vehicles,points_kept,points_total,kept_span_sec,union_span_sec,span_ratio,overlap_sec,overlap_frac_of_kept,line_id,hour
2026-03-11,1483711_U_195,2,119,163,1772.0,2207.0,0.8028998640688718,210.0,0.11851015801354402,33,0
2026-03-11,1393827_U_152,2,86,130,1276.0,86385.0,0.014771082942640505,0.0,0.0,45,23
2026-03-11,1379485_U_129,2,138,182,2477.0,86385.0,0.0286739595994675,0.0,0.0,53,23
2026-03-11,1345046_U_44,2,350,389,5240.0,86385.0,0.06065867916883718,0.0,0.0,39A,22
2026-03-11,1393827_U_154,2,226,233,3378.0,86385.0,0.03910401111304046,0.0,0.0,45,23
2026-03-11,1414833_U_68,2,426,470,6380.0,85754.0,0.07439886186067123,0.0,0.0,OC1,22
2026-03-11,1414833_U_76,2,228,326,4339.0,86385.0,0.05022862765526422,0.0,0.0,OC1,0
2026-03-11,1364748_U_83,2,185,267,2928.0,86385.0,0.033894773398159404,0.0,0.0,36,0
2026-03-11,1364751_U_97,2,278,280,4158.0,82241.0,0.050558723750927154,0.0,0.0,46,1
2026-03-11,1374663_U_117,2,350,394,5390.0,86385.0,0.062395091740464204,0.0,0.0,48,22
2026-03-11,1413903_U_99,2,512,541,7672.0,86385.0,0.08881171499681657,0.0,0.0,OC3,21
2026-03-11,1364751_U_68,2,342,386,5120.0,86385.0,0.05926954911153557,0.0,0.0,46,22
2026-03-11,1364751_U_99,2,306,494,5960.0,86385.0,0.06899345951264688,0.0,0.0,46,0
2026-03-11,1399122_U_49,2,667,711,10163.0,86385.0,0.11764773976963593,0.0,0.0,38A,21
2026-03-11,1364751_U_73,2,252,296,3829.0,83893.0,0.04564147187488825,0.0,0.0,46,22
2026-03-11,1374663_U_98,2,285,359,5780.0,86385.0,0.06690976442669445,0.0,0.0,48,0
2026-03-11,1413903_U_86,2,384,428,5750.0,86385.0,0.06656248191236905,0.0,0.0,OC3,22
2026-03-11,1413903_U_101,2,238,255,3558.0,86385.0,0.04118770619899288,0.0,0.0,OC3,23
2026-03-11,1411585_U_29,2,294,338,4399.0,86385.0,0.050923192683915035,0.0,0.0,35,22
2026-03-11,1431265_U_173,2,136,162,2928.0,86385.0,0.033894773398159404,0.0,0.0,49.2,0
2026-03-11,1431265_U_166,2,146,190,2177.0,86385.0,0.025201134456213463,0.0,0.0,49.2,23
2026-03-11,1359254_U_80,2,242,350,4039.0,86385.0,0.04675580251201019,0.0,0.0,62,0
2026-03-11,1359254_U_76,2,324,368,5060.0,86385.0,0.05857498408288476,0.0,0.0,62,22
2026-03-11,1481779_U_12,2,204,222,4219.0,86385.0,0.04883949759796261,0.0,0.0,67,0
2026-03-11,1429985_U_121,2,224,266,3887.0,80109.0,0.04852138960666093,0.0,0.0,49.1,21
2026-03-11,1477768_U_58,2,206,220,3078.0,86385.0,0.03563118596978642,0.0,0.0,41JB,23
2026-03-11,1481779_U_38,2,148,282,2207.0,86385.0,0.025548416970538865,0.0,0.0,67,0
