line_id,direction,size,mean,sum,wilson_lo
38A,1,80,0.7375,59,0.6318083375343555
46,1,82,0.6951219512195121,57,0.5886121722656341
49.1,0,118,0.652542372881356,77,0.5630461198830585
48,1,121,0.5702479338842975,69,0.4812198903675138
OC3,1,164,0.5609756097560976,92,0.4844873058820168
31,0,742,0.5161725067385444,383,0.48022372716637596
55A,0,213,0.49295774647887325,105,0.42653796361038876
62,0,646,0.4907120743034056,317,0.4523301278418098
35,1,159,0.4339622641509434,69,0.35938014051736233
OC2,1,187,0.42780748663101603,80,0.35904926826286415
39A,1,270,0.42592592592592593,115,0.36838826813868375
55A,1,52,0.40384615384615385,21,0.28159535424282284
26,0,283,0.38162544169611307,108,0.3269699263444387
24,0,251,0.3705179282868526,93,0.3131428020327719
26A,0,203,0.3448275862068966,70,0.2828692035095059
21,0,361,0.31024930747922436,112,0.2647367722243391
OC2,0,477,0.3039832285115304,145,0.2644054568785973
46,0,326,0.3006134969325153,98,0.2533970913371581
38A,0,172,0.29069767441860467,50,0.2279978297316079
36,1,206,0.28640776699029125,59,0.2290246880504983
49.2,0,1615,0.265015479876161,428,0.24406636823151545
22,0,304,0.2631578947368421,80,0.21683352306960976
45,0,1174,0.23339011925042588,274,0.21008714510232918
53,0,1185,0.22953586497890296,272,0.20648849163651073
