line_id,direction,size,mean,sum,wilson_lo
38A,1,68,0.75,51,0.6356122186609706
46,1,66,0.7272727272727273,48,0.6095754555973323
48,1,89,0.6966292134831461,62,0.5946267078910946
49.1,0,115,0.6521739130434783,75,0.5614819530608828
35,1,107,0.5981308411214953,64,0.5033928464055272
OC2,1,106,0.5377358490566038,57,0.44316673901352743
OC3,1,124,0.5241935483870968,65,0.4368907854611739
39A,1,193,0.5233160621761658,101,0.45308532879965585
31,0,698,0.501432664756447,350,0.464433083817742
62,0,595,0.4857142857142857,289,0.445775163612127
55A,0,194,0.4639175257731959,90,0.39512284377847434
36,1,127,0.4251968503937008,54,0.3426540603515439
24,0,229,0.3799126637554585,87,0.3195185630763068
26,0,272,0.375,102,0.31958202156798743
26A,0,180,0.3611111111111111,65,0.29451952434375106
44,1,59,0.3389830508474576,20,0.23137483598383493
21,0,345,0.30144927536231886,104,0.25543045353450017
45,1,245,0.2979591836734694,73,0.24416581703274437
49.2,0,1487,0.27706792199058505,412,0.2549164790250068
62,1,161,0.2732919254658385,44,0.210338025132436
46,0,285,0.27017543859649124,77,0.2219305438187095
OC2,0,425,0.2541176470588235,108,0.21505547907094202
