model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
RAW-FLAT+XGBoost,1,0.8334544133672357,0.598694942903752,0.633304572907679,0.6155136268343816,0.8646382329467448,0.656667809702327,,,,,,
RAW-FLAT+XGBoost,2,0.8208439432520916,0.5569620253164557,0.6235606731620903,0.5883827831174259,0.8536135397937112,0.6491918757712137,,,,,,
RAW-FLAT+XGBoost,3,0.8358992936062307,0.5734639358860196,0.6013071895424836,0.5870556061987238,0.8565020614987569,0.6303376597153022,,,,,,
RAW-FLAT+XGBoost,4,0.8034425319267073,0.5224429727740986,0.6322350845948352,0.572119258662369,0.8354513943792079,0.5969215103926439,,,,,,
RAW-FLAT+XGBoost,5,0.8275242544017247,0.562351072279587,0.6338406445837064,0.5959595959595959,0.8541013813571616,0.6432163372437488,,,,,,
RAW-FLAT+XGBoost,mean,0.8242328873107981,0.5627829898319826,0.624849632958159,0.5918061741544992,0.8528613219951164,0.6352670385650471,0.011624960170398312,0.024759394737883578,0.01235133397503735,0.014150310024514277,0.009562005795072971,0.02102267229748191
RAW-FLAT+RF,1,0.8276425717399201,0.5819032761310452,0.6436583261432269,0.611224907824662,0.8605242416248906,0.6397965740137788,,,,,,
RAW-FLAT+RF,2,0.8079301564205166,0.5272999252056844,0.6244464127546502,0.5717761557177615,0.8421893439181479,0.6320313216262293,,,,,,
RAW-FLAT+RF,3,0.8244883173338163,0.542358803986711,0.6097105508870215,0.5740659340659341,0.8453200306339764,0.616637539872988,,,,,,
RAW-FLAT+RF,4,0.7954839903757172,0.5062849162011173,0.6455921638468388,0.5675146771037182,0.8296416890671682,0.5883025236967898,,,,,,
RAW-FLAT+RF,5,0.8111749910168883,0.5234708392603129,0.6589077887197852,0.5834324217201744,0.844379743529221,0.6244039381387649,,,,,,
RAW-FLAT+RF,mean,0.8133440053773716,0.5362635521569741,0.6364630484703045,0.5816028192864501,0.8444110097546809,0.6202343794697102,0.011675951427525762,0.02554547014423259,0.017314588034842118,0.015701332939030678,0.009833942957926903,0.01773027460196864
RAW-FLAT+LR,1,0.7464584090083545,0.434130072262368,0.6738567730802416,0.5280594996619338,0.7939655903042631,0.5285542675647118,,,,,,
RAW-FLAT+LR,2,0.7277191706074936,0.39967284623773175,0.6492471213463242,0.4947688153898076,0.7574689296782773,0.4362377534224189,,,,,,
RAW-FLAT+LR,3,0.7500452816518747,0.4097019286966686,0.6545284780578898,0.5039539899352984,0.7799748213892299,0.48084026392068924,,,,,,
