model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
SimCLR+MLP,1,0.7323590814196242,0.40614525139664803,0.7684989429175476,0.5314327485380117,0.831503422043194,0.5935122102030685,,,,,,
SimCLR+MLP,2,0.7389074693422519,0.40932311621966794,0.7226606538895152,0.5226253567060742,0.8189495855457717,0.5942017430314367,,,,,,
SimCLR+MLP,3,0.7362835854594717,0.3693570451436389,0.6870229007633588,0.4804270462633452,0.8000023049537647,0.5117008533344555,,,,,,
SimCLR+MLP,4,0.7218095881161377,0.4702258726899384,0.8178571428571428,0.5971316818774446,0.8397242164997205,0.653694220030862,,,,,,
SimCLR+MLP,5,0.753028263795424,0.46514575411913817,0.7406659939455096,0.5714285714285714,0.8299695820212895,0.6293827048114748,,,,,,
SimCLR+MLP,mean,0.736477597626582,0.42403940791380623,0.747341126874615,0.5406090809626894,0.824029822212748,0.5964983462822595,0.010119082435216226,0.038340193279860255,0.04407296957853599,0.04043301156778828,0.013715537490503207,0.0480781763696421
SimCLR+XGBoost,1,0.8037578288100209,0.5025597269624573,0.6226215644820295,0.5561850802644004,0.8293381079874074,0.5935303397661761,,,,,,
SimCLR+XGBoost,2,0.8084726867335563,0.5149572649572649,0.5434047350620068,0.5287986834887548,0.8083045008720241,0.5784503598684281,,,,,,
SimCLR+XGBoost,3,0.7751185369157824,0.40724381625441697,0.5865139949109415,0.4807090719499479,0.7864418428733974,0.4992541753313389,,,,,,
SimCLR+XGBoost,4,0.7771775827143822,0.5463623395149786,0.6839285714285714,0.6074544012688342,0.8408517744293023,0.6626763883437287,,,,,,
SimCLR+XGBoost,5,0.8019291161956034,0.5493601462522852,0.6064581231079718,0.5764988009592326,0.8320450829894782,0.6399043950985861,,,,,,
SimCLR+XGBoost,mean,0.793291150273869,0.5040966587882807,0.6085853977983042,0.549929207586234,0.8193962618303218,0.5947631316816515,0.014174172285376362,0.051644862469329256,0.04607341685966274,0.04310951952720555,0.01963768261560924,0.05663838122084584
SimCLR+RF,1,0.8039665970772443,0.5031390134529148,0.5930232558139535,0.5443959243085881,0.8240510457526404,0.5814031125970215,,,,,,
SimCLR+RF,2,0.8140468227424749,0.5319662243667069,0.4971815107102593,0.513986013986014,0.8055668531872586,0.5685065411111481,,,,,,
SimCLR+RF,3,0.7906976744186046,0.4299900695134062,0.5508905852417303,0.482989403234802,0.7803511771678264,0.47851936565018144,,,,,,
SimCLR+RF,4,0.7686248030609948,0.5317241379310345,0.6883928571428571,0.6,0.835483749623834,0.6524524607033488,,,,,,
SimCLR+RF,5,0.7985643786451323,0.5406824146981627,0.6236125126135217,0.5791940018744143,0.8303499886634746,0.6308225682531365,,,,,,
SimCLR+RF,mean,0.7951800551888902,0.507500371992445,0.5906201443044644,0.5441130686807637,0.8151605628790068,0.5823408096629672,0.015296306969194793,0.040775691693638365,0.06475027536407507,0.042421322175186606,0.020132182495162416,0.06039417691575082
SimCLR+LR,1,0.7561586638830897,0.4276401564537158,0.693446088794926,0.5290322580645161,0.815386764579708,0.5547003485553517,,,,,,
SimCLR+LR,2,0.778149386845039,0.4553719008264463,0.62119503945885,0.5255126371006199,0.8004628651894169,0.5493911967861799,,,,,,
SimCLR+LR,3,0.7204786633551592,0.35267275097783574,0.688295165394402,0.4663793103448276,0.7842112762528995,0.46805838914884584,,,,,,
SimCLR+LR,4,0.7344136844474454,0.48299319727891155,0.7607142857142857,0.5908460471567267,0.8282761381711878,0.6215298481521815,,,,,,
SimCLR+LR,5,0.7678331090174967,0.4840810419681621,0.6750756811301716,0.5638432364096081,0.8074179004172831,0.5876035175956877,,,,,,
SimCLR+LR,mean,0.751406701509646,0.44055180950101425,0.687745252098527,0.5351226978152597,0.8071509889220991,0.5562566600476493,0.02122680099271708,0.0485904111814688,0.044602086591096,0.04191672946017399,0.014731819912245068,0.05113062926321369
