date,raw_rows,service_rows,instances_raw,no_gtfs,too_few_points,bad_duration,offroute_discard,low_stop_coverage,fail_min_stops_only,fail_coverage_only,fail_both,multi_vehicle_tripids,midnight_flips,day_letter_mismatch,sched_mismatch,kept
2026-03-11,950855,950855,2810,0,5,130,148,586,4,391,191,284,75,0,203,1454
2026-03-12,985831,985831,2927,0,6,115,151,602,9,367,226,331,73,0,303,1419
2026-03-13,1053712,1053712,2806,0,7,127,169,400,2,229,169,288,41,0,231,1584
2026-03-14,774648,774648,2111,0,5,46,98,369,25,192,152,151,63,0,41,1401
2026-03-15,481931,481931,1387,0,5,46,45,184,0,99,85,83,67,0,3,1021
2026-03-16,651833,651833,1443,0,5,50,137,196,2,76,118,171,65,0,68,816
2026-03-17,226412,226412,585,0,3,25,43,89,1,42,46,104,13,0,2,319
2026-03-20,420493,420493,1291,0,8,47,68,330,0,190,140,196,0,0,30,612
2026-03-21,555022,555022,1918,0,17,46,84,324,18,152,154,189,54,0,25,1233
2026-03-22,65993,65993,1490,0,46,18,40,197,0,100,97,116,45,0,28,1045
2026-03-23,802536,802536,2811,0,376,53,122,479,2,327,150,335,60,0,41,1405
2026-03-24,1132295,1132295,2930,0,10,65,128,620,6,390,224,462,39,0,39,1606
2026-03-25,1043626,1043626,2481,0,3,73,168,385,0,221,164,263,29,0,1,1588
2026-03-26,1062708,1062708,2525,0,4,68,169,422,3,226,193,282,26,0,1,1579
2026-03-27,1067407,1067407,2502,0,4,61,147,280,1,148,131,256,27,0,21,1733
2026-03-28,328626,328626,831,0,3,10,86,189,23,57,109,80,59,0,14,449
2026-03-29,504273,504273,1495,0,3,35,54,235,0,128,107,167,16,0,17,984
2026-03-30,847024,847024,2005,0,11,84,138,325,2,152,171,225,61,0,18,1204
2026-03-31,895242,895242,2063,0,5,87,117,397,4,223,170,284,22,0,20,1153
